id_avis,date,note_avis,commentaire,id_resto,nom_resto,type_cuisine,fourchette_prix,adresse,note_moyenne_resto,description,arrondissement,latitude,longitude,taux_menage_imposable,mediane_niveau_de_vie,taux_pauvrete,min_prix,max_prix
1,déc. 2024,2.0,quantité garniture galett minable mini morceal jambon rondelle champignon jaune oeuf quasi croire blanc oeuf qualité aucun goût prix cher quasiment rien manger euro salle chauffer bon accueil,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
2,déc. 2024,5.0,juste après cinéma déjeuner famille deux enfant menu enfant note contenir repas très agréable service très rapide chouette adresse,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
3,nov. 2024,2.0,restaurer sans intérêt crêpe saler très médiocre trop cuire très garni crêpe sucrer encore pire assez cuite trop épais passer chemin surtout aimer crêpe,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
4,oct. 2024,2.0,demander crêpe jour bah pendant vacance comme celer quand venir famill plus cher quand demande pourquoi réponse serveur comme enfant repartir direct tout cas voir plus 'est comme,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
5,oct. 2024,2.0,absolument aucun intérêt culinaire crêpe sucrer sans intérêt glace revanche bon pouvoir reste cher,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
6,oct. 2024,2.0,déception galette assaisonner garniture déposer dessus sans rien assaisonner prix galette trop élevé quantité présenter service long long long total désorganisation serveur,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
7,févr. 2024,4.0,chercher crêperie sympa restaurer après visite muser confluence direction crêperie amélie encablure tramway super choix qualité produit service sympa horaire large chèque vacance accepter crêperie situer grand centre commercial shopping restauration activité culturel activité physique proximité muser confluence préfecture région gar perrache,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
8,janv. 2024,2.0,prévoir bon pull hiver devoir faire restaurer serveuse polaire crêpe beaucoup trop léger prix plus œuf croire mienne bravo chef premier dernier fois vai restaurant,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
9,nov. 2023,2.0,envie crêpe bien déçu crêpe prix exorbitant casser trois patte canard carte préciser crêpe sans gluten contre aucun précision fait fleur oranger préparation lorsque apprécie forcément décevoir quand crêp arriver sent crêpe nuteller euro avoir seulement quelque goutte nuteller autant prendre crêpe nature fin bref connaître revenir,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
10,oct. 2023,3.0,jolie decoration serveur très bien rapide prix bien trop onéreux manger,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
11,oct. 2023,3.0,pratique dîner après cinéma restaurant ferme serveur répéter plusieurs fois crêpe généreux peut-être trop certain ingrédient miel chèvre miel très présent table bancal caler serviette repas précédent saleté accumuler propreté revoir particulier toilette,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
12,sept. 2023,4.0,bon petit adresse restauration rapide personnel sympa sourire service rapide modification repa accepter prix correct,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
13,avr. 2023,2.0,table entasser une autre service très mauvais personnel tourner rond finir caissièr préférer envoyer sm portable plutôt occuper client attendre éviter,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
14,mars 2023,1.0,vrement dégueulasse éviter absolument trouver cheveux salade pâte crêpe ignoble,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
15,févr. 2023,5.0,réserver table personne poussette samedi restaurer plein serveur prendre soin installer fondre sall confort service efficace rapide crêpe généreuser bon conseiller crêpe saumon dessert miel amand régal sans gluten gros plus pouvoir profiter repas famill tout cœliaqu attention toutefois bien préciser option sans gluten crêpe dessert comprend certain commentaire plutôt assassin concerner retourner plaisir 🤗,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
16,févr. 2023,4.0,avis crêperie amélie situer confluence juste -dessus moyenne devoir dire très bon surprise très bien accueillir vers h. crêpe succulente chaude copieux cadre agréable point important température agréable malgré froid ambier raison bon note,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
17,janv. 2023,5.0,endroit très chaleureux produit local très bon qualité service rapide crêpe galette copieur recommander,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
