,Date,Notes,Commentaires
0,janv. 2025,"5,0","Quand tu accompagnes une cliente au CLB et qui a des rdv toute la journée, tu décides de rester sur place et que tu trouves un petit resto super sympa avec un accueil bienveillant… 
Des plats simples mais tellement bons… Un vrai steak haché… Un bon fromage blanc fermier accompagné d’un verre de rasteau…

L’année commence bien… 

Comme je dis c’est une très bonne cantine…"
1,déc. 2024,"5,0","Excellent accueil et repas succulent . Je reviendrais avec plaisir pour l'ambiance, la nourriture et le prix. A venir sans modération "
2,nov. 2024,"5,0","Très bonne cuisine le jeudi des spécialités italiennes au goût de mon enfance 
Très bon accueil 
Prix correct 
A ne pas manquer et les desserts sont succulent"
3,nov. 2024,"5,0",Restaurant tres accueillant le personnel est très sympas il y a une bonne ambiance et la cuisine très très bonne et familiale je recommande vivement
4,nov. 2024,"5,0","L’endroit est très agréable, les plats proposés sont assez variés, le personnel (patron) très accueillant et sympathique, ouvert à la discussion et prend le temps d’échanger avec vous. Je vous recommande vivement cette endroit qui ne paye pas de mine mais très bon, l’ambiance reste très familial, vous serez rapidement mise à l’aise.
Les plats proposés sont que des produits frais et limite cuisinés devant vous."
5,mars 2023,"5,0","Accueil chaleureux et amical. Bonne franquette.
La cuisine est simple mais excellente. Idéal pour la pause de midi, on peut manger rapidement mais aussi prendre son temps, c'est comme on veut !!
La terrasse est très agréable, à l'abris du vent, on se sent comme chez soi.
Des bières pression très bonnes.
Ne pas hésiter à venir."
6,août 2020,"5,0","Nourriture excellente. Cuisine familiale, simple et très bonne, très variée.
Le plat du jour est très bien servi, on peut manger au Chalet Fleury tous les jours, plusieurs semaines de suite, sans manger deux fois la même chose !
Accueil chaleureux, on se sent bien.
La terrasse extérieure est très agréable."
7,févr. 2020,"2,0",Accueil agréable. Rapport qualité prix cohérent. Peu mieux faire vu l'emplacement. Lieu pour les habitués.
8,juil. 2019,"3,0","Quand je repense à ce restaurant, mon titre, est exactement ce qui me revient à l’esprit.
L’accueil est très sympathique mais dans notre cas il y a eu des loupé sur les commandes.. 
Malgré cela lui cuisine est bonne la quantité est un light.
La terrasse est quand à elle agréable. "
9,sept. 2017,"4,0","une sympathique adresse dans le 8 ème arrondissement de Lyon.Accueil souriant et décontracté,cuisine de tradition genre brasserie,bon rapport qualité-prix,agréable terrasse."
10,mars 2017,"3,0","Les salades sont beaucoup trop chères par rapport à la garniture proposée et surtout par rapport à la quantité.
Plats du jour et dessert corrects, basiques."
11,sept. 2016,"5,0","La terrasse est très sympathique, le personnel encore plus. Le menu du jour est très bon et pas cher du tout. La carte est restreinte, ce qui nous assure des plats faits avec des ingrédients frais. J'y reviendrai à coup sûr "
12,août 2016,"4,0",Rapport prix très correct. J y ai déjeuné a deux reprises. Le personnel est compétent et agréable. Belle terrasse au calme. À recommander 
13,mai 2016,"4,0","Je passe régulièrement prendre le café, un cadre très sympa, une grande terrasse bien exposée, des proprios heureux et qui vous accueillent avec le sourire, toujours à l'écoute ; une bonne découverte dans Lyon 8.."
14,févr. 2016,"4,0","Coincé dans le 8 ème arrondissement de Lyon, ce restaurant permet de se restaurer pour pas cher et avec des mets délicieux. Accueil sympathique, clientèle du quartier, endroit où les clients se disent bonjour. À recommander à ceux qui sont dans le coin en transit dans les hôtels du secteur."
