,Date,Notes,Commentaires
0,oct. 2024,"5,0","Un repas vraiment agréable du début à la fin. Au niveau du rapport qualité/prix rien n'a dire, c'est parfait, manque le mojito 😉"
1,avr. 2024,"5,0","Petit restaurant qui ne paye pas de mine, mais qui est très bon. Plusieurs spécialités lyonnaises faites avec des produits de qualité, et de manière simple. 
Nous avons été servis par 2 personnes charmantes et efficaces, avec le digestif offert. Merci pour cette agréable soirée !"
2,déc. 2023,"5,0","Une expérience de gastronomie très positive. Ce jour ""Moules frites"" un gout de fraicheur inégalé sinon en bord de l'océan, un équilibre de cuisson et d'assaisonnement. Frites à en redemander, et une bière rousse qui accompagne sans faire de mal de tête. Les amis et voisins qui déjeunaient ont eu également des assiettes très bien travaillées et se sont régalé ! de quoi passer un bon 8 décembre à Lyon..."
3,juin 2023,"1,0","Nous étions 20 personnes pour un apéro  il y avait 2 toasts par personne avec 2 parts de quiche  (2 cm sur 2 cm ) qui partait en miette au goût douteux . Le punch servi aucun parfum ,dégueulasse  surement ""du  tout fait en litre acheté en grande surface. Même pas de chip ,ou des cacahouettes sur table ,tu avais 4 pizzas coupées en 10 portions .4 pots de 1 litre de bière tiède ,un serveur désagréable à souhait  Sur 20 personnes aucunes n'a apprécier cette plaisanterie ,surtout pas l'organisateur qui a vu la note a la fin avec un paiement en liquide exigé .La terrasse ou nous sommes installé n'était pas propre ,les fauteuils étaient crade ,le sol aussi .Je déconseille cet établissement c'est une vrai arnaque a gogos."
4,juil. 2023,"1,0","Très déçu , attente d'une 1 h , malgré une réservation , paella au menu ? absente même pas rayée de la carte , une bavette qui trempait dans un jus , bonjour la présentation, un mini bol de frites, une addition salée , question qualité prix ,  c'est honteux . Pas prêt d' y remettre les pieds . "
5,avr. 2023,"5,0","Accueil excellent,comme d'habitude,repas au top, ,et bougies pour l'anniversaire de Fabien (il ne l'avait pas précisé à la réservation.)belle surprise!Merci Nathalie.

"
6,févr. 2022,"5,0",Cela fait déjà quelques mois que je suis passé. Mais je me souviens que le personnel était très agréable et gentil ! Tout était très bon l'ambiance super sympa. Tout est simple et efficace ! Ne changez pas ! Je vais bientôt revenir je pense.
7,juin 2022,"1,0","Déçu, charcuterie passée,  sirop de spritz et addition fausse. Dommage car Bel arbre qui pourrait rendre l'endroit sympa !"
8,déc. 2021,"5,0","Super cuisine , le chef fait des supers plats . Très propre contrôle du pass a l’entrée . Les serveuses sont adorable . Je y retournerai cet été car superbe terrasse ."
9,mai 2021,"1,0","Terrasse agréable, plats corrects, mais dommage qu aucun membre du personnel (ni client, d ailleurs) ne porte de masque ! Je ne sais pas comment cela se passe en cuisine, mais je me fais guère d illusion sur le respect des consignes de sécurité sanitaire !
Bref, je n’y retournerais pas !"
10,août 2020,"4,0","Cuisine simple mais bonne.
Rapport Qualité / Prix un peu élevé.
Terrasse très agréable, surtout lorsqu'il fait chaud."
11,nov. 2019,"4,0","Ambiance agréable,  cuisine exvellente vivement les beaux jours afin de pouvoir remanger en terrasse, la patronne est très accueillante,  vous y passerez un agréable moment"
12,juil. 2019,"5,0","À la belle époque ? Pourquoi pas... mais avant tout, comme à la maison... ambiance conviviale et chaleureuse voire même familiale, un cadre authentique, original, une magnifique terrasse confortable et même un mini jardin pour y accueillir les enfants qui ne manqueront pas de jeux : toboggan, camion, et coffre à jouets débordants jusqu’aux lunettes de soleil!! Sans oublier une équipe professionnelle et tout simplement adorable qui vous donne envie..... À faire et à refaire!!"
13,juin 2019,"3,0","J'ai été décue par le menu du jour comprenant 'entrée plat dessert', non pas à cause de la qualité, mais à cause de la quantité. Entrée de crudité avec 3 fois rien, une toute petite pièce de viande et le comble.... le dessert ! une part de tarte de 3 cm de large à peine, disons un tiers de part normale. Je suis repartie en ayant encore faim.  16 euros certes ce n'est pas beaucoup, mais à ce prix là on trouve largement mieux ailleurs. C'est dommage car le cadre en terrasse était agréable. Certains restaurateurs se perdent à vouloir rogner sur les quantités....non compensées par la qualité tout ce qu'il y a de moyen."
14,févr. 2018,"3,0","Ce petit restaurant est plutôt sympa ! 
Le service est rapide et le personnel est sympathique.
J’ai pris des pâtes aux moules et aux crevettes et un café gourmand. Tout était bon et les prix sont très corrects et abordables !
Une adresse plutôt sympa si vous êtes pas loin !"
15,oct. 2016,"5,0","La patronne et le cuistot sont très sympathique et ont un grand sens du service client !
Les prix sont corrects et les desserts tops !!!
Les plats sont bons avec un super rapport qualité prix mais il ne faut pas s'attendre à de la grande cuisine."
