,Date,Notes,Commentaires
0,mai 2024,"5,0","Excellent accueil on a adoré , plats copieux et délicieux, ont sent les produits frais ! Voilà ce que l’on peut appeler un restaurant !"
1,mai 2024,"5,0","Super endroit hyper propre  et hyper cosy , le service est au top et que dire de l’accueil  , commerçant , agréable , avenant , on reviendra :)"
2,avr. 2024,"1,0","Le lieu est très joli et la terrasse très agréable mais malheureusement les gérants sont arrogants, mal polis et à la limite du manque de respect parfois. Ils se permettent de traiter et de parler aux clients de façon très mal venue (râler contre un client, refuser de servir etc..) . 
Concernant les plats, cela est simple, souvent industriel contraitement à ce qui est prétendu, trop cher pour ce que c'est, même si le quartier est sympa.
C'est vraiment dommage car c'est un lieu avec beaucoup de potentiel"
3,avr. 2024,"5,0",Nous avons passé un très bon moment au Book Lard ! L’accueil était chaleureux et le service et les plats étaient parfaits ! Nous y retournerons sans aucun doute !
4,févr. 2024,"5,0","L’ambiance était tranquille dans un beau cadre, le serveur était super agréable et le repas excellent ! Étant les derniers à partir je ne me suis pas senti pressé de finir de manger comme dans d’autres restaurants."
5,févr. 2024,"5,0","Une soirée au top avec une équipe exceptionnelle qui nous aura autant régalé les papilles, que fait marrer !
Un cadre super sympa, convivial.
Milles mercis au 2 patrons qui nous auront fait passer une soirée mémorable ! 

Je recommande autant pour les saveurs que pour la bonne ambiance! :)"
6,févr. 2024,"5,0","Parfait à tous les niveaux,  nos plats étaient frais et délicieusement bons, accueil, ambiance et service extra, sanitaires très propres, 
Nous reviendrons c’est sûr !"
7,déc. 2023,"5,0","Très bonne cuisine, les plats sont copieux et très savoureux. Lieu chaleureux, bien décoré. Le patron est très sympa ! Je recommande vivement et reviendrai avec plaisir! Merci !"
8,mai 2023,"3,0","Quelle déception ! Nous n’étions pas venus depuis de nombreux mois. Nous savions que le propriétaire avait changé mais étions déjà revenus depuis et les plats étaient alors tout aussi soignés. Ce fut aujourd’hui une énorme déception et l’établissement profite encore de son 5/5 ce qui ne paraît plus très juste. Nous avions le souvenir d’un restaurant proposant des plats travaillés de qualité avec de surcroît un service impeccable. Quelle déception !! Aujourd’hui, à la carte aucun plat de cuisinier ni même recherché, de nombreuses salades XL sans saveur ni aucune délicatesse. Les plats étaient des plats d’assemblage... Nous étions 6 et tout le monde sans exception a été déçu. Quel dommage ! Ce restaurant était dans mes favoris sur Lyon, nous n’y reviendrons plus."
9,févr. 2023,"5,0","Super adresse que nous recommandons sans problème !! 
Accueil très chaleureux , déco super sympa ( cosi , intimiste) 
Le serveur qui est tee sympathique  connaît son métier et a été de très bon conseil …

Le cuisinier , très sympathique aussi ,nous a préparé de supers assiettes ( au passage je vous recommande sans hésiter le burger qui est incroyable !) 

Établissement propre 
Prix corrects 

Nous avons pu échanger avec les gérants  de cet établissement et se sont des personnes passionnées , très ouvertes , force de conseil et qui communique leur bonne humeur !!

Entre amis , en couple ou en famille je recommande vivement ! 😄😃"
10,janv. 2023,"4,0","Un patron fort à l'écoute des remarques qui se met en 4 pour ces clients. 
De la bonne bière locale et un burger atypique... faut aimer le sucré/salée. "
