,Date,Notes,Commentaires
0,déc. 2024,"1,0",Nullissime. Aucune organisation. Pas de service pour les réservations. Nous sommes arrivés à l’heure. Avons attendu plus de 20mn sans avoir de table et sans aucune information du responsable.
1,déc. 2024,"3,0","Le service n'est vraiment pas à la hauteur.
Les serveurs ne sont pas méchants mais n'ont aucun professionalisme , se foutent complètement des clients, sont assez rudes sans le vouloir peut-être. Pas normal de ne pas veiller à cela pour un restaurant pas donné et pas excellentissime non plus."
2,déc. 2024,"5,0","Excellent ! Nous étions entre amis et nous sommes tous régalés. Service parfait, plats délicieux, ambiance joyeuse. Un moment vraiment agréable."
3,déc. 2024,"5,0","Tout était parfait ! De l’accueil à la qualité des plats, mais aussi et surtout le sourire des serveur et serveuses… je reviendrai sans hésiter !"
4,déc. 2024,"1,0","Service catastrophique à part quelques serveurs gentils, deux personnes qui ne savent pas gérer leur caisse et les clients. Une serveuse qui prend de haut et qui est agressive. Mais plats au top. A fuire si vous voulez ressortir de bonne humeur. Service long et manque de professionnalisme. Si vous voulez être bien accueilli à fuire. Si vous ne savez pas gérer un grand nombre de personnes de les accepter pas."
5,nov. 2024,"3,0","J'ai pris une pizza burrata & prosciutto di parma. La pâte n'avait rien à envier à une pizza Domino's: dure, pas aérée, sans goût... bref, du pain.
La burrata n'avait absolument rien d'artisanale. Il faut arrêter de prendre les gens pour des imbéciles. 
Pour ce qui est du restaurant en lui même, c'est le genre où le serveur fait tomber par terre les boîtes de pizza qu'il allait donner au livreur Uber Eats, et où cela n'a dérangé personne que des tomates cerises restent au sol.
Y manger vite fait un soir, une fois en passant devant, oui, mais deux, non !"
6,oct. 2024,"5,0","Soirée parfaite entre amies, tout était presque parfait les pizzas étaient excellentes, et le cadre sympa!
Merci pour le digestif offert le petit plus qui fait la différence !"
7,sept. 2024,"3,0","Une pizza à la crème de truffe sèche et insipide, (gran biscotto al tartufo) et poulpe grillé, très bon, cuisson moelleuse mais servi froid avec pâtes idem. 
Quel dommage. Celà ne vaut pas les 53€.
Dans cet établissement qui reçoit beaucoup de clients, un seul toilette mixte ????? Pas digne....."
8,juin 2024,"5,0","Bonnes pizzas, très bon tiramisu. Vin au verre un peu cher. Cadre sympathique, pizzéria stylé, serviette en tissus, beaux verres . Service très sympathique et professionnel. J'étais venu il ya plus de vingt ans ... je reviendrai bien avant  et pour goûter un plat:!"
9,mai 2024,"5,0","Le décor est plutôt girly propice pour un déjeuner en tête à tête ou à plusieurs. L'accueil est particulièrement chaleureux et professionnel ! Les plats sont réalisés à partir des produits de qualité qui sont exécutés avec délicatesse par le Chef. Le tartare de veau est fondant avec un assaisonnement très juste. Les coquillettes au jambon blanc gran biscotte à la truffe et scamorza valent une note de *** . Nous y avons passé un moment savoureux.  Nous reviendrons avec plaisir. 
"
10,mai 2024,"5,0","Calamars frits parfaits, pas caoutchouteux, bien frits dans une friture parfaite
La pizza calzone est copieuse, bien garnie et succulentes
Ma salade lentilles carottes oignons poulet œuf mollet était juste parfaite eme si je n’ai pas pu la terminer car très copieuse.
Les mauvaises notes doivent venir d’esprits chagrins parce que …. Franchement ….. Nano est une adresse à retenir."
11,mai 2024,"5,0",Nous avons pris l habitude de dîner avec mon épouse et nous sommes à chaque fois satisfaits. Accueil sympathique repas délicieux ambiance conviviale multi generations.
12,mai 2024,"5,0","👌👌👌👌Très très bon je suis italien et franchement j'ai bien mangé prix raisonnable pour Lyon,
Rien à signaler de negatif"
13,mars 2024,"3,0",Restaurant joliment décoré. Calzone peu Garnie . Prix des plats élevés mais bon on est dans le 6eme. Serveurs sympathiques. Dommage que la jeune fille a l encaissement soit a fleur de peau et le fasse ressentir aux clients.
14,févr. 2024,"3,0","Temps d’attente excessif, la serveuse était limite agressive et non chalante.
Pas de merci, oublie les verres que nous commandons, résultat nous le buvons au dessert.
Bref si vous voulez manger à côté de serveuses tendues et des plats le lendemain de votre réservation, foncez vous êtes a la bonne adresse.
Chères et trop chère pour ce que c’est"
15,mars 2024,"3,0","Le goût des pizzas était bien meilleur que leur aspect ne le laissait supposer. Nous avons trouvé que le prix était trop élevé par rapport à la qualité des pizzas.
Personnel agréable et accueillant."
16,mars 2024,"2,0","Samedi 2 mars au soir.
Après avoir pris la précaution de réserver à 21h45 nous avons été servis dans une ambiance assourdissante à 23h. 1h15 d’attente insupportable ! 
Très déçu."
