,Date,Notes,Commentaires
0,déc. 2024,"2,0","quantité: garniture e ma galette minable: 4 mini morceaux de jambon, 5 rondelles de champignons, 1 jaune d'oeuf quasi cru, pas de blanc d'oeuf
qualité: aucun goût
prix: cher pour quasiment rien à manger (14,90€)

salle pas chauffée, bon accueil"
1,déc. 2024,"5,0","Juste après un cinéma, déjeuner en famille avec deux enfants pour le menu enfant. Note contenue pour un repas très agréable et un service très rapide. Une chouette adresse !"
2,nov. 2024,"2,0","Restaurant sans intérêt, la crêpe salée est très médiocre trop cuite et pas très garnie mais la crêpe sucrée est encore pire pas assez cuite trop épaisse. Passez votre chemin surtout si vous aimez les crêpes."
3,oct. 2024,"2,0","On a demandé la crêpe du jour...ah bah pas pendant les vacances !! 
Comme cela quand on vient en famille c'est plus cher...
Et quand je demande pourquoi, la réponse de la serveuse ,: ""c'est comme ça"".
Si je n'avais pas été avec les enfants je serais reparti direct, en tous cas  ils ne me verront plus...c'est comme ça ! "
4,oct. 2024,"2,0",Absolument aucun intérêt culinaire... les crêpes sucrées sont sans intérêt. Les glaces sont en revanche bonnes. Et puis ça reste cher
5,oct. 2024,"2,0","Déception. Les galettes  ne sont pas assaisonnées, la garniture est déposée dessus sans rien assaisonner.  
Le prix d’une galette est trop élevé vu la quantité présentée. 
Et le service est long long long ! Totale désorganisation des serveurs !"
6,févr. 2024,"4,0","Vous cherchez une crêperie sympa pour vous restaurer après la visite du musée des confluences ?

Direction la crêperie Amélie à une encablure de tramway ! Super choix, qualité des produits, service sympa, horaires larges... chèques vacances acceptés.

Crêperie située dans un grand centre commercial (shopping, restauration, activités culturelles et activités physiques) à proximité du musée des confluences, de la préfecture de région ou de la gare Perrache."
7,janv. 2024,"2,0","Prévoyez un bon pull en hivers, il doit faire 18⁰ dans le restaurant, l'une des serveuses est même en polaire.
Les crêpes sont beaucoup trop légères pour leur prix, et en plus un œuf cru sur la mienne... Bravo le chef.
C'est la première et dernière fois que je vais dans ce restaurant."
8,nov. 2023,"2,0","Une envie de crêpe qui m’a bien déçu, 
Des crêpes à des prix exorbitants, qui ne cassent pas trois pattes à un canard. 
Sur la carte il est précisé que ce sont des crêpes sans gluten mais par contre aucune précision sur le fait qu’il y ait de la fleur d’oranger dans la préparation. 
Lorsque l’on n’apprécie pas forcément c’est décevant quand la crêpe arrive et que l’on sent que ça. 
Crêpe au Nutella 5,30€ pour avoir seulement quelques gouttes de Nutella autant prendre une crêpe nature.
Fin bref on ne connaissait pas mais nous ne reviendrons pas ça c’est sur."
9,oct. 2023,"3,0","Jolie decoration, serveurs très bien, rapide, mais le prix est bien trop onéreux pour ce qu'il y a à manger. "
