,Date,Notes,Commentaires
0,déc. 2024,"5,0","Ambiance soignée, patrons amicaux et donnant toutes les explications bienvenues sur l'histoire de leur restaurant et sur les plats. De beaux plats, 2 à 3 choix par type. Très bien cuisiné, assaisonné et portions équilibrées. Belle carte des vins, très fournies. Bravo à vous, nous reviendrons"
1,nov. 2024,"5,0","Vous voulez bien manger, alors allez dans ce restaurant. Tout est parfait. L'accueil, la sympathie du personnel, excellent.
Vous pouvez même vous rendre en cuisine pour féliciter le cuisinier, il est très content d'entendre votre satisfaction.
Je le recommande vivement. En sortant du restaurant, mes amis m'ont dit "" il faut que l'on revienne ici, trop bon """
2,nov. 2024,"5,0","Tout simplement parfait de l’entrée au dessert en passant par les vins et le service. 

Assurément un des meilleurs restaurant de ma vie !

Merci Frazarin."
3,nov. 2024,"5,0",Belle soirée passée au Frazarin. Certainement encore plus recommandable pour les amateurs de vin(s). Personnel également très avenant.
4,sept. 2024,"5,0","Très bon restaurant ! j'ai adoré le service et l'offre de restauration, le lieu est convivial ! je recommande à tous les amateur d'Italien"
5,nov. 2024,"5,0","Restaurant situé rue de Condé, vous qui êtes de passage ou habitant de Lyon, vous ne pouvez pas passer à  côté de cette pépite...
Très belle déco et que dire de ce qui se passe dans l'assiette! 
Cuisine raffinée qui exaltera vos papilles et qui vous fera voyager jusqu'en Italie... 
Alors à vos fourchettes et bon appétit...."
6,oct. 2024,"5,0","Mon dîner plutôt italien avec en 
entrée (photo hélas floue) : 
gnudi (sorte de gnocchis) toscani, ricotta e spinacci, bouillon e lardo colonnata. C'est sous forme de sphère - ricotta e spinacci), en fait enroulée dans de la colonnata, très très fine tranche de lard blanc frit, ressemblant à un Ha Kao mais plus translucide. Aussi surprenant à voir qu'à déguster ;

en plat : 
tagliatelle pomodoro, salsiccia, finicchio e menta. Le régal continue...

en dolce (dessert ) : gros chou crème pralinée, mascarpone avec caramel beurre salé et noisettes caramélisées. Un ""must"" !

Avec, pour accompagner, un ballon de succulentissime
Nero d'Avola.

Une adresse où se rendre sans hésiter à Lyon."
7,oct. 2024,"5,0","Déjà à l’entrée, on y est accueilli avec gentillesse. Le service est personnalisé puisqu’on prend le temps d’expliquer le menu. Il ne faut pas s’attendre à un menu très diversifié, mais ce qui est proposé est bien cuisiné et recherché.
Bref, c’est vrai que c’est bon."
8,oct. 2024,"5,0","Accueil très sympathique, plats originaux et très expressifs. Très bons conseils sur les vins. Une très bonne adresse."
9,sept. 2024,"5,0","Dès qu’on pousse la porte, on est chaleureusement accueilli par d’immenses sourires.
Le personnel est très sympathique et convivial ( un immense merci à Quentin qui connaît même la petite commune de Linkebeek 😂). La suite n’est pas en reste : une belle vaisselle, une présentation très soignée et des plats délicieux et de qualité.
Bref, on vous le recommande les yeux fermés.
Encore merci à vous."
