,Date,Notes,Commentaires
0,févr. 2024,"5,0","Bon accueil, service efficace (bravo au serveur Pascal). Rapport qualité prix : RAS.  Je ne peux que recommander cet établissement."
1,févr. 2024,"1,0","Si vous voulez prendre une douille c’est bien ici à pizza pino , economisez vous du temps et de l’argent, évitez ce lieu !!!"
2,févr. 2024,"1,0","Pizzas très médiocres et pâtes immondes... très très déçue... 
(Alors que j'adore les pâtes)
Pour un italien n'allez pas là-bas !!"
3,févr. 2024,"1,0","Décevant ! 
Gratin de pâtes... Écoeurant .  Carbo avec un arrière goût plus que douteux. Seules les pizzas sont acceptables. Malgré notre demande suite à ce repas raté, nous avons une petite et honteuse remise de 10 %.
Nous ne reviendrons pas! "
4,janv. 2024,"3,0","Il y a encore quelques années vous deviez patienter pour être placé. Maintenant, aucune attente, et cela aurait dû peut-être nous alertés. 
Déjeuner à 2 mais grâce à la rapidité des cuisiniers, ce fut un déjeuner en décalé. La pizza aura été servie plus de 30 minutes après sa commande.  Mais où va-t-on? c'est quoi déjà le nom de ce restaurant?... et mis à part les excuses tout automatique du serveur, même pas un geste commercial.  Allez, arrivederci Pizza Pino et à jamais..."
5,janv. 2024,"2,0","Endroit qui paraît sympathique de l’extérieur. Carte correcte. Ça se dégrade ensuite déjà avec l’apéritif… une coupe de champagne sans plus aucune bulle c’est pas une coupe de champagne !on vous la change en tordant du nez ça commence bien. S’en suit une pizza 4 fromages qui n’en n’a que le nom. normalement il y a quand même du goût sur une pizza, quatre fromages là rien. Bref ça remplit l’estomac. On ne se régale pas on passe pas un bon moment passez votre chemin."
6,déc. 2023,"1,0",A fuir ! Extrêmement déçu ! Pizza trop cuite nous avons essayés de la couper avec de couteaux différents 😏 Bon courage. Manque de respect pour le client qui vient manger pour y être tranquille. 
7,déc. 2023,"2,0","Encore une fois déçue 
Une longue attente pour des plats guère goûteux: les pizzas sont bonnes mais le hamburger n’avait guère le goût de truffe!
Quant à la salade sarde, la salade verte était cuite et pas fraîche du jour, les fregola sèches et en paquets collées , ce qui est bien dommage. Cette entrée sarde peut être un régal et facile à cuisiner!
Quand à l’attente comme d’habitude 1h entre le moment où on se présente et le moment où nous sommes enfin servis ( la salade 10minutes après les plats chauds! Vous pouvez m’expliquer????) à 22h!!!!
Serieusement cela devient catastrophique! Nous sommes lyonnais et cela nous chagrine .
Donc je déconseille cette table pas vraiment italienne"
8,déc. 2023,"1,0","Je suis allé le 16/12/23 déjeuner à 12h00 au Pizza Pino de Lyon Bellecour
J ' ai pris le Burger Pino la présentation de l ' assiette était médiocre et lamentable
Le pain du Burger était dégueulasse et les pommes de terres en guise de pseudo accompagnent était pas bonnes 
Le rapport qualité prix de ce restaurant est une une  arnaque voir du vol j ' ai payé 16 euros un Burger c ' est une honte 
Je ne recommande pas ce restaurant aux Lyonnais et aux touristes de passages à Lyon ce restaurant est à fuire de toute urgence d ' autant plus que lorsque l ' on est pas d ' accord avec vous on vous met de force dehors je n ' ai jamais vu ça c ' inadmissible moins il y aura de monde dans de ce restaurant et plus il y aura de mauvaises pubs ça sera une bonne chose qu ' il soit moins fréquenté ....."
9,déc. 2023,"2,0","Avant de reprendre l'avion, nous nous sommes arrêtés dans cet établissement. Les dernières remarques formulées sur ce sites sont à nos yeux justifiées. A l'étage où nous étions un oiseau volait dans tout l'espace. Nous en avons fait part au serveur mais pour lui ce n'était rien. Résultats, les gens à coté de notre table ont retrouvé des fientes sur leur carte de menus, sur leur table et sur les couverts, normal quoi! Mes linguines carbonara: lard grillé et absence d'oeuf. Soit-disant ce dernier était mélangé. j'en ai pas vu une seule trace. Pour la planche de fromage à 9.90€, il n'y  avait pas 80 grammes de fromage. cela fait cher au kilo!!!
Endroit à éviter"
10,nov. 2023,"3,0","Pizza conformes et bonnes.
Servies rapidement et chaud.
Cuites juste ce qu'il fallait.
Par contre, table hyper serrée. Ça mériterait un peu plus d'espace.
Très bruyant.
"
11,nov. 2023,"1,0","Tout simplement ma pire expérience resto de ces derniers années. 40 min d’attente entre la commande et le service. Un plat sur 3 servi avant les autres. L’un d’entre nous a eu le temps de finir son assiette avant que les autres soient servis. Pizza calzone pas assez cuite avec un œuf pas cuit à l’intérieur et une sauce tomate complètement liquide. Préparation sans goût, sans assaisonnement et pas assez salé….
Simplement pas bon et je nais pas terminé. 
Je mange régulièrement dans des fast food et autres chaînes pas cher. Là on est en dessous de l’admissible."
12,nov. 2023,"1,0","Salle très sale, carte des menus collantes.
Commande rapide.
Et la c’est de désastre, une calzone épaisse, champignons en boite, sauce tomate à l’eau , fromage sans goût et le pire le jambon coupé tellement fin que sans goût au dessus de la calzone et non dedans.
A fuir"
13,nov. 2023,"1,0","Nous étions 4 à dîner, 2 ont été servis assez rapidement puis 1 apres 1/4 d'heure d'attente et pas le dernier, son plat ayant été oublié à la commande. Il est arrivé 1/2 heure après les premiers. Pas de champignons sur la pizza Regina, des pâtes à la carbonara immangeables avec des bouts de gras à la place des lardons, pas d'œuf frais dessus mais intégré dans une sauce à la crème grumeuleuse !! 2 plats typiquement italiens ratés. Nous sommes partis sans prendre de dessert vu la qualité des plats.a Le serveur à fait un geste et nous n'avons pas réglé ces pâtes immangeables oubliees à la commande. Je ne recommande pas du tout ce restaurant."
14,nov. 2023,"1,0","Tellement déçu! Nous connaissions cet établissement avant ,la qualité à vraiment changé en même temps que les propriétaires. 
Pizza à la roquette sans roquette mais remplies d’ iceberg en sachet immonde. Les pâtes à la carbonara au goût brulé vraiment très mauvaises! Je ne recommande vraiment pas mais surtout nous ne remettrons jamais les pieds dans ce restaurant."
15,nov. 2023,"1,0","Horrible ! 2 pizzas qui n’ont pas la tête de pizzas et qui, au goût ne valent même pas des pizzas surgelées …
Les pâtes sont dures à découper, attention de bien vous accrocher à la table ! 
J’en parle au serveur qui me confirme que le propriétaire a changé et que les pâtes datent de la veille !!!!
À FUIR IMPÉRATIVEMENT"
16,oct. 2023,"3,0","L’on ne s’attendait pas à être particulièrement agréablement surpris,… l’on ne le fut pas. Service efficace, pizza à la pâte difficile à couper (ou couteau pas efficace,…).
Ingrédients pas tout à fait conforme à la carte,… carte avec plusieurs propositions plus disponibles,… mais hormis cela pas mauvais non plus, juste, on n’y retournera pas."
17,oct. 2023,"2,0","Service déplorable 
Aucune synchronisation temps d’attente très long service n’importe comment 
Pizzas froides

Aucun intérêt à éviter et cher par dessus tout "
18,oct. 2023,"1,0","Pizza sans goût, gratin au saucisson lyonnais sans saucisson..... sauce tomate pas terrible. Vin aigre. Le serveur est agréable "
19,oct. 2023,"2,0","Endroit vétuste et pas très propre,  service minimaliste, pizza acceptable, lazagne noyée dans un bain de sauce tomate . 
Mais le pompon reste l'état des toilettes, depuis l'accès qui se laisse deviner par son odeur nauséabonde, à l'entrée des cuisines. Inadmissible.
A éviter. Surtout pour ceux qui connaissaient cet établissement avant. 
      "
20,oct. 2023,"1,0","Je n’ai jamais mange une pizza aussi DEGUEU…. de ma vie 
La petite serveuse qui venait d’arriver très sympathique m’a demandé ce que j’en pensais impossible à couper même avec leur couteau en sortant mon conjoint est allé le dire au responsable qu’il fallait vite qu’il change de pizzaiolo 
ils ont une chance incroyable d’avoir l’emplacement qu’ils ont 
Et que c’était la coupe du monde de RUDBY 
rien sur les pizzas inadmissible que l’on puisse servir de tels produits aux client "
21,sept. 2023,"1,0",Les serveurs sont affables le service est rapide le cadre est agréable. Le gros point noir et il est de taille ce sont les toilettes qui ne sont pas nettoyées une  odeur pestilentielle et le sol est collant et sale. Indigne pour la marque et pour Lyon. Il faut faire quelque chose
22,sept. 2023,"1,0","Une ambiance de hall de gare et une hygiène où plutôt pas d'hygiène, des toilettes où il vaut ne pas aller."
23,sept. 2023,"2,0","Avant c’était top mais maintenant que dire… Pizza impossible à couper même avec un couteau spécial, 17€ pour rien dessus hormis des feuilles de roquette et une burrata, 30min d’attente, et quand je demande s’il est possible de me faire un cocktail sans alcool le serveur me demande « pourquoi? » comme si je devais me justifier de ne pas boire d’alcool…
Qualité/prix pas du tout au rendez-vous, passez votre chemin."
