,Date,Notes,Commentaires
0,déc. 2024,"2,0","très très cher au regard de ce qui est fourni surtout en plats chauds ( les œufs brouillés sont infâmes je n'en ai jamais mangé d'aussi mauvais), et sans les boissons, on trouve l’équivalent et mieux dans ces grandes chaines de restaurants asiatiques dans les menus du week end ou du soir pour 2 fois moins cher, c'est vrai que le décorum est agréable, mais ça ne suffit pas,"
1,déc. 2024,"5,0","Cet établissement est une véritable pépite ! Le restaurant se distingue par une décoration élégante et soigneusement pensée, créant une ambiance chaleureuse et raffinée. Côté cuisine, tout était absolument délicieux : des plats savoureux, parfaitement préparés et joliment présentés. Chaque bouchée a été un régal pour les papilles, et il est évident que les ingrédients sont de grande qualité. Le service, quant à lui, était irréprochable : attentif, professionnel et toujours avec le sourire.

En somme, une expérience culinaire exceptionnelle du début à la fin, dans un cadre charmant et accueillant. Je recommande cette adresse sans la moindre hésitation, que ce soit pour un repas en tête-à-tête, une sortie entre amis ou une occasion spéciale. Vous ne serez pas déçus !"
2,déc. 2024,"5,0","Brunch en famille qui a conquis petits et grands. Ateliers jeux pour les enfants qui a permis aux adultes de profiter d'un buffet plus que complet avec des huîtres, du saumon, des crevettes, des plats chauds et une farandole de desserts. Des mets de qualité et un personnel jeune et tellement sympathique."
3,juin 2024,"1,0","je suis navré mais c'est juste immangeable l'entrée pourrait s'améliorer ne vaux pas plus qu'une auberge, plus jamais"
4,nov. 2024,"1,0","Après une réservation par téléphone 📞 nous nous présentons et la serveuse ne trouve pas notre nom. Elle nous accepte mais à condition de libérer la table rapidement. 
Le repas est expédié à une vitesse folle ne nous laissant pas le temps de finir notre apéritif.
Les plats sont sans saveur et le café gourmand infect.
Arrive le moment de l’addition ou nous sommes facturés 48 euros de plus .
Soirée médiocre ou nous n’avons même pas pu danser comme nous l’avions prévu.
22 h retour à la maison avec un goût amer.
Nous ne reviendrons pas c’est certain."
5,nov. 2024,"2,0","Nous sommes allés pour un brunch mais quelle déception. Pas beaucoup de choix en plat chaud. Juste des petits bouts de « côtes de bœuf » qui était gras et durs. Les accompagnement était juste tiède. Pas de poisson en plat chaud. 

Ne parlons pas de l’odeur d’égouts notre table.
C’était vraiment horrible. 

Vraiment déçus surtout pour le prix."
6,sept. 2024,"5,0","Merci pour cette belle soirée, un accueille parfait et un service impeccable de la part de Lucas. Une adresse pour passer un bon moment en famille ou entre amis."
7,juil. 2024,"5,0","Nous avons passé une excellente soirée. Je r mercie particulièrement Aghilas et Hmeida pour nous avoir trouvé une très belle table alors que le restaurant affichait complet et Clévis pour son excellent service . Les cocktails sont délicieux, je recommande le Mojito Maison."
8,juil. 2024,"5,0",Bonne soirée au Selcius dans le cadre d'un pot de départ. On a partagé de bons tapas. Le mojito maison a beaucoup plus. Grand merci à Haida et Aghilas pour la salle est le service :)
9,juil. 2024,"4,0","endroit magnifique et nous avions une salle très agréable pour notre diner entre amis. 
merci au personnel tout était parfait !!"
10,juin 2024,"1,0","Quel dommage ! un si bel endroit ! 
Déjà beaucoup de difficultés pour réserver une table.... Abandonnez le téléphone et passez direct par internet. Énormément de bruit, des serveurs dépassés et pas très souriants même limite polis ...prise de commande très longue, plats tièdes.Seul l agent de sécurité nous a  paru sympa ... Bref nous ne retenterons l expérience"
11,juin 2024,"1,0","Pour réserver, un cauchemar , j'ai du téléphoner 3 fois : 
attente téléphonique de plus de 30 minutes avec des annulations en ligne à chaque réservation d'ou mes 3 appels.
Organisation déplorable, personnel incompétent avec des tarifs exorbitant pour le service proposé.
Vraiment très dommage car bel endroit."
12,juin 2024,"1,0","Restaurant qui se donne l’allure d’un « grand » mais qui ne vaut pas plus qu’une auberge !
Et encore dans une auberge on vous dit BONJOUR ! Et les serveurs ont le sourire.
Grand manque d’organisation pour les commandes, le service ….
Si vous n’êtes pas pressés ce bar/restaurant est fait pour vous, car le mot « attendre » prend toute sa définition ici. 
La seule chose qui est très rapide c’est votre note, et l’arrivée du terminal de paiement quand vous indiquez que vous souhaitez payer !  
Plats chers qui arrivent froids ou à peine tièdes. Plats que le serveur vous apporte 2 fois ! 
Vin que vous n’avez pas commandé.
Bref… une catastrophe."
13,juin 2024,"1,0","À FUIR ! 
Nous avions réservé pour 8 personnes en terrasse pour un afterwork depuis une semaine, j’appelle la veille et on me confirme la réservation en terrasse pour au final m’appeler quelques heures avant pour me dire que la terrasse est privatisée.
Manque de professionnalisme inacceptable !"
14,mai 2024,"5,0","Tres bonne soiree passé entre amis. 
Nous avons ete servis par shaineze et pierre
Super serveuse, tres gentil et souriante. 
Un peu decu du cafe gourmand. 
Mais très satisfait de la soirée passée. 
Merci encore a shaineze et pierre pour son acceu"
15,mai 2024,"1,0","Nous réservons à l'intérieur et demandons un endroit calme pour échanger avec notre client.
Nous apprenons en arrivant que l'intérieur est fermé suite décision équipe de service. Ce sera dehors.
Il fait froid.
Plats sans saveurs qui ne sont pas servis en même temps.
Service composé de débutants qui tournent en rond sans savoir quoi faire.
Il faut redemander plusieurs fois la même chose.
C est long, très long.  Le vins arrive une fois le repas terminé. 
L' établissement a vraiement perdu en gamme.
Dans ces bugets, on se moque des clients."
16,mai 2024,"2,0","Quel dommage !
Le lieu est très agréable ainsi que les activités proposées pour les enfants mais le service, malgré l’amabilité du personnel, est très désorganisé.
Accueil et installation inexistants, attente interminable pour les boissons, terrasses inaccessibles un jour de beau temps fin mai, assiettes non débarrassées 
Et une impression d’agacement de l’équipe face à cela, certainement dû à un manque d’implication de la direction, absente un jour d’affluence."
17,mai 2024,"5,0","Servie par shaineze et sirine genial super gentil a l’ecoute et bonne ambiance, je recommande pour passer un bon moment. Je reviendrais vous voir les filles !!"
18,avr. 2024,"1,0",Le celsius a bien baissé en qualité vous ne trouverez plus les énormes buffet à volonté qu'il y avait auparavant et vous ne trouverez plus non plus la diversité de plats chauds qu'il proposait à la place on a plus l'impression d'être sur un brunch type Flunch avec des produits de basse qualité peut-être hormis les crevettes qui sont de gros calibre la seule viande proposée l'entrecôte ressemble plus à un petit bout de rumsteak horriblement nervuré ah oui j'oubliais des minuscules petites côtes d'agneau enfin si on peut appeler ça des côtes deux trois patates grenaille cuite à la vapeur rien d'extraordinaire je ne vous parle même pas des œufs brouillés qui ressemble plus à un vomi liquide jaune que de la nourriture pour le café vous vous contenterez d'une énorme carafe de café où tout le monde se sert dedans alors que jadis le café était proposé à la table avec un vrai café PERCO pour le thé si vous n'aimez pas le thé noir tout simple et bien vous boirez de l'eau chaude enfin un tiède car vous n'aurez rien d'autre concernant les serveurs vous en aurez partout autour de vous mais à quoi sert-il on se demande bref une expérience à ne pas renouveler surtout vu le prix du brunch pour quasiment une cinquantaine d'euros vous trouverez largement mieux ailleurs endroit à fuir et à déconseiller plus rien à voir avec ce que vous avez pu connaître il y a 10 ou 15 ans en arrière
19,avr. 2024,"2,0","Très Bruyant 
Petites portions
 Très Cher pour la cuisine proposée 
Discussion très difficile entre amis tellement que la musique est forte…"
20,mars 2024,"2,0","Je ne recommande pas brunch limité dans les choix. Salle bruyante et
mauvaise aération. Service déplorable. 
Buffet plus que moyen on se croit à la cantine . À déconseiller ."
21,mars 2024,"3,0","Brunch entre amis pour Pâques 🐣 nous avons l’habitude de bruncher et nous avons été très déçus ! Un monde de folie, on nous installe à l’étage serré contre le mur je demande  la table vers la fenêtre on me dit non c’est réservé et au final personne n’est jamais venu … buffet en bas plus de 10minutes  aux plats chauds donc légumes froids un choix très limité . J’aime bien ce restaurant mais je déconseille le brunch du dimanche"
22,févr. 2024,"4,0","On a passé une très bonne soirée et un très bon service,  mis à part les clients derrière nous qui ont très mal parlé à la serveuse ."
23,mars 2024,"1,0","Horrible, endroit froid, café d'hôtel avec lait froid,  trop trop cher, à fuir à tout prix! Pas accueillant, même pas des œufs pour un brunch..."
24,mars 2024,"2,0","Brunch dans la salle du haut en plein courant d’air. J’aurais apprécié que ce soit signalé à la réservation faite par téléphone. Buffet moyen, salades et gâteaux sembles surgelés. Très cher pour la prestation."
25,janv. 2024,"1,0","Expérience désastreuse...hall de gare bruyant et froid...  3 serveurs différents pour une même table, dépassés, incapables de mémoriser les commandes. Le premier a confondu ""formule du jour-"" et ""plat du jour"".. ce qui nous a valu de ne pas être  servis pour l'entrée..une fois la correction effectuée on nous a apporté ""l'oeuf parfait"" (sic) , servi FROID avec un oeuf cuit dur immangeable. Quant au vin blanc, servi façon sorbet, dans un seau de glaçons... Heureusement le poisson (lieu noir) était bon. Établissement indigne de ses prétentions."
26,janv. 2024,"1,0","serveurs hautains et très désagréable , nourriture trop cher pour ce que c’est, je ne conseille pas du tout!!!
!!!!!!!!!"
27,janv. 2024,"1,0","J’avais souvenir d’un endroit sympa courtois et plus bon et avec des propositions de qualité pour lesquelles on acceptait de payer un peu cher mais… Quelle déception! Des salades banales, dés pan cakes industriels, des scrumble eggs nageant dans la crème, du saumon bon mais basique,  une bonne côte de BOEUF entre 2 morceaux nerveux et gras, le personnel peu impliqué et sans consignes et tout ceci pour 42 € sans supplément, vins alcool…. Déçu et ne reviendrai certainement pas. Thierry Duteil"
28,déc. 2023,"2,0","Déçu 
Le même menu que l'an dernier pour le 31/12
Pas tres original...
Service a revoir, bq d'attente 
Entrée bof 
Plat correct
Dessert convenable
 20 € de plus par personne..

C'etait la fois de trop 
Dommage le cadre est joli. 

"
