,Date,Notes,Commentaires
0,déc. 2024,"5,0","Excellente prestation.
Restaurant peu bruyant malgré le monde.
Propre ainsi que les toilettes.
Cuisine excellente.
Choix des plats diversifiés 
Présentation des assiettes top
Quentin notre serveur jeune ,dynamique a été très attentionné envers nous.
Je recommande  sans hésiter"
1,nov. 2024,"5,0","Beau Restaurant dans un  cadre très agréable 
Personnel sympathique dont Quentin 
Mets très bons
Bon rapport qualité prix"
2,nov. 2024,"5,0","Accueil très sympa , le déjeuner était excellent des bonnes saveurs et une assiette bien remplie 
Rapport t qualité prix excellent je reviendrais"
3,nov. 2024,"5,0","J'ai eu la chance de participer à un séminaire à la source, et je dois dire que tout était au top. Que ce soit le repas, le cadre ou les équipes, tout était parfait ! Un grand merci pour cette belle découverte, je reviendrai sans hésiter.  
Un petit clin d'œil à Fanny pour son accueil chaleureux !"
4,déc. 2024,"5,0","J'avais déjà eu l'occasion de découvrir le restaurant La Source, et j'y étais revenu récemment pour une soirée d'entreprise. Encore une fois, tout a été parfait ! Que ce soit le cocktail, le lieu ou l'équipe, tout s'est déroulé à merveille. L'endroit est vraiment agréable et l'ambiance idéale pour un événement. Merci à Fanny pour son attention et bien évidemment à toute l’équipe. Je recommande vivement !"
5,nov. 2024,"5,0","Excellente cuisine : des produits frais et du fait maison ! 
J'ai pu manger de la très bonne viande de race.

Le cadre est également exceptionnel!"
6,déc. 2024,"5,0",Très belle endroit et unique à Lyon ! Nous avons très bien mangé. Merci encore à l’équipe pour cette accueil chaleureux !
7,déc. 2024,"5,0","Une belle découverte : beauté et tranquillité du cadre, service au trop et grande qualité du repas (notre spéciale pour la moutarde en ramequin à la demande)"
8,déc. 2024,"5,0","Excellente expérience, accueil au top et assiette très satisfaisante ! Je recommande cet établissement, au cadre agréable et original."
9,déc. 2024,"5,0","J’y suis venue en famille, pour affaire et entre amis, que ce soit pour un repas classique, une privatisation professionnelle ou une soirée dansante… c’est un lieu magnifique , plein d’histoire où tout est bon, en circuit court et d’une grande qualité (y compris le service). Je conseille vivement ce retour aux sources, à La Source !"
10,oct. 2024,"5,0","Nous avons passé un excellent moment à l’occasion de notre séminaire de fin d’année ! La nourriture était délicieuse, mais ce qui a vraiment marqué notre expérience, c'était le service impeccable. Merci particulièrement à Quentin pour cette belle soirée ! Nous reviendrons avec plaisir."
11,nov. 2024,"5,0","privatisé pour un anniversaire l'endroit est magique splendide, le repas, les tapas, et les desserts sublimes . J'ai eu l'impression d'être projeté dans un palais .... tout était parfait . Je recommande cette adresse , avec une super équipe.
Merci 
Gisèle"
12,nov. 2024,"5,0",Nous avons découvert la Source lors d'un déjeuner entre amis. Nous avons tous été totalement séduits par le lieu. Je le recommande à toutes mes connaissances.
13,nov. 2024,"5,0","Nous avons privatisé une salle pour un séminaire d'entreprise, le cadre est idéal pour ce genre de réunion et les prestations sont à la hauteur. C'est un lieu atypique en plein centre de Lyon tout proche de la gare. Nous avons été très satisfaits et reviendrons au printemps pour de prochaines réunions pour profiter des belles terrasses."
14,nov. 2024,"5,0",L'endroit est parfait pour passer un moment agréable avec des amis. On a vraiment bien mangé dans un endroit unique sur Lyon
15,oct. 2024,"5,0","Endroit parfait pour une réunion avec mon équipe commerciale parisienne.
buffet original et service réactif. Salle et terrasse privatisée."
16,sept. 2024,"5,0",Nous avons privatisé le lieu pour y organisé une réunion professionnelle de rentrée. Nous avons été très satisfaits  : très bonnes prestations dans un cadre vraiment original avec de belles terrasses dont nous avons pu profiter.
17,nov. 2023,"4,0","Parfait endroit pour une réunion de travail ""détendue"", suivie de tapas et bon verre. Accueil parfait . Recommande fortement"
18,nov. 2024,"5,0","En plein séminaire à Lyon nous avons eu la chance de dîner à la source et par la même occasion de rencontrer Fanny et son équipe. Merci à elle pour son amabilité tout au long du repas. Encore merci, nous reviendrons avec plaisir et sans hésitation"
19,nov. 2024,"5,0","Super endroit ! Accueil très chaleureux 
La serveuse Fanny est super !
Souriante et dynamique 
Mon équipe et moi même avons passé un super moment 
Je recommande"
20,nov. 2024,"5,0","Nous avons réservé l'une des salles de la Source pour notre séminaire.
Tous les participants ont apprécié ce lieu authentique, l'accueil très professionnel du personnel et les délicieux plats faits maison.
Nous recommandons fortement cet établissement."
21,oct. 2024,"5,0","J’ai adorer, le service était impeccable, la cuisines excellente et le lieu est vraiment très beau. Pas déçu une seule seconde, j’y reviendrais sans hésiter."
22,oct. 2024,"5,0","Un restaurant exceptionnel ! Le cadre est magnifique, avec une décoration soignée et une ambiance chaleureuse. Les plats sont un véritable délice, préparés avec des ingrédients frais et présentés avec soin. Service impeccable, personnel attentionné. Une expérience à ne pas manquer, j’y retournerai sans hésiter !"
23,nov. 2024,"5,0","Nous avons organisé un séminaire à la Source et avons été enchantés de l’accueil qui nous a été réservé. Le cadre est magnifique et les plats excellents qu’il s’agisse du goût ou de la présentation .
Excellente prestation du début à la fin !"
24,juil. 2024,"5,0",Lieu incroyable pour boire un verre et manger quelques tapas en été ! Havre de fraicheur et de calme dans la fournaise lyonnaise !!
25,nov. 2024,"5,0","Pour un déjeuner entre amis, nous avons apprécié ce moment convivial dans un cadre très agréable avec un service impeccable et dégusté des plats savoureux, préparés avec des ingrédients de qualité. Nous y retournerons avec plaisir pour déguster cette délicieuse cuisine."
26,nov. 2024,"5,0","Cadre élégant, authentique et plein de charme. La cuisine est est au rendez-vous avec un très bon rapport qualité/prix. Je recommande!"
27,sept. 2024,"5,0","Accueil chaleureux dans un endroit 
atypique chargéd'histoire, une cuisine de grande qualité
Je recommande vivement"
28,nov. 2024,"5,0",Sommes venus en amoureux un midi. Le service est rapide et efficace. Une cuisine soignée et réfléchie dans un cadre agréable et convivial. Adresse à recommander ++
29,oct. 2024,"5,0","Lieu magnifique même en inter saison.
Personnel accueillant 
Plats excellents 
Très bon rapport qualité/prix 

Le + : le chef Maxime est passé nous saluer"
30,nov. 2024,"5,0","Un îlot de tranquillité au milieu de l'agitation urbaine .
Produits frais de saison et parfaitement cuisinés
Accueil chaleureux"
31,oct. 2024,"5,0","L’endroit parfait à Lyon, le cadre est incroyable tout comme la nourriture. 
Je vous le conseille vraiment ce restaurant, vous ne serez pas déçu!"
32,oct. 2024,"5,0","Endroit charmant, à l'intérieur d'une cour. Accès facile, proche gare Perrache. Accueil très sympathique. Carte variée."
33,juin 2024,"5,0","Nous avons privatisé le lieu et le restaurant pendant 2 jours pour un événement avec nos clients. L'équipe de La Source s'est non seulement montrée très disponible en amont, mais également pendant l'événement. Respect des consignes, adaptation, disponibilité, efficacité et gentillesse des équipes. Mention spéciale à Serge, Laetitia, Romain, Jérémy et Victor. Merci à vous tous.
Le lieu est parfaitement adapté pour des événements. Le bâtiment et les terrasses sont très beaux. 
Les repas étaient également de qualité, aussi bien le buffet que le cocktail, midi et soir. Les clients sont enchantés et nous aussi."
34,avr. 2024,"5,0",Toujours un très beau moment passé en mode lounge en soirée pour papoter entre copine ... Excellent accueil a chaque fois
35,mars 2024,"5,0","cadre idéal, équipe accueillante, serviable et chaleureuse. 
Responsable orienté besoin et demande clientèle 
Excellent service!!"
36,févr. 2024,"5,0",2 jours de séminaire très agréables : une grande salle lumineuse avec du cachet et un personnel très attentionné. Merci pour tout. Je recommande. Surtout situation idéale  proche gare et hôtels !
37,févr. 2024,"5,0","Nous nous sommes régalés tant gustativement que visuellement. 
Le plat la criée du jour très bon. Le lieu est superbe et atypique. Bien pensé dans chaque espace.
Service au top, le monsieur a été très sympa et accueillant"
38,déc. 2023,"4,0","Nous étions nombreux pour cette réunion de travail.  L'environnement est cosy. L'accueil très professionnel et l'accès est facile car à 5 minutes à pied de la gare de perrache. Accueil petit déjeuner très complet avec fruits. Buffet pour le repas de midi dans la même salle très bon, copieux. Après il faudrait mieux repartir les plats afin que chacun puisse manger de tout. "
39,nov. 2023,"4,0","J'ai organisé une fête surprise pour les 40ans de mon épouse, en invitant 45 personnes, la fête a eu un grand succès grâce à la beauté et confort de la ""location"" la salle centrale avec ses lumières et espace, la cuisine le bar et surtout la disponibilité et la gentillesse du personnelles sur place, un merci particulier a Victor et Romain qui ont été exemplaires.
les invitées dont certains ont fait le déplacement depuis l'Italie et la Suisse ont beaucoup apprécié :-)
a recommander vivement."
40,nov. 2023,"4,0","Parfait endroit pour une réunion de travail ""détendue"", suivie de tapas et bon verre. Accueil parfait . Recommande fortement "
41,nov. 2023,"5,0","J'ai connu le Source Store lors d'un événement professionnel.
L'endroit est parfait : Facile d'accès, un lieu à la fois convivial et intimiste favorisant les échanges.
Une équipe à l'écoute et très professionnelle.
Vraiment je recommande ++++"
42,oct. 2023,"5,0","Pour un repas de famille réussi à Lyon 2e, pensez à ce restaurant situé dans un cadre idéal et très agréable. Le gérant peut vous proposer un buffet pour plus de convivialité. Je recommande vivement pour les événements business."
43,oct. 2023,"5,0","Une véritable expérience dans un lieu formidable
Un buffet bien organisé pour un repas de famille réussi 
On recommande vivement"
44,juin 2023,"5,0","Equipe sympa, organisation de l evenement entreprise au top, personnel attentionné et professionnel, je recommande !"
45,juin 2023,"5,0","Organisation d’un événement professionnel de très bonne qualité ! 

Une équipe accueillante et joyeuse. 

Un matériel de projection et de diffusion de son de haute qualité. 

Un buffet équilibré et de bonne qualité. 
"
46,juin 2023,"5,0","Nous avons choisi cet endroit pour un évènement intra-professionnel sans le connaître et franchement, tout était parfait : de sa préparation à la soirée en elle même.
Le lieu splendide, l'organisation au top et le personnel sur place le soir au petits soins. C'était vraiment très agréable.
Je recommande vivement ce lieu plein de charme aussi bien par son caractère historique que par les gens qui le composent et l'animent."
47,juin 2023,"5,0","Un endroit assez incroyable au centre de Lyon Une très belle terrasse au calme, dans un très bel environment.
En plus l’accueil est chaleureux nous y avons passé la soirée avec un groupe. De 40 personnes c‘’était parfait.
Je recommande vivement cet endroit encore peu connu mais pas pour longtemps au vu de la qualité des prestations."
48,juin 2023,"5,0","Les responsables de cet établissement font preuve d'un professionnalisme, d'une efficacité, et d'une mise en ambiance de fait très décontractée car ils maitrisent la technique  "
49,mai 2023,"5,0","Nous avons organisé un afterwork dinatoire d'entreprise. Tout le monde a été ravi de la qualité des produits, du service et de la sympathie du personnel... et tout le monde a été séduit par le lieu. Nous reviendrons l'année prochaine !"
50,mai 2023,"5,0","Très sympa. Le personnel est très souriant et agréable. Le lieu est plutôt calme et joliment décoré. Les plats sont rafinés et le prix est très correct.
A refaire."
51,mai 2023,"2,0","De retour d'une journée de découverte de Lyon on a été attiré par les avis pour y passer notre samedi soir.
Mais quelle déception...
Si le lieux est joli et original et le personnel tres sympas en revanche côté ambiance et qualité des plats on repassera.
2 planches
1  rougaille saucisson
2 bières
46 euros (oups)
La charcuterie extrêmement salé souvent mauvais  signe en terme de qualité.
Rougaille saucisse bon mais pas de quoi nourrir une personne.
Dommage la promesse est belle mais son exécution deceptive ."
52,avr. 2023,"5,0","Organisation d'un anniversaire surprise pour une quarantaine de convives :
le lieu est magnifique et très bien adaptée pour ce genre d'évènements! L'équipe de la Source a été au top pour m'aider à organiser cette fête surprise : accueil, animation, bar, cocktail, musique, tout était réussi! "
53,avr. 2023,"5,0","Pour l'organisation d'un événement familial : super cadre, bucolique et tres agréable. Bonne cuisine et équipe au top ! Je recommande."
54,oct. 2022,"5,0","Très bon accueil , cuisine excellente, je recommande . Produits frais bien présentés une cave à vin tres sympa"
