,Date,Notes,Commentaires
0,oct. 2024,"5,0","Cadre chaleureux, accueil convivial, service professionnel et avec le sourire...et le chef fait des merveilles dans l'assiette..."
1,oct. 2024,"5,0","Excellent dîner d'affaires dans ce restaurant ! 
Très bons plats faits maison, savoureux et bien présentés. Le personnel a été aux petits soins et très professionnel. Le cadre agréable et cosy. Une adresse à recommander sans hésiter!"
2,oct. 2024,"2,0",Du foutage de gueule la big salade à mourir de rire donc salade frisé très peu de saumon et 1 œuf poché voilà au tarif de 18 euros la salade …une carte très réduite pas de choix dommage car auparavant une excellente table
3,juil. 2024,"5,0","On a été traités comme des rois !
Nous avions une séance de cinéma 45min avant d’aller au resto et le personnel a été plus qu’accueillant, rapide, efficace et surtout très bon vivants !
On a commandé deux smash burgers qui sont arrivés en 10min top chrono et les burgers valaient leur prix !
On conseille très fortement ce restaurant aussi chaleureux et agréable que délicieux ! (Nous étions parmi les premiers clients à manger sans réservation)"
4,juil. 2024,"5,0","Nous avons été très bien accueillis.
Le service était rapide et les plats délicieux.
Nous avons été très bien conseillés par un serveur adorable.
Je le recommande vivement et y reviendrais avec grand plaisir."
5,juin 2024,"2,0","Arrivés à 12:30. Avons craqué à 14:45, desserts toujours pas servis. N’avions pris auparavant qu’un plat, excellent par ailleurs."
6,mai 2024,"1,0","Nous sommes arrivés à 19h05
Pour dîner
A 19h30 même pas un apéritif proposé
Restaurant vide
A part un groupe en apéritif dînatoire dans la salle du fond
Nous sommes partis
Personne ne nous a retenus et le serveur a dit .......ils s en vont et il nous a tourné le dos discutant avec des clients assis côté bar
Quel dommage
Nous y sommes venus en décembre tous les jours pendant une semaine avec un serveur très pro
Vraiment déçus 😞 de ce comportement
Le patron était là mais imprégné de la réunion du fond de la salle
Tous les clients sont les mêmes
Un peu de respect"
7,mars 2024,"5,0","Très bon accueil et service, excellente cuisine de plats faits maison, une cervelle des canuts excellente et découverte du Moshi en dessert.
Un agréable moment, à découvrir"
8,févr. 2024,"5,0",Un très bon moment comme chaque fois Bien que le restaurant était complet on nous a gentiment accepté sans réservation Merci Le repas fut excellent avec un pâté en croûte succulent pour commencer puis une cassolette de crevettes noix de St Jacques très bonnes 🙏🏼🙏🏼🙏🏼
9,déc. 2023,"5,0","Super Bistrot pour déjeuner rapidement. Ambiance sympa!
Le service est Top ! Les serveurs agréables !
Le goût des plats excellent!
Nous revenons à chaque visite sur Lyon

Merci"
