,Date,Notes,Commentaires
0,oct. 2024,"1,0","Le personnel est très poli et fait ce que il peut mais le service est très lent même quand on a précisé que on avait que 50 min pour prendre juste un plat pour le déjeuner (et on a exprès choisi un plat qui se prépare en 10 min).
On apprend après 40 min d attente que notre commande a été perdue..cecivexplique cela. 
Plat copieux mais peu  gouteux  c est dommage surtout après l attente subie. Et pas même un café offert en geste commercial pour donner envie de revenir. Bref , endroit à éviter sans modération !"
1,juil. 2024,"3,0","la cuisine ne peut pas aller plus vite! en cas de forte affluence, attente de plus d'une heure avant d'être servi! sinon ça vaut le coup pour les burgers mais pas d'attendre aussi longtemps!"
2,août 2024,"5,0",Très bonne cuisine avec des quantités plus que raisonnable pour un prix très abordable... service impeccable.. nous reviendrons
3,juil. 2024,"3,0","Le bistrot autrement est bien situé, sur une place animée. Les serveurs sont agréables et souriants. Le rapport qualité prix est très satisfaisant. MAIS malheureusement trop d’attente… heureusement que nous nous sommes régalés après…!"
4,juin 2024,"5,0","Excellent  repas avec du saumon frais !
Très copieux !
Prix correct et agréable service ! Je vous conseille d’y aller et de vous régaler"
5,mai 2024,"5,0","Très bon repas en famille!
Des serveurs qui font de leur mieux malgré l’organisation encore en rodage de leur équipe. 
Ils font preuve d’un sang froid exemplaire quand on voit les réflexions que certains se permettent de leur adresser pour des oublis mineurs toujours en plus accompagnés d’excuses. 
Grosse force à cette équipe pleine de bonnes volontés, la nourriture est bonne et c’est bien tout ce qu’on attend dans ce cadre!"
6,avr. 2024,"4,0","très bien! très copieux , et un rapport qualité/prix, très bon.
Nous reviendrons certainement lorsque nous serons sur LYON."
7,mars 2024,"3,0","Mitigé entre une bonne cuisine avec des prix plus que correcte pour Monplaisir et une incapacité béante de la par du propriétaire. 
Si vous devez en vouloir à quelqu'un ne blâmez pas les serveurs mais bien le proprio qui s'intéresse plus à son tour de bras en mettant des t-shirts trois fois trop petit pour lui que le conforts de ses clients..."
8,févr. 2024,"2,0","Bon point : la nourriture. Ce sera le seul me concernant ! C'est déjà important pour un restau certes mais l'amabilité et le professionnalisme du personnel l'ait tout autant pour moi. 
Maximisation de l'espace, on vous bouscule pour servir, voir vous demande de vous lever !  On commence à vous demander votre commande puis on vous interrompt voir on s'en va sans l'écouter, ni s'excuser. 
Le patron critique ses serveurs devant vous, c'est tout juste s'il dit au-revoir.
Aucun effort de fait pour rendre le moment agréable ! 
C'est plein donc pourquoi s'embêter à fidéliser ? Pari gagné !"
9,oct. 2023,"4,0","Très cosy, accueil chaleureux. 
La carte est variée le repas est délicieux. 
Un peu cher quand même. "
10,sept. 2023,"3,0","Le responsable désagréable lorsque je lui dit que je ressens le stress de son personnel. Il se dédouane de ses responsabilités en me sortant des phrases à rallonge. Bref, ça m’a un peu gâché mon moment. "
11,août 2023,"2,0",La nourriture pas trop mal le cadre Sava juste un gros problème c'est infesté de mouche les serveurs nous regarde faire des grands gestes mais rien a faire le soucis rien n'est fait pour se problème de mouche je ne pas revenir d'aussi tôt 
12,juil. 2023,"5,0","Equipe sympa. Je suis arrivé trop tard pour être servi mais ils m'ont trouvé une solution et pourtant n'avait rien à gagner. 

Un grand merci à la team Le Bistro Autrement."
13,juin 2023,"4,0","Arrivée sans réservation, nous avons été tout de suite placé sur une petite table en bordure du restaurant. Le service a été correct, nous n’avons pas eu l’impression de  perdre notre temps. Nous avons commandé et avons récupéré nos plats dans un délai correct. Je vous recommande ce lieu. "
14,avr. 2023,"1,0",A éviter nous avons attendu 1 h pour être servie après 3 interpellation du serveur disant j arrive et on l interpelle encore en disant vous ne prenez pas notre commande on vous a demander tout a l'heure vous prenez d autre qui viennent d arrive  nous dit c comme ça et Bein franchement pas cordiable 
15,avr. 2023,"1,0","Un service où il faut répéter trois fois la commande, en Français ! Une crêpe insipide, et il faut payer sur le champs comme si nous étions des voleurs. Produits de basse qualité ,  chocolat chaud (répété deux fois !!) Bref une ambiance qui n'a rien d'autrement et j'espère que le steak est meilleur. Nul pour le repos d'affaire. "
16,janv. 2023,"5,0","Très bon accueil et service très rapide .
Nos 4 plats étaient très bons , copieux et nous avons été servis rapidement car nous étions pressés et avec le sourire. 
La déco est egalement très sympa.
N'hésitez pas."
17,oct. 2022,"2,0",Ou est le chef de salle ? Qui organise quoi ? Merci pour le portable avec la musique du barman à fond sans penser aux clients. Merci pour les desserts qui ne sont jamais arrivés. Non il n’y aura pas de troisième fois.
18,août 2022,"3,0","Le Bistro autrement est un petit restaurant dans le 8e arrondissement de Lyon. Le restaurant est tout petit, mais il bénéficie en été d'une large terrasse sur la place qui fait face au restaurant. Le service est rapide, mais le sourire est en option selon les serveurs. La carte est vaste, mais les plats ne sont pas très copieux et les ingrédients pas forcément de qualité. Certains aliments sont insipides et/ou manquants dans les assiettes (salade saumon censée être servie avec saumon et crevettes, mais sans crevettes...). La propreté à l'intérieur du restaurant, notamment aux toilettes, laisse à désirer, ce qui n'est pas forcément de bonne augure... L'addition est donc salée pour ce qui est proposé... Bref, je ne conseille pas cet établissement, sauf si rien d'autre n'est ouvert. "
19,juin 2022,"1,0","Mauvais service et mauvaise qualité des plats, difficile de se louper sur une simple assiette de pâtes, pas de goût, j’aurais fait mieux à la maison. Pour un enfant de 2 ans avec un menu enfant, pour lui faire cuire sa propre viande sur une pierrade c’est quand même nul. 
Manque d’hygiène 
Les cuisiniers sont transpirants sans charlotte"
20,avr. 2022,"2,0","Sortis du ciné Lumière vers 22h, on nous a  servis quand même, mais  salade et/ou grillade. Evitez la salade lyonnaise (les lardons sont bcp trop salés). Pierrade de boeuf correcte (pas pour les gros appétits). A part la patronne qui a fait un effort pour sourire, tout était au pas de course et limite poli (le patron ne répond pas à un simple bonsoir). Bof, bof, ils auraient mieux fait de nous renvoyer dans nos foyers !"
21,avr. 2022,"1,0","Une honte 
On a mangé à 4 et 4 intoxication alimentaire , ça fait bcp pour un restaurant .
La honte !
Sale de partout ,
Jetez y un œil quand vous irez au toilettes vous comprendrez l’état de la cuisine."
22,janv. 2022,"5,0","Déco et ambiance très sympathique, prix corrects, service agréable. 
Nous avons pris une salade et une crêpe en dessert, excellent."
23,déc. 2021,"2,0",Bistrot sympa et personnel agréable mais malheureusement une faune irrespectueuse traine devant et ne donne pas envie d'y revenir. Dommage ! 
24,sept. 2021,"1,0","Tout commençait pour le mieux, on se retrouvait entre amis, sous le soleil de l'après-midi. 
Quand tout à coup un serveur sauvage apparaît,  insultant un de mes amis qui ne faisait que commander une bière. 1ere douche froide... 
S'en suivit une attente de 45 min pour seulement quelques boissons... 2e douche froide (plus froide que les bières au demeurant).
Les réflexions du propriétaire me rappelaient les meilleurs moments du spectacle de Jean-Marie Bigard... 

En bref, nous vous conseillons de dépenser votre argent AUTREMENT."
25,juil. 2021,"2,0","Accueil qui laisse à désirer, plats servis sur du papier sulfurisé.... bref c'est très moyen. CB acceptée quand bon leur semble... 
Il y a mieux à Lyon, pour le même prix."
26,août 2021,"2,0","Attente longue pour un demi verre de jus d’orange !!! qui coûte bien trop cher. Niveau sécurité, oubli du pass sanitaire"
27,août 2021,"3,0","Bistrot sympa, bien situé dans le quartier Montplaisir de Lyon.
Accueil tout à fait correct. 
Et concept de cuisson de la viande sur pierre chaude (pierrade) qui change de l'ordinaire.
En revanche rien d'exceptionnel en soi.
Quantité suffisante pour une personne d'appétit raisonnable. 
A tester, au moins une fois. 👍"
28,juil. 2021,"4,0",Très bon rapport qualité prix. Spécialité de viande sur pierre très bonne et correct du point de vue de la quantité. Service agréable. 
29,juin 2021,"3,0","Emplacement parfait, agréable terasse sur la place.
Nous demandons une table pour 4 pour boire un verre et éventuellement manger. Nous devons ""impérativement"" manger si nous voulons une table. Nous sommes lundi soir, la terasse n'est ps remplie mais pourquoi pas, nous acceptons.
La carte est sans chichis mais rien de bien original. C'est bon mais sans plus. 
La viande commandée saignante arrive bleue et le morceau est vraiment petit. 
Le  tartare de saumon était bon.
On nous donne 3 morceaux de pains pour 4.
Les serveurs très sympathiques. On ne reviendrait que pour eux et pas pour cette carte qui me paraît bien fade. "
30,oct. 2020,"1,0","Passer votre chemin ! L’accueil n’y est pas et la qualité non plus, j’aurais du lire les avis avant ils sont conformes."
31,août 2020,"4,0","Ex excellent la viande cuite a la pierre chaude et très bon service sauf quand le patron s y met
J y retourne bientôt
"
32,août 2020,"4,0","A proximité immédiate du musée LUMIERES, ce restaurant est parfait pour déjeuner sans trop de chichis.

Jolie décoration sur le thème du cinéma

Personnel avenant et aux petits soins

Plats simples, goûteux et bien copieux"
33,août 2020,"1,0","N’y allez pas si vous avez un enfant en bas âge. Pas de menus pour les enfants et les serveuses n’essayent pas de trouver une solution. La seule chose qui existe est la glace pour les enfants. Apparemment, ils ont tout le temps cette remarque d’autres clients mais qu’ils ne prennent pas en compte. Sinon les plats sont bons et la carte est bien fournie. "
34,juil. 2020,"5,0","Endroit très plaisant pour passer un bon moment entre amis autour d'une pierrade. 
Les viandes sont bonnes et les desserts également 
Les serveurs et serveuses sont sympas attentionnés et efficaces comme le maître des lieux. 
Je recommande vraiment le soir comme le midi."
35,août 2020,"3,0",La variété des plats est intéressante. Le décors intérieur se marie agréablement et affablement à l'histoire du quartier. Dommage que le personnel t'accueille comme des mafieux corses. Sinon les pierrades là miam woaf.
36,juil. 2020,"3,0","Nous sommes venues dans ce bistro mi juillet pour manger en terrasse, nous n’avons globalement pas été déçues. Le service a été très rapide voire peut être un peu trop, à peine notre apéro était servi que les plats arrivaient, 5 minutes en plus pour boire nos verres auraient été souhaitables. Nous avions commandé deux salades lyonnaises plutôt simples, bonnes mais pas incroyables avec des quantités étrangement reparties (beaucoup de lard et très peu de tomates). Très bonne sauce à salade mais il faudrait un mettre un peu plus. Les serveurs étaient polis et amusants. 
La terrasse est très agréable le seul bémol est  que nous avons eut la sensation d’être expédiées due au service très rapide et le débarrât un peu précoce de nos assiettes, pour libérer notre table. 
Nous restons néanmoins satisfaites dans l’ensemble car c’est l’un des seuls restaurant que nous avons trouvé ouvert un dimanche soir à Lyon pour un prix correct. "
37,juil. 2020,"3,0",Basique... tartare de saumon pas mauvais frites surgelées et salade en sachet ... salade composée moyenne également 
38,juin 2020,"5,0","Le lieu est atypique et très agréable.
L’équipe jeune et dynamique
Les plats de qualité et le service très sympa"
39,juin 2020,"2,0",Les serveur sont très lent les plats son pas de qualité on est mal installer les tables et les chaises j'en parle même pas.je vous déconseille ce restaurant !
40,févr. 2020,"4,0",On peu y cuire soi-même sa viande sur une pierre. Viande rouge ou blanche. Frites salade bien entendu.  Un choix suffisant de bière et vin. Simplicité. 
41,mars 2020,"5,0","Plats superbes et délicieux. Prix très attractifs et personnel super sympa et efficace ! QUE DEMANDER DE MIEUX ! J'ai testé la formule plat du jour/dessert à 15 euros avec aujourd'hui bœuf braisé gratin dauphinois et j'ai pris le tiramisu speculoos.... Viande fondante, gratin et dessert délicieux ! Je recommande et j'y retournerai ! 😋"
42,févr. 2020,"4,0","Déjeuner à cinq en semaine. Téléphone la veille mais pas de réservation possible. Arrivée à 12h30 pas de place avant 13h.
La demi heure de patience valait bien cette attente. Le repas était très bien, copieux et bon. Le service au top avec
Sofiane... Malgré le bruit, du fait de la salle pleine, nous avons passé un excellent moment. Style bistro au top.
Je recommande....très bon rapport qualité /prix.
"
43,janv. 2020,"1,0",On a franchement l’impression de déranger quand on entre dans cet établissement. Faudrait penser à changer de métier. 
44,janv. 2020,"4,0","Accueil très chaleureux, humoristique comme j'aime. On se sent déjà comme à la maison. 
On se croirait dans un petit bouchon lyonnais vraiment très sympa. 
La décoration tout sur le thème du cinéma vraiment très joli. 
J'y suis allée avec ma maman et on a très bien manger."
45,déc. 2019,"1,0","Repas en couple pour finir la semaine. Nous prenons la formule Grill à 24€ comprenant entrée plat et dessert. 
Dans les salades en entrée et celle avec le plat : cailloux dedans !! Toujours agréable sous la dent...
La viande commandée par mon compagnon : à point alors que commandée saignante. 
Enfin pour le dessert : ma tarte à la praline supposée maison avait une pâte complètement engorgée d’eau et immangeable (texture et goût : rien n’allait). La crème de praline dessus n’avait aucun gout. 
Quand on signale cela au serveur il nous dit qu’en effet il y a déjà eu des problèmes avec la pâte mais que c’est pas si pire... 
Aucun geste commercial.
Au final restaurant à 60€ avec 2 boissons et les formules pour un repas plus que décevant ! On a l’impression de s’être fait voler"
46,déc. 2019,"3,0","Très bruyant, nourriture roborative et sans autre but que de manger... à éviter!
c'est du brasserie ordinaire sans intérêt."
47,déc. 2019,"5,0","Dans un cadre ""ciné vintage"" régalez vous avec des plats chaleureux.
La viande sur pierre chaude est excellente, la salade est bien gourmande.
Un service à l'écoute....
Moi j'aime !"
48,déc. 2019,"4,0","Bistro sympathique,service accueillant, plat bien garnie et bon.un choix d'entrées plats et desserts. 
Une adresse sympathique "
49,oct. 2019,"4,0","Nous y sommes allé par hasard et retournés plusieurs fois . Personnellement nous aimons beaucoup ce bistro , les repas sont bons et abordables et les serveurs très sympa. Nous y retournons chaque fois avec plaisir."
50,nov. 2019,"5,0","Venue avec une amie n'étant pas de la région, nous avons été accueillies en toute simplicité, avec le sourire et sympathie. 
Tartare et burger maison à recommander. Viande de qualité. Service rapide,efficace...ça suit très bien en cuisine 
Le restaurant s'est remplit le temps de le dire. Ils assurent. On voit que le personnel est en nombre suffisant ou très professionnel, pour servir correctement la clientèle (ce qui est très rare de nos jours...).
Bravo et merci
Je recommande vivement "
51,oct. 2019,"4,0","Accueil sympathique et attentionné pour vous placer. Réactions rapides pour la carafe d'eau et le pain ! prise de commande agréable, et service ultra-rapide ! Plat du jour très copieux ainsi que le café gourmand avec 5 mignardises !  Serveurs à l'écoute et prompts ! la cuisine très bien, certes il y a des frites mais aussi des légumes verts ! plat du jour ce vendredi : poisson et haricots verts! les salades ont l'air généreuses, à essayer une autre fois ! le rapport qualité/prix me semble imbattable !"
52,oct. 2019,"4,0","J'ai passé un agréable moment dans ce bistro, cuisine avec produit locaux, viande de qualité et française ! Petit bémol pour les frites qui ne sont pas maison, et la proximité des tables. Mais le but du jeu étant la convivialité on y est ! "
53,oct. 2019,"4,0","Aux côtés du prestigieux Institut Lumière sur la place Ambroise Courtois, ce bistrot en bois et cinéma aux murs pittoresques propose un menu agréable, un bon vin et des prix très abordables. Ce n’est pas pour rien quel'est toujours rempli du monde et si vous voulez une table sans avoir réservé, vous devez attendre le début de l’après-midi. Mais treize euros pour un bon verre de Bourgogne et le plat du jour consistant en une superbraciola de porc et de légumes dans une casserole valent tous la peine. Les étudiants et les jeunes en général sont chez eux ici!

Alongside the prestigious Institute Lumiere in Ambroise Courtois square, this quaint wood and cinema bistro on the walls has a pleasant menu, good wine and very affordable prices. Not for nothing is always packed and if you want a table without having booked you have to wait for the early afternoon. But thirteen euros for a good glass of burgundy and the dish of the day consisting of superbraciola of pork and vegetables in a pan is worth all of them. University students and young people in general are at home here!

A fianco del prestigioso Institute Lumiere in piazza Ambroise Courtois questo caratteristico bistrò tutto legno e cinema alle pareti presenta un menù gradevole, vino buono e prezzi assolutamente convenienti. Non per nulla è sempre strapieno e se si vuole un tavolo senza aver prenotato bisogna aspettare il primo pomeriggio. Ma tredici euro per un buon bicchiere di bordeaux e il piatto del giorno composto da superbraciola di maiale e verdure in padella li vale tutti. Studenti universitari e giovani in genere sono di casa qui!"
54,oct. 2019,"5,0",On comprend pourquoi c'est plein jusqu'au bout de la nuit: plats bons et copieux pour un prix modique  desserts également bons et copieux. Service souriant.  Plein d'étudiants et de jeunes qui se remplissent le ventre. Un vrai bouchon Lyonnais sans le dire. Merci et continuez ainsi.
55,sept. 2019,"3,0",De bons produits. Vous pouvez manger des planchas de toutes sortes. Chacun réchauffant ses produits comme il le souhaite. Original simple et bon.
56,sept. 2019,"4,0",Très bon ! Bonne ambiance ! Accueil sympa ! À retenir une adresse dans Lyon tout près du musée lumière
57,août 2019,"1,0","Le serveur a été d'un irrespect total ! Une amie a voulu prendre un simple verre d'eau et le serveur lui a répondu :""non vous devez consommer sinon je perds de l'argent..."" je déconseille vivement. Comment gâcher une soirée avec un service pitoyable. Une honte! "
