,Date,Notes,Commentaires
0,déc. 2024,"2,0","Qualité des plats vraiment très très médiocre.  En plus, il a fallu demander à les faire réchauffer. J'ai été très déçue. Seul bémol, la serveuse qui s'est occupée de nous a été très sympathique et à l'écoute."
1,déc. 2024,"5,0","ambiance très sympathique et convivial. La bière est un régal linguine aux truffes parfait.
Personnel au top et disponnible"
2,déc. 2024,"5,0",Nou sommes venus dîner en famille avant un match de basket. Nous avons été servis rapidement. Bonne nourriture. Le cadre est très sympa.
3,déc. 2024,"3,0","Facile avant  d'aller à  la maison de la danse bon rapport qualité prix 
Un peu bruyant par contre 
Un personnel peu formé ça se voit"
4,déc. 2024,"4,0","Service efficace, attentionné et très souriant.
Bonnes pizzas
Ambiance décontractée, un peu bruyante 
A recommander avant un spectacle à la Maison de la Danse"
5,déc. 2024,"4,0",Le service a été ageable et rapide. L'ambiance est trés sympathique et très animée. Nous avons passé un bon moment. Nickel
6,déc. 2024,"3,0","L'espace fauteuils est très sympa, cosy, les plats sont très bons, mais nous avions été servis... enfin... nous aurions dû être servis par une jeune fille, qui n'a pas daigné prendre notre commande après trois interpellations de notre part et plus de 30min d'attente, sans même nous donner une carafe d'eau (et s'excuser accessoirement). Un responsable (je pense) a rectifié le tir, et nous l'en remercions grandement !"
7,déc. 2024,"5,0","C'était la 2e fois que je venais un vrai régal😋, un service rapide et un accueil chaleureux
Leur pizza, spritz, burger et glaces sont délicieuses."
8,déc. 2024,"3,0","Tout d'abord, le serveur n'était pas très aimable. Les cartes nous ont été jetés au visage. Il est venu pour prendre la commande assez vite.
On n'avait pas choisi. 
Il revient prendre la commande et nous avons eu l'impression qu'il n'avait pas envie d'être là..
Les entrées arrivent et celle de mon amis n'était pas celle commandé, elle est donc repartie en cuisine pour avoir la bonne. 
Pour ne pas mangé froid, nous avons du mangé en décalé.
Pour le plat, me concernant mes pâtes étaient à peine chaudes et celle de mon amis trempaient dans l'huile d'olive. 
Le café était bon. 
Et puis pour le paiement, mon ami a payé en espèces son repas, nous avons du attendre 5 minutes que le serveur aille chercher la monnaie, on ne sait où.. pour qu'il revienne avec les billets froissés en main. 
Je suis vraiment mitigée de ce passage chez vous."
9,déc. 2024,"5,0",L'endroit est parfait pour un déjeuner et dîner tranquillement en famille et entre amis. L'équipe est géniale et réactive.
10,déc. 2024,"5,0","Repas simple, prix correct et équipe du tonnerre.
Nous avons passé un agréable moment en famille et dans ce lieu fort sympathique "
11,déc. 2024,"5,0","Prise de réservation facile et rapide par internet
Facile d'accès en transports 
Service rapide et très sympa. 
Bonnes portions dans les assiettes"
12,nov. 2024,"3,0",Restaurant agréable et service rapide. Cependant les prix sont un peu élevés par rapport à la quantité (portions assez petites) et la qualité.
13,nov. 2024,"5,0","Parfait pour avant spectacle ""maison de la danse""
Certitude d'avoir un service rapide avec une carte ""brasserie"" très correct.
Nous conseillons"
14,sept. 2024,"5,0","Nous avons très bien mangé :menu du jour. Le personnel est très poli, cela compte beaucoup de nos jours car c'est plutôt en voie de dispatition. Merci."
15,sept. 2024,"1,0","Fade, froid, je déconseille ce restaurant malgres les commentaires précédents soient disant pris en compte.. mon plat avait une allure de plat pr enfants, 2 tranches de jambon sur des pâtes servies froides.. je demande à réchauffer mon plat qui m’est revenu froid.. malgres le sel rajoute cela n’avais aucun goût.. 22 euros je n’ai rie coulu manger d’autres, à fuire"
16,juil. 2024,"1,0","Une grande déception... Table de 11 personnes et en sortant personne n'a été satisfait de son plat. Personnellement j'ai pris les pâtes au jambon et malheureusement, je sentais que l'alcool qui avait brûlé dans la meule. Plat très fort, on ne sentait que ça... Le fromage faisait des grumaux. De plus pour un plat à 22 euros la présentation laisse à désirer. Comme une impression d'avoir un plat d'enfant avec la tranche de jambon et les pâtes. Très très déçue, je ne recommande pas du tout. Nous avons tous mal au ventre en sortant...."
17,mai 2024,"1,0","Repas avant spectacle à la maison de la danse avec mes petits enfants.
Arrives à 19.20, servis à 20.10 pour un spectacle à 20.30.
À la prise de cde, on nous signale une attente de 35 mn pour une pizza, du coup on prends des bu ce rgers qui sont arrivés 40 mn après ……froid !
Avales frites et Burgers en 10 mn, bonjour la digestion .
Le serveur, très gentil ne sachant que dire,  très ennuyé du retard pris en cuisine.
Il a eu la gentillesse d’offrir les boissons et faire 10% sur la note.
C’est gentil, mais ça ne me fera pas revenir…. Nous prenons un abonnement a la maison de la danse, nous Trouverons un autre restaurant la saison prochaine.
Ça m’a gâché  ma soiree"
18,mars 2024,"4,0","Accueil agréable et rapide. Grande salle industrielle et chaleureuse. Des plats simples pizzas, burgers, salades mais aussi des plats un peu plus élaborés filet de truite, coquillettes à la truffe, poutine....
Un grand choix...."
19,mars 2024,"2,0","Hyper bruyant, imposé de tenir une conversation. 
Ayant réservé, arrivés à 12 h 45, il n’y avait plus de plat du jour. Aucun plat proposé en remplacement. 

Restait au menu un potage au chou fleur, un gratin de ravioles au saint Marcelin ou pizza basique. 
Le gratin était sec, la pizza également. 
Le tarif annoncé est compétitif 19€ le menu. Mais très décevant.
Je n’y retournerai pas"
20,janv. 2024,"3,0","Bof!!…. On a terminé notre assiette….. j’attendais un wok fait minute avec des légumes croquants(comme c’était le cas il y a quelques années)…… rien de tout cela …la pizza…..certainement sortie de son emballage pour la cuisson (un disque parfait mais une pâte caoutchouc)…. Donc, on a été très déçu….De plus la salle est très bruyante."
21,nov. 2023,"1,0","Nous avons pris deux hamburgers que nous avons partagé. 
Quelques heures plus tard nous avons été tous les deux très très malade...!! 
Le manque de propreté de la vaisselle aurait dû nous mettre la puce à l'oreille..."
22,nov. 2023,"4,0",Endroit très sympa avec un accueil et service convivial. Plats à un tarif honnête et très corrects en qualité. Juste un peu bruyant.
23,nov. 2023,"5,0","Lieu agréable. 
Service plutôt rapide pour un samedi soir. 
Nourriture très bonne et personnel agréable et à l’écoute. Prix global correct."
24,oct. 2023,"2,0",produit médiocre gratin et légumes qui devait trainé depuis quelque jours frites en mille morceaux dans un petit pot en fer pas très net et bien gras d huile  accueil correct serveur sympa
25,sept. 2023,"1,0","L’accueil est catastrophique ! Il ne fidélise pas les clients 
Ni un bienvenu, ni une parole agréable 
A peine vous entrez qu’un employé à l’accueil vous saute dessus et vous dit alpague pour vous dire que vous n’avez  pas le droit de vous asseoir ou vous voulez , que c’est tout réserver et il choisit de vous installer à une table de son choix.
Alors que certains arrivés après nous on choisit ou il allait s’asseoir. Le restaurant était vide . Déçue très déçue , pour y être venue 3 fois , je suis surprise du manque de savoir vivre et peut être qu’il faudrait qu’il sache que l’accueil est le premier critère pour consommer et revenir dans un restaurant , le conseiller ,"
26,nov. 2023,"5,0","Endroit très sympa pour boire un verre et manger. Service rapide, plats copieux et délicieux. Les prix sont vraiment abordables. Je recommandes fortement !"
27,oct. 2023,"1,0","Attendre 15 minutes avant d'être accueilli.
Être placé à 1 table, le serveur vous dit ""je vous apporte la carte"".
Attendre près de 30 minutes sans que la carte ne vous soit apportée ni une carafe d'eau...

Bref, j'étais invisible aux yeux des serveurs, contrairement aux clients des autres tables. Pourtant, le serveur qui m'avait placé est passé devant moi une bonne dizaine de fois.

Las, je suis donc parti, sans même qu'un serveur s'en étonne.
Une conception étrange du service client.

Lamentable."
28,oct. 2023,"4,0","Merci pour l’accueil 
Carte intéressante : très bonnes ravioles au parmesan ; burger bien généreux au chèvre et pour finir une mousse au chocolat ; nous étions détendus avant d’aller au MAD 
blague : IMAMAN 😉"
29,oct. 2023,"5,0","Superbe expérience dans ce restaurant. Une équipe de personnes bien accueillantes, arrangeantes. Merci beaucoup !!"
30,sept. 2023,"5,0","Nous avons fêté les 40 ans de mon mari. La fabrik m'a aidée à organiser l'événement, qui était une surprise pour lui, réunissant presque 50 personnes (35 adultes et 13 enfants). 
Tout s'est déroulé parfaitement, des préparatifs (échanges par mail et téléphone avec des personnes très compétentes) au cocktail avec amis et famille.
Le jour J, Fanny a été aux petits soins pour nous et très à l'écoute, et toute l'équipe était également très sympathique et attentionnée.
Nous recommandons ce restaurant pour les événements de ce type. Tout le monde y est bien, grands comme petits, avec en plus des animations au top pour les enfants."
31,juil. 2023,"1,0","Le choix de Pizza est intéressant. Toutefois, nous n'avons eu  l'information qu'au moment de la prise de commande. ""Le four est en panne... Il faut commander la pièce""."
32,mai 2023,"5,0","Parfait avant ou après un spectacle !
Plats variés, acceuil sympathique et efficace pour tjs être à l'heure au spectacle de la Maison de la Dance ."
33,mai 2023,"3,0","Dans un cadre agréable et une ambiance détendue, nous avons découvert une cuisine simple et bonne. Accueil  sympathique. Service un peu long pour un groupe qui avait pré-réservé les plats."
34,mai 2023,"3,0","Le lieu est sympa pour venir boire une bière, manger une planche mais la cuisine c’est pas ça, c’est vraiment pas fou du tout , pas très copieux et pas travaillé .. du basique de basique , sans intérêt"
35,mai 2023,"5,0","Cadre super, repas excellent et copieux.
Seul bémol, un toilette seulement.
Le service au top et le numérique est bien présent.
N'oublions pas l'espace karaoké.
A recommander chaudement."
36,avr. 2023,"4,0","Restaurant correct pour déjeuner le midi. Service sympathique , repas formule simple . Rien d extraordinaire mais bon."
37,mars 2023,"5,0",Tres belle redécouverte ! Service super rapide !!! Personnel très accueillant et plats très bon !!! Super rapport qualité prix !
38,mars 2023,"3,0","Restaurant sympathique, festif (pas pour les familles si vous voulez être tranquille) qui propose beaucoup de plats donnant tous très envie. C'était bon mais un peu gras quand même. Nous avons été accueillis même assez tard ce qui est positif pour un restaurant, en plus de ça ouvert en semaine ! 
Personnel pas très présent pour ces clients... dommage 
Nous avons été servis très rapidement !"
39,mars 2023,"2,0","Pour boire un verre mais surtout pas pour manger.... la déco est sympa, le service au top, mais les woks très mauvais (la coriandre est le seul ingrédient qui ait du goût...) ... bieres et San pelligrino sont sans risque... hier soir après c etait karaoke en fond musical, avec tout ce que cela implique. Bref, sympa malgré tout pour un apero dans ce quartier où les lieux animés ne se font pas concurrence"
40,mars 2023,"2,0","La carte est pauvre, et le plats n’étaient pas très bons, les glaces avaient le goût de l’année dernière… heureusement… un serveur en or…"
41,nov. 2022,"5,0","Brasserie très sympathique, grâce aux employés.
Mon compagnon et moi avons été bien accueillis. Nous avons été bien chouchouté du début à la fin. 
En ce qui concerne le repas, très bon. Je recommande."
42,janv. 2023,"5,0","Très bel endroit avec une décoration dans l’air du temps type bistro 
Très bon plat bien exécuter 
Nous recommandons sans hésiter"
43,janv. 2023,"5,0","Très bonne brasserie concept sympa ! Le personnel est disponible et réactif. Plats bien garnis et bien réalisés 
Je recommande cet endroit"
44,janv. 2023,"2,0","Désolé mais chers lecteurs, passez votre chemin en longeant LA FABRYK. Venu en groupe pour dîner, nous avions commandé nos plats en avance dans la semaine. Installés à 20h30, nous en sommes repartis 4 heures après, après avoir enfin eu nos desserts. Voici rapidement un résumé de cette soirée bien trop longue, qui m'a fait repartir le vendre vide : apéro, SPRITZ bien trop sucré et peu alcoolisé, un wok de boeuf avec des légumes tous droits sortis de boîte de conserve, deux bouts de bidoche et des pâtes bien trop cuites. Dégueux.... Enfin, un dessert, une glace Mont Blanc, RAS.
Franchement, à part être un lieu où tu viens boire un coup, parler fort et souffler des bougies d'anniversaires, n'y venez pas pour espérer bien m"
45,nov. 2022,"5,0","Bon accueil, rapidité du service malgré le monde. Un serveur attentif et efficace. Des plats très bon et agréable à regarder. Je recommande sans hésitation "
46,nov. 2022,"3,0","Repas en famille. Attente. Très longue (+d'une heure) entre l'apéro ( dans le mojito les glaçons n'ont pas fondu de tout le repas 😉)
Repas bon juste steak tartare très moyen"
47,nov. 2022,"2,0","Un poisson trop cuit dans le Fish&chips, un wok insipide et des crevettes trop cuites.
Nous n'avons pas pris le risque d'un dessert...
L'équipe est sympa et compréhensive. On nous a accordé une remise ce que j'ai trouvé très correct. Je les remercie.
Cependant,  je ne pense pas retourner dans cet endroit."
48,nov. 2022,"5,0",Excellent moment en famille ! Les prix sont abordables pour une très bonne qualité de service. Personnel très accueillant je recommande ++
49,oct. 2022,"5,0","Lieux super convivial, boisson et nourriture au top! 
Un gros + pour le serveur dénommé Willy qui nous a très bien servis du début à la fin!
Je conseille vivement!"
50,oct. 2022,"3,0","Très vite servis pour 2, service sympathique et efficace
Burgers bons, mais le tout un peu cher (2 burgers 1 café 50cl rosé =50€)"
51,sept. 2022,"4,0","Un repas au top avec de très bon produits frais et très bien préparé ! 
Une équipe de serveurs souriant et très accueillant 

Je recommande vivement 

Seul bémol, le restaurant est un peu bruyant.."
52,août 2022,"2,0","Il faudrait embaucher un cuisinier et vérifier la qualité des produits
C'est cher et pas bon
Décor sympa
Service correct"
53,juil. 2022,"1,0",Une honte nous somme une table de 11 personnes on nous refuse de nous servir a boire car il est 22h passé du jamais vue ou va la France moi même étant de la restauration je n'est jamais vu sa et le pire ses que un amis à eux viens et il est servi devant nous une honte je n'y remettrai jamais les pieds ou va la France ou va le pays de la gastronomie
54,juil. 2022,"1,0","J’ai rarement eu l’impression De me faire autant arnaquer !
Une salade césar digne d’un pensionnaire de Brides les bains ... une honte vendue pour la modique somme de 16€. Le paroxysme atteint son apogée avec le dessert, une glace caramello... 2 boules de glace caramel coiffé d’un cône, il fallait y penser, le tout pour 7€.
Le pseudo chef cuisinier doit bien s’amuser ! Je ne reviendrai jamais."
55,juil. 2022,"4,0","Bonne ambiance, service au top, tout le monde est très gentil
La nourriture assez classique, pas de la grande cuisine, pas du fait maison mais ça fait l’affaire.
Citronnade décevante un simple sirop de citron…
Je recommande surtout pour le service qui était très agréable et le lieu grand et moderne"
56,juil. 2022,"4,0","Arrivés vers 12 h sans réservation, nous avons eu ""le privilège"" d'avoir une table.
formule à 19€ . 
déçu par la vision de l'explication du steak New York et le contenu de l'assiette. 
déçu que nos boisson (1 cola et 1 San Pellegrino) ne soit pas intégrées au menu, même en proposant un ajout financier.
les produits sont bons, le service agréable, 
j'y retournerai, mais je commanderais directement les boisson du menu en apéro."
57,mai 2022,"1,0","Après 5 ans de fidélité, je suis au regret de ne plus aller et de ne plus conseiller la fabryk, compte tenu du comportement inadmissible d’un serveur et de l absence de réaction de l encadrement sur place ce vendredi 20 mai soir."
58,mai 2022,"1,0","Une carte de pizzas dont les prix démarrent a 14 euros, c'est pas correcte. Quand la cuisson n'est pas maîtrisée c'est inadmissible. Quand a mon plat, du poulet marine a 18euros, filet minuscule trop cuit et qui a visiblement attendu au chaud... Sûrement encore un coup du chef micro onde. Heureusement que la sauce qui accompagnait etait trop fort en ail, ca cachait le gout de la viande. 

La fabrik brasse et vend de la biere a peu pres correcte, c'est entendu. Mais si vous ne faites pas d'effort sur l'assiette, vous devriez vous calmer sur les prix! 

Honteux, vous ne m'y verrez plus."
59,mai 2022,"4,0","Nous sommes venus tester 2 menus pour un repas de groupe (60 / 65 personnes).
Nous avons été très bien accueillis par le responsable du restaurant.
Nous avons testé 2 menus différents, avec à chaque fois 2 entrées et 2 viandes, 2 desserts et un vin blanc et un vin rouge étiquetés au nom du restaurant.
Notre choix pour le groupe s'est porté sur le menu poisson et un classique dessert au chocolat.
Une partie de la salle sera ""privatisée"" pour notre groupe et nous viendrons après le coup de feu de midi.
Nous avons été très bien accueillis et bien conseillés.
On espère que tout le groupe qui viendra très prochainement confirmera notre choix"
60,mai 2022,"5,0","Très convivial 
Toujours bien accueilli 
Très bonne carte avec de superbes  frites 
Et le désert le panier de fraise 🍓 framboises"
