,Date,Notes,Commentaires
0,déc. 2024,"5,0","Au centre de Lyon. Très bon accueil,  ambiance sympa et les bières et les burgers... j'oubliais les desserts... tout excellent !!!"
1,oct. 2024,"5,0","Je viens régulièrement dans le Kaffee Berlin cours Albert Thomas. La qualité est constante, l’accueil très chaleureux et décontracté. Les Burgers et les bières allemandes sont très bons. Les serveurs / serveuses super sympa. Très agréable en famille ou avec des amis."
2,août 2024,"5,0",Le service était super et les burgers très bons. Une bonne adresse pour déjeuner. Mention spéciale pour les potatoes :)
3,févr. 2024,"5,0","Tres bon service, nourriture parfaite et le personnel tres gentil et acceuillant. Je recommande beaucoup au touristes et aux nouveaux de lyon"
4,sept. 2023,"4,0","Bien que bruyant,car la terrasse est au bord d'une grosse artère très fréquentée, cet établissement, avec un service et accueil sympathique, permet d'apprécier des plats,simples et roboratifs, avec de très bons verres de bière, dans une ambiance estudiantine et sympathique. Au final, expérience agréable car occasionnelle."
5,sept. 2023,"5,0","Fidèles clients du KB sans soucis depuis bientôt 10 ans, ce lieu est devenu très vite notre QG.  Serveurs souriants, burgers de qualité etc...tout y est pour passer un excellent moment. Seul inconvénient, minime cependant, à quand des trucs à grignoter l'après midi en salé de nouveau ? Sinon tout est parfait !!!!"
6,sept. 2023,"5,0","Serveur Marvin exceptionnel
Merci pour le service rapide et parfait 
Je recommande totalement on a vraiment passé une excellente soirée "
7,sept. 2023,"5,0","L'endroit idéal pour passer une bonne soirée. Les boissons, les burgers, les planches tout est délicieux "
8,août 2023,"5,0",Nous avons découvert cette adresse par hasard. Au bord du Rhône vue sur la piscine. Petite terrasse le long du trottoir.  Un personnel jeune et super sympa. Nous voulions des plats à emporter qu ils nous ont fait avec le sourire et en nous offrant un verre de liqueur. Endroit très sympa pour un repas entre copains ou sur le pouce.  Très très sympas
9,juil. 2023,"5,0","Je suis venu par hasard ici avec mes amis et je dois vous avouer que j’étais très ravis de la qualité du service mais aussi du personnel, surtout Valentine, très gentille et accueillante. Je recommande. "
10,juil. 2023,"1,0","Degueulasse, une m*rde on a tous vomis ! Horrible je déconseille fortement! Fuyez cet établissement"
11,juin 2023,"5,0"," Les burgers 🍔 sont vraiment bons et les bagels 🥯 délicieux !! Un endroit très sympathique, pour un petit dîner entre amis sur fond de musique électro !! 🎶"
12,juin 2023,"5,0","L’endroit est vraiment chill, j’ai rencontré une  employée, Valentine, super serviable et vraiment attentive, on sent la cohésion en équipe, je recommande."
13,mai 2023,"5,0","Super resto, bonne ambiance 
Rebecca, la responsable fait tout ce qu'il faut pour que vous soyez au top.
Elle gère de ouf ! Merci Rebecca "
14,mai 2023,"5,0",Une super soirée en famille. Super cocktails et très bon burgers. Bonne musique et le staff est exceptionnel. On reviendra avec grand plaisir
15,avr. 2023,"5,0",Lieu très sympathique avec l'accueil qui va avec. Les plats sont bons et le tarif est raisonnable. Le cadre est très plaisant. Super moment où l'on a très bien mangé. 
16,avr. 2023,"1,0","Première  et dernière visite pour nous qui habitons sur le plateau ,au Kaffee Berlin de la Croix Rousse !!!
Repas familial commandé samedi soir : mon conjoint à été malade une bonne partie de la nuit et mon fils en est pour une intoxication alimentaire, diagnostique posé ce matin par le médecin après un dimanche fiévreux passé à vomir et à se plaindre de maux de ventre. On est lundi soir, il ne peut toujours rien avaler et se sent encore bien mal. Un pur scandale, notamment au vu de l'addition, bien salée.
Je mets une étoile pour pouvoir poster cet avis, il va sans dire que c'est zéro et à éviter ABSOLUMENT !"
17,mars 2023,"1,0","Epuisé, je suis allé cet après-midi dans ce ""Kaffee"" pour acheter... un café. 
Le serveur m'a informé qu'il était impossible d'en acheter ! 
Pardon, mais si vous ne vendez que des choucroutes, appelez-vous choucroute, mais pas café."
18,janv. 2023,"1,0","Accueil médiocre, impolitesse, temps d'attente de 12 mn avant de se faire servir, on fait le ménage en vous demandant de lever nos jambes quand on était déjà bien assis.
propos déplacés, bref en une seul et unique personne, 
le serveur bavard avec ses copains . son nom LOUIS"
