,Date,Notes,Commentaires
0,déc. 2024,"2,0","J’ai visité ce restaurant par curiosité de l’école Bocuse, mais j’ai été très déçue. Malgré un serveur aimable et un changement de table rapide, l’ambiance était sombre (murs gris, déco terne) et la table bancale a dû être réparée après notre arrivée.

Le champagne a été servi sans dégustation préalable, et nous devions nous resservir nous-mêmes pour l’eau et le champagne. Le sol en bois grinçait à chaque pas, et le service manquait de précision : couverts mal placés (parfois meme remis aux clients pour qu'ils les placent eux-mêmes sur la table), manipulés de manière peu hygiénique (lorsque le serveur s'est rendu compte d'une erreur, il a déplacé une cuillère en posant son pouce sur la partie creuse de la cuillère), et des infusions mal commandées (verveine au lieu de camomille - on s’en est rendus compte seuls). De plus, lorsque les plats ont été servis, le serveur nous a pas demandé si tout allait bien avec notre plat et si cela nous convenait jusqu’au moment de débarrasser.

L’absence de musique, la lenteur du service et une cuisine correcte mais sans éclat par rapport au prix ont confirmé mon impression : le rapport qualité-prix n’est pas du tout justifié. Une expérience décevante."
1,déc. 2024,"3,0","Vous avez réservé à 19h mais vous arrivez plus tôt à 18h40. Eh bien on ne vous laisse pas entrer après avoir sonné à une porte secondaire, réservée aux livraisons, même s’il pleut dehors. Et même s’il fait froid. La porte ouvre finalement à 18h54. Vous êtes gelé. Ça débute mal comme accueil. Et cette impression sera confirmée par la suite. Le service est correct mais manque de chaleur. Les plats sont bons mais pas exceptionnels. On avait mieux mangé à la brasserie Bocuse/Nord, l’an dernier à la même époque, lors d’un précédent voyage à Lyon. La nourriture avait été sublime et l’accueil vraiment 5/5. Là, le foie gras était correct sans plus. Et son accompagnement fruité était fade. Le plat de cabillaud, par contre, était délicieux, quoique peu généreux. Et le baba au rhum plutôt quelconque. C’est trop cher pour ce que c’est. La carte des vins est un peu courte pour un tel restaurant. Et la coupe de champagne est une coupette. Très décevant. Nous ne reviendrons pas."
2,déc. 2024,"4,0","accueil courtois et professionnel comme le service, jolie bâtisse d'un autre temps. bonne cuisine sans être dans la finesse. BOCUSE est plutôt une attraction touristique."
3,nov. 2024,"2,0","accueil médiocre , service ordinaire , plats ordinaire . Vin de bonne facture . Addition salée pour ce que nous avons mangé"
4,nov. 2024,"5,0","Très bon accueil avec le sourire et professionnalisme. Maison atypique (ancienne demeure des frères Lumières, décorée avec de la classe. Très bon repas, produits frais, préparation de haute qualité,  choix de vins appréciables et bien conseillés. Les racines du grand chef sont bien là, il n'y a pas la prétention d'être son égal mais l'intention réussie de bine faire. A notre prochain passage sur Lyon, on ne manquera pas d'y retourner"
5,nov. 2024,"5,0","Un endroit chic et chaleureux je confirme. Personnel très accueillant, cadre charmant, repas délicieux. Pour un prix correct. Merci"
6,nov. 2024,"4,0","Un très bel endroit , une petite deception à l'arrivée il faut attendre dans la rue qu'ils ouvrent alors qu'il y a un jardin ! personnel compétent, repas très bon mais le plat chaud arrive à l'étage vraiment moins chaud et c'est dommage !"
7,nov. 2024,"4,0","Le service est largement satisfaisant. La salle agréable même si l'ensemble est un peu bruyante (un samedi). Le repas répond aux attentes de ce genre d'etablissement en particulier l'agneau d'une cuisson parfaite.
En résumé, une expérience réussie même si une petite mise en bouche avec l'apéritif   aurait été bienvenue."
8,nov. 2024,"5,0","L'endroit est juste magnifique !!!! Des, petites salles très classes et personnalisées, personnel très sympathique, plats délicieux, un très bon moment, merci."
9,nov. 2024,"2,0","Nous allions chez Marguerite pour apprécier l’héritage Bocuse. Que nenni. Les œufs froids à l’intérieur,l’os moelle dont on cherchait la moelle avec deux énormes tranches de pain à la moutarde de plus de 3cm d’épaisseur, des ris de veau trop cuits , et cette même sauce que l’on retrouve dans la majorité des plats. Seule la volaille a été appréciée. Les desserts étaient généreusement mais malheureusement basiques. Nous pensions passer un moment agréable, la qualité de la cuisine a gâché en partie la soirée.
L’héritage Bocuse a disparu!"
10,oct. 2024,"5,0","Un moment inoubliable avec un service impeccable . L'entrée : velouté de champignons, le plat , le dessert tout était excellent ! Le décor est très raffiné. Un grand merci .🥰"
11,oct. 2024,"5,0","Nous avons eu la chance de découvrir le Restaurant Marguerite Bocuse, et ce fut une expérience inoubliable. 

Côté cuisine, chaque plat est un hommage à la grande tradition culinaire française qui surprend agréablement! 

Le service est à l'image de l'établissement : irréprochable. L'équipe est attentionnée, professionnelle, tout en restant discrète, ce qui ajoute encore à l'expérience unique que l'on vit chez Marguerite.

Si vous cherchez une adresse où l'on conjugue gastronomie, histoire et art de vivre à la française, c'est ici qu'il faut venir. Nous reviendrons sans hésitation, et je recommande chaudement ce lieu d'exception à tous les amoureux de la bonne cuisine."
12,sept. 2024,"3,0","Très décevant dans l’ensemble 
Salade César sans intérêt 
Saumon mariné d’une tristesse 
Filet de bœuf façon Rossini pour les bien cuit les portions avaient rétrécies à la cuisson ?
sans parler du toast carbonisé qui supportait la mini escalope de foie gras…
Quand au vacherin minute très surprenant aucune finesse .
Nous étions à L’institut en juin c’était nettement mieux à réfléchir …"
13,oct. 2024,"3,0","Même si les tarifs sont corrects au regard de la qualité des plats, le service de l'entrée une fois de plus en même temps que l'apéritif et surtout la présentation de la carte des vins après avoir fini l'entrée ce n'est pas digne d'une telle adresse.
Entrée servie après avoir stagnée un peu trop longtemps sous le chauffe plat et en revanche plat servi tiède, de là à penser que les services sont anticipés et préparés à l'avance, il n'y a qu'un plat. Cela reste dommage car en revanche, l'amabilité du service est parfaite.
Pas convaincu."
14,oct. 2024,"3,0","Un menu parfait et côté plats rien à redire, excellent.

Par contre le service déplorable, assez stupéfiant
1) on prend les menus les plus chers. On prend des apéritifs et on demande une carafe d’eau et non une bouteille. La serveuse, en plus pas sympa nous dit je ne donne pas la carte des vins !!!!!
2) elle prend notre commande une personne est allergique au lactose elle ne sais même pas de quoi il s’agit 😳 elle dit ok mais le lait c’est ok ?????
3) pour la personne allergique au lactose on lui apporte sa viande sans sauce !!!! Une réduction de jus ne demande pas de lactose pour du porc ?
4) on a gardé nos 5 verres d’apéro la moitié du repas sur la table !

Et les toilettes pas propres pleins d’eau par terre"
15,oct. 2024,"5,0","Endroit magnifique, service irréprochable, cuisine raffiné.
Je recommande, très belle expérience !! Nous reviendrons"
16,sept. 2024,"2,0","Ne nécessite pas de s’y arrêter excepté pour le cadre.

Notre troisième et dernier passage dans cet établissement.

Nous y sommes allés pour la fête de fin d’été.
Menu à 59€ 

Entrée : pâté croute au foie gras (croute sèche et sans saveur)
Plat : 1/2 homard grillé (la pince n’a pas été servie et à due être demandée. Elle a été apportée dans une assiette alors qu’elle était déjà destinée à préparer un autre plat en cuisine apparement). L’écrasé de pommes de terre au chorizo semblait réchauffé et pas exceptionnel.
Dessert : crumble pêche basilic (bon) en revanche, la pâte des choux des profiteroles était encore congelée.

Une autre fois, le serveur a renversé les coupes de champagne sur un de nos amis.

L’année dernière, une vraie désorganisation entre la commande des mets et les arrivées sur table.

Cela ressemble à un restaurant d’application au final, quoi que !!!

Donc aucun intérêt de réserver dans cet établissement."
17,sept. 2024,"3,0","- On nous a d'abord proposé une table dans un coin très sombre, à notre demande on nous a changé de table en nous disant qu'il y a beaucoup de monde. Nous nous sommes retrouvés dans une salle sans grand charme, 2 tables /3 étaient occupées. L'ambiance est assez décevant.
- repas : aperitif sans amuse bouche, c est un peu rude. Ensuite nous avons choisi le menu du marché, l'entrée etait originale et bonne, le plat le saumon avec les lentilles etaient lourd. Globalement était décevant.
En effet le rapport qualité prix est décevant surtout compte de la notoriété. On trouve mieux sur lyon et pour moins cher."
18,sept. 2024,"1,0",Le nom ne fait pas tout et monsieur Paul doit se retourner dans sa tombe !!! Il faut sortir ce restaurant des brasseries Bocuse !!! Jerome au secours
19,sept. 2024,"4,0","cadre historique agréable, notamment en terrasse? Accueil aimable, personnel attentif, carte et menu du marché du jour (avec historique intéressant au dos) parfaits pour ce déjeuner d'affaires, salade lyonnaise riche et savoureuse, filet de merlu et salade de fruits frais avec un verre de mâcon blanc. ""Petit"" Bocuse  de qualité, à renouveler à l'intérieur en hiver."
20,août 2024,"5,0","Nous avons passé une soirée inoubliable au restaurant Marguerite.
 La nourriture était tout simplement divine, chaque plat étant une explosion de saveurs parfaitement équilibrées. 
Le service était irréprochable, avec une équipe attentionnée et toujours prête à répondre à nos moindres besoins avec le sourire. 
La qualité des ingrédients et la présentation des plats témoignent d'un véritable savoir-faire. 
L'ambiance du restaurant est chaleureuse et conviviale, idéale pour se détendre et profiter d'un excellent repas. 

Je recommande vivement ce lieu à tous ceux qui cherchent une expérience culinaire exceptionnelle !

Merci encore à l'équipe pour ce moment."
21,août 2024,"2,0","Menu à 35,50 Euros .
Déjeuner dans le parc ombragé et agréable.
Salade lyonnaise ( salade flétrie, croûton carbonisé, couenne de lard dure et immangeable, pas trouvé de lardons et 1/2 oeuf dur), ensuite filet de bar cuit à l’hile d’olive, correct à part un riz vénéré (?) dur, le vacherin glacé offert suite à notre mécontentement était bon malgré un sorbet fraise pailleté et craquant en bouche. 
Service attentionné.
Bref Paul Bocuse doit se retourner dans sa tombe de voir son prestigieux nom galvaudé de la sorte."
22,août 2024,"5,0","Les entrées était délicieuses pas trop copieuse et riche en goût et en saveur.
Le plat que j’ai commander était une viande qui était parfaitement cuite et comme je lançais demande. Les accompagnements était savoureux et les vins qu’on nous a conseillés s’accordait très bien avec nos plats. Le dessert était particulièrement bon et nous a fait finir le repas sur une bonne note. Un digestif avant de partir et c’était une soirée réussis. L’ambiance était présente mais pas trop bruyante assez pour se sentir à l’aise sans être gêné par trop de bruit.
Je recommande pour un dîner ou déjeuner dans une jolie cadre"
23,août 2024,"1,0","Kel déception je déconseille  vivement  le menu à 38,50 ́NUL 
une entrée dont j ai oublié  le goût rillettes  de je sais KOI et morceau d échine de porc dur immangeable le sel et poivre moutarde absent de la table il a fallu réclamer 3 à 4 foIs avant kil arrivé ́nous avions pratiquement   TERMINE LORSK K CECI  SÔN ARRIVEseule le sorbet était  correct Un BOCUSE AH non non PASSRZ VÔTRE CHEMIN BRAVE GENS AH J OUBLIAIS LES TOILETTES  SEILEMENR DE L EAU AU ROBINET PAS DE GEL LAVANT OUPPPPS A FUIR"
24,août 2024,"5,0","Endroit cosy et plein de charmes, service très attentionné, accueil poli et souriant, cuisine raffinée, je recommande le risotto de gambas !
merci à toute l’équipe pour ce très bon moment passé et à très vite!"
25,août 2024,"3,0","Le repas est correct, servi rapidement.
Le Service manque d un manager de salle. Une serveuse sert en machant un chewing-gum, le vin blanc n est pas frais, des conversations entre serveurs sont à la portée des clients, mocassins qui claquent sur le parquet. L intérêt affiché pour le client n est trop que de façade.
En résumé un service tres inadapté qui aurait fait bondir monsieur Paul.
"
26,août 2024,"5,0","Cadre magnifique, accueil et service très agréable, on sent que la formation Bocuse est présente. La carte donne envie, le tataki de thon est frais avec ces fortes chaleur c'est parfait, comme la tomate burrata en entrée.
Je recommande ce lieu le personnel est vraiment aux petits soins."
27,août 2024,"3,0","Je partage l'avis précédent: joli cadre, mais eau carafe à fort goût désagréable,  et moustiques. Le repas est assez moyen et le service manque de supervision. Les plats sont dans l'ensemble bien présentés. La salade de fruits ""cardinal"" m'a bien plu mais la pièce de porc était plutôt dure et peu goûteuse. Je recommande que le service se départisse de l'obsession de tout débarrasser au plus vite. On ne vient pas au restaurant pour être pressé par des gens qui veulent à tout prix enlever vos assiettes et vos verres !"
28,juil. 2024,"3,0","Mon avis : Bel endroit quoiqu’un peu chaud en salle. Quelques moustiques perturbent le dîner. Service soigné qui mériterait d’être un peu plus attentif (eau, pain). L’eau en carafe a un mauvais goût.
Les marches d’escalier qui permettent de se rendre aux toilettes au 1er étage pourraient avantageusement être repeintes. Elles manifestent des signes d’usure de la peinture qui ne sont pas à la hauteur d’un restaurant de ce standard.
L’entrée de foie gras (au menu) est décevante. La texture et le goût sont quelconques. Le pain prévu pour l’accompagnement est très limité ce qui oblige à recourir à du pain frais. La pièce de cochon pour le plat principal est peu goûteuse (léger goût de fromage) et mal accompagnée de saveurs complexes vinaigrées. La purée est savoureuse.
Le dessert (fruits frais) est délicieux.
Les vin sont abordables.
Avis très mitigé. Peut-être ne suis-je pas tombé sur le bon jour ?
J’y retournerai pour confirmer."
29,juil. 2024,"5,0","Bel endroit 
Très belle terrasse 
Accueil et service impeccable 
Juste il manque une petite musique de fond et tout serait parfait 
Merci pour cet agréable moment dans cet établissement les plats sont fins et très bon je recommande le menu « élégance »
Et le baba au rhum pour les amateurs bien sûr 
Hâte d y retourner !!!"
30,juil. 2024,"3,0","Mercredi 10 juillet 2024 midi. Notre nappe et 2 de nos verres étaient sales, chocolat fondu sur la nappe et vin rouge dans un verre. La totalité des verres sont aussi flanqués d'une pellicule de calcaire. Inacceptable pour le niveau affiché par ce restaurant. Nous avons demandé à changer de table. Puis la serveuse qui n'a reçu les consignes  à remis les mêmes verres sur la table d'à côté pour changer la nappe au chocolat. 
Plats délicieux mais trop chers. 25 euros la tranche de foie gras, ça vaut entre 15 et 18 euros dans un bouchon du centre. Conclusion on paye le cadre plus qu'autre chose."
31,juil. 2024,"2,0","Très déçus. Repas de famille un samedi midi pluvieux de juillet.
Très joli cadre.
Menu du jour à éviter :
Pana cota aux petits pois trop salé.
Veau avec une sauce au chorizo baignant dans l’huile, très indigeste.
Aucune finesse .
Desserts que l’on dirait à peine décongèles.
Accueil et service quelconque.

Au vu du prix et du standing revendiqué (c’est quand même la signature Bocuse)., nous préférons retourner dans un autre établissement de la chaîne (le sud est bien meilleur !)."
32,mai 2024,"5,0","Très bon restaurant, accueil très professionnel et chaleureux dans un cadre magnifique. Cuisine soignée et variée. Bravo et merci à toute l'équipe !"
33,mai 2024,"4,0","Située à  proximité du Musée du Cinéma des Frères Lumières dans une ancienne demeure de l’un des frère, cette demeure bourgeoise, de style fin XIX, était occupée par Marguerite l’épouse d’Auguste Lumières. Rachetée par Bocuse, c’est aujourd’hui une très beau restaurant. Une belle cour ombragée avec au sol la marque des grandes vedettes primées du Grand Ecran, grande salle de bar, deux belles pièces agrémentées de splendides cheminées au rez-de-chaussée, des salons à l’étage composent cet établissement de grande qualité. Décor avec des tableaux représentant la famille Lumières, des tapisseries un peu sombres, beau parquet de bois, meubles anciens, splendides carrelages ouvragés à l’entrée. Personnel nombreux, serviable et très pro. Cuisine ouverte avec le chef aux fourneaux. Menu avec des produits frais, bien préparés superbement cuits. Des saveurs, de belles portions dans les assiettes décorées. Menu fête des mères à 56 € sans fromage. Belle carte des mets et des vins."
34,mai 2024,"3,0","Sur le panneau extérieur on lit un ""extrait de la carte des vins"" avec des prix assez attractifs(une erreur y figure le brouilly est à 18 € pour 37,5 cl et les 75 cl à 15 € !! la bonne affaire, on aura compris la coquille ;)

Mais une fois installé, la carte des vins est toute autre ? J'interroge la serveuse sur cette différence, et on me répond que celle qui correspond à celle à l'extérieur est ""donnée sur demande""  ??? ça alors !!!  jamais vu :(  
On nous l'apporte et on peut avec difficulté retrouver les prix moins élevés ... 

La tendance aux ficelles commerciales est très perceptible à la façon de proposer via une (alternative gagnante :Pour l'eau ce sera une plate ou gazeuse ?  et bien non ! en carafe svp (mais pq pas c'est une technique ) on aura eu à faire a tout le personnel je suppose, au moins 6 à tour de rôle ? 

Si les salles intérieures, semblent très soignées et belles, la terrasse très occupée en cette douce soirée, ne fait pas l'objet de soin : - un sol en partie non nettoyé avec de la boue séchée, alors qu'il n'a pas plu depuis 6 jours au moins - sur les chaises de la terrasse supérieure sale aussi une chaussette ? ! 
pour les plats commandés c'était bien, mais rien qui nous enchantera particulièrement..."
35,mai 2024,"4,0","Le chef a changé ; ça se voit et ça se sent dans les assiettes. Pour le service, nous avions une personne très à l'écoute vis à vis de nos doléances et c'était parfait. Nous avions cessé d'y aller pour toutes ces raisons. Nous nous sommes réconciliés. Un rapport qualité prix très bien dans un joli cadre. Pourvu que ça dure. "
36,nov. 2023,"5,0","Un voyage culinaire raffiné ! Ce restaurant propose une fusion de saveurs françaises dans des plats sains et délicieux. L'ambiance de gastropub ajoute une touche moderne à l'expérience, créant un cadre chaleureux et accueillant. Les plats sont préparés avec soin et présentés de manière élégante. Le service est attentionné et professionnel, ajoutant à la satisfaction globale. Un choix idéal pour ceux qui recherchent une cuisine française et européenne de qualité dans une atmosphère décontractée mais sophistiquée"
