,Date,Notes,Commentaires
0,déc. 2024,"5,0","Pizza excellente, bonne ambiance, très bon service, au top. On a demandé 2 jojo et 1 pizza et tout a été parfait.

Merci bcpp!"
1,déc. 2024,"5,0","C'est l'endroit parfait à Lyon pour manger une pizza napolitaine tout à fait délicieuse!
Ambiance et personnel très sympa!"
2,déc. 2024,"5,0","Nous avons dégustés d’excellentes pizze.
Une pizza diavola juste piquante comme il faut et une pizza au jambon truffé, à la crème de truffe parsemé de buratta.
Un repas carrément divin !!!"
3,nov. 2024,"4,0",Tres bel endroit en famille on mange très bien..je conseille...ce restaurant tres belle équipe.et une bonne ambiance
4,nov. 2024,"5,0","Très bonne pizza bien gourmande et pâtes du jour délicieuse.
Déco et cadre agréable 
Accueil très souriant.
Je recommande sans hésiter."
5,nov. 2024,"5,0",Une pizza ou un panozzo (je ne connaissais pas...) de qualité va forcément se trouver chez l'Affreux Jojo. Restaurant tenu par des jeunes gens très dynamiques.
6,nov. 2024,"5,0","pizza au top ! Produit de qualité, serveurs très sympa
Petit bémol si je devais en donner un, musique légèrement trop forte"
7,nov. 2024,"5,0","Je recommande cette adresse, l’ambiance est très agréable, les serveurs sont au top et la nourriture est excellente ! ☺️"
8,nov. 2024,"5,0",Super resto avec des pizzas délicieuses. Mention spécial pour le supplément burrata. Je recommande grandement !!!!!
9,nov. 2024,"5,0","Le cadre est super et animé ! 
La nourriture, pizza comme dessert, est de bonne qualité et les prix sont vraiment raisonnables."
10,nov. 2024,"5,0","C’était délicieux, de très bonnes pizzas et nous avons passé un super moment ! Je recommande un des meilleurs restaurants italien du quartier."
11,nov. 2024,"5,0","Les pizzas sont délicieuses, le service est impeccable et de très bon desserts.
Le prix est très abordable !
Recommandé !"
12,nov. 2024,"5,0","Des pizzas excellentes. 
Petit restaurant très sympa avec une équipe de jeunes dynamiques et souriants!
Les vins italiens accompagnent des pizzas comme on en trouve rarement d’aussi bonnes!
Une super expérience de passage à Lyon qui change  des bouchons!"
13,oct. 2024,"5,0","On a réservé avec des amis, pour un repas de travail :
Une ambiance conviviale, une serveuse agréable et une super bonne pizza !"
14,oct. 2024,"5,0","Réception, service et qualité des plats au top. 
On a passé une belle soirée entre amis ! 
J’y retournerai sans hésitation"
15,oct. 2024,"5,0","Juste un mot : délicieux ! La pâte à pizza est excellente, bonne ambiance, cadre cosy. 
Le personnel est très professionnel et agréable ! "
16,oct. 2024,"5,0","Petit endroit convivial, très bonne carte notamment de pizza.
Les pizza sont délicieuses.
Je recommande vivement !!!"
17,oct. 2024,"5,0","Pizza très bonne, très bon moment passé entre amis, à refaire le plus rapidement possible 
Les desserts également très bon."
18,oct. 2024,"5,0","Nous avons passé une soirée exceptionnelle dans ce restaurant italien ! Les saveurs authentiques des plats nous ont transportés directement en Italie. La pizza était parfaite, avec une pâte fine et croustillante et des ingrédients de qualité. Le personnel est chaleureux et attentionné, créant une ambiance conviviale. Un vrai coup de cœur pour les pâtes carbonara, crémeuses à souhait. Nous reviendrons sans hésiter ! Merci pour cette belle expérience."
19,oct. 2024,"5,0","Tout est bon. Ambiance très sympathique. Pensez à réserver même en semaine, c'est souvent compliqué d'avoir une table.
Vin des abruzzes très bon également."
20,oct. 2024,"5,0","Très bon restaurant avec un bon rapport qualité prix 
Nous y sommes allés en famille pour un anniversaire 
Je recommande la pizza à la truffe"
21,oct. 2024,"5,0","Super endroit, avec un intérieur très sympa et joli décor plutôt instagramable !! La nourriture et top et le plat du jojo, calzone revisité est vraiment vraiment top 👍 
En bref c’était un vrai régal aussi bien pour nos yeux que pour nos papilles ! Je reviendrais avec plaisir avec des copines pour leur faire goûter les supers plats du restaurant 
Je ne me garderai pas non plus de dire que le personnel est au top et les serveurs sont fort aimables, rendant le repas très agréable. De plus, l’endroit est calme avec de la bonne musique (black pumas 💃) 
Je recommande fois milleeeeee"
22,oct. 2024,"5,0","Service aux petits soins et remarquablement aimable, des plats/pizzas/panozzos (jojo) EXQUIS (la pâte est délicieuse et les condiments de qualité supérieure et parfaitement dosés) 

Nous reviendrons !"
23,oct. 2024,"5,0","Je me suis rendue avec mes amies dans ce petit resto, très bien placé et accessible dans lyon, et j’ai été véritablement et agréablement surprise de la qualité, soit disant excellente, de l'accueil, du personnel et surtout de la nourriture. Un vrai régal aussi bien pour les yeux que pour les papilles, je Recommande avec un grand R, merci beaucoup !!"
24,oct. 2024,"5,0","De très bonnes pizza, un cadre chaleureux et des serveurs très serviables !   
Nous reviendrons très prochainement :)) 🤌🏼🤌🏼"
25,oct. 2024,"5,0","Service rapide et avec le sourire 
 Pizza délicieuse et salade trop bonne 😋
Ainsi que le tiramisu à la  crème de noisette 😜  merci"
26,oct. 2024,"5,0","Nous avons mangés entre amis dans cet établissement. Le cadre est chaleureux et le personnel très agréable.
Les pizzas sont très bien garnies eles produits sont de qualités"
27,oct. 2024,"5,0","Petite soirée entre amis chez L'Affreux Jojo. Les pizzas sont très bonnes et bien garnies, l'accueil est au top. Nous recommandons sans hésiter !!"
28,oct. 2024,"5,0",Très bon accueil !. Pizzas au top. Je conseille la diavola. Nous reviendrons avec plaisir pour un prochain repas entre amis ou en famille
29,sept. 2024,"5,0","Pizzas excellentes !!! Une adresse à retenir
Fait maison !!! Service de qualité !!!! Salomé et Emma sont très aimables !!!  Les desserts sont délicieux"
30,sept. 2024,"5,0","Super bon, nous avions pris une burrata à partager et deux pizza. 
Ce fut très bon et le service était très agréable. 
Nous recommandons."
31,sept. 2024,"5,0",Pizzas et accueils excellents ! Les burattas sont d’excellentes qualité ! Nous reviendrons pour sur 😎😎 et cette fois nous garderons de la place pour les desserts !
32,sept. 2024,"5,0","Super repas ! Merci beaucoup, l’équipe était très sympathique! Les pizzas étaient très bonne également!  À la prochaine ;)"
33,sept. 2024,"5,0","Trop bon ! Endroit sympa, personnel très agréable ! Les pizza sont super bonnes, le choix est varier ! 
Merci beaucouuuuuuup"
34,sept. 2024,"5,0",Ce restaurant est très agréable !! Les Panozzo sont vraiment bonnes ! Le personnel est super gentil et accueillant !!!!!
35,sept. 2024,"5,0",Endroit très chaleureux ! Repas délicieux ! Très bon rapport qualité prix ! Je recommande vraiment ce réstaurant ! Les serveurs sont très souriants
36,sept. 2024,"5,0","Acceuil tres sympathique, pizzas délicieuses et copieuses.
Nous n’avions plus de place pour le dessert, c’est sur que nous reviendrons !"
37,sept. 2024,"5,0","Repas super bon et personnel très accueillant
Les pizza sont excellentes ! Une très bonne adresse si vous êtes des grands mangeurs comme moi"
38,sept. 2024,"5,0","Délicieux et chaleureux !!! Je conseille cette pizzeria !!! 
Un environnement agréable!!!! 
Les desserts maison à goûter absolument !!!"
39,sept. 2024,"5,0","Très bonne pizza. Prix très raisonnables. Je recommande vivement cette pizzeria. La burrata était exquise 
Je l’ai pimpée avec de l’huile d’olive et du poivre"
40,août 2024,"5,0",Wouai bah  j’étais avec jessica et les drôles à saint Étienne où ont n’a acheté une table un congélateur et une machine à decradosser et la ont n’a décider de passer chez nos voisins les ritals très bonnes pizzas et tre bons tiramisu
41,août 2024,"5,0",Pizzas copieuses et excellentes. Les pâtes du jour également. Bonne ambiance dans ce lieu chaleureux.  Très bon rapport qualité prix.
42,août 2024,"5,0",Très bonne adresse. Des pizzas excellentes réalisées avec une pate de haute voltige et de bons ingrédients. Service efficace et sympa.
43,août 2024,"5,0","L’endroit parfait pour une soirée tranquille. Miam miam ! Si l’Italie est une destination de rêve, ce restaurant en est l’entrée."
44,août 2024,"5,0","À l’angle d’une sortie de place de métro , un petit rayon luminescent et solaire se fraie un chemin paisible jusqu’à la rétine , avant que l’on décide avec enthousiasme d’aller à la rencontre de cette escapade italienne. Les peintres , furent à une époque , obligés de voyager dans le Pays le plus Vieux du monde afin d’y absorber la beauté intrinsèque de cet endroit merveilleux. Il faut désormais croire que de nos jours , c’est à côté de la place Guichard que ce voyage en Italie a lieu de la plus fantastique des manières. Combien de coup de pinceaux impressionnistes  pourrait résumer ce fourmillement de lumière et d’émotions qui nous traversent lorsqu’on y fait escale. Que cela soit sur les berges des prix accessibles jusqu’à l’enclave sublime d’une cascade de goûts , à la manière de l’éruption d’un Vésuve ou d’un Etna : l’affreux Jojo n’a d’affreux que le nom , et je souhaite , de mon humble expérience , rendre hommage à l’un des restaurants les plus dignes qu’il m’est été de rencontrer.

Caravage"
45,juil. 2024,"5,0","Excellentes pizzas et super service !

Tous les employés sont agréables et chaleureux avec une délicieuse cuisine qui font de L'Affreux Jojo est un restaurant d'exception."
46,juil. 2024,"5,0","Excellentes Pizza, beaucoup de choix et des produits de qualité, pour un prix très raisonnable et une ambiance chaleureuse"
47,août 2024,"5,0","Très bonnes pizzas!!!🍕😋 
Accueil parfait,
Bonne ambiance,
Bonne musique,
Nous nous sommes régalés 
Merci beaucoup JOJO!!!
"
48,août 2024,"5,0","Restaurant exceptionnel !
Accueil parfaite avec sympathie et grand sourire !
Je conseille fortement meilleur italien de Lyon."
49,août 2024,"5,0",Une très belle découverte avec de succulentes pizzas et desserts pour un tres bon rapport qualitéprix. Et un accueil au top !
50,juil. 2024,"5,0","Nous avons passé une bonne soirée chez l’affreux Jojo. Les pizzas napolitaines sont vachement bonnes! Le rouge était un peu chaud, mais le service était trés bien!"
51,juil. 2024,"5,0","Très bien !!!!!!!!!!!!! Top le repas et les pizzas merci pour tout avec jojo on s'amuse bien youhouuuuu, merci pour tout"
52,juil. 2024,"5,0",Un très bon moment passé et un spritz limoncello exceptionnel ! Le cadre est très agréable et les serveurs très sympathiques !
53,juil. 2024,"5,0","Très bon, la pâte est excellente digne d'une vrai pizza napolitaine ! 
Prenez le spritz limoncello au passage il est divain.
Je recommande vivement."
54,juil. 2024,"5,0","Les Panazzos sont trop bonnes et le spritz limoncello est au top , C’était superbe merci l’affreux jojo !!!!!!!!!!!!!!"
55,juil. 2024,"5,0","Venu pour fêter l’anniversaire de ma meilleure amie ! Lieu très sympas, personne très sympas et miam très sympas !! Je recommande à tous à 100%."
56,juil. 2024,"5,0","Je suis venue à l'occasion d'un repas d'anniversaire, on a très bien mangé et j'ai passé un très bon moment avec tous mes amis ! Je vous conseille le Spritz limoncello 👍"
57,juil. 2024,"5,0","Pizza excellente et service super sympa ,des bons vin italien ! avec une terrasse super sympa sur une place calme agréable !  Je recommande à 100%!"
58,juil. 2024,"5,0","Une des meilleures pizza sur Lyon, une adresse à retenir !  
Le rapport qualité prix est vraiment interessant avec des produits de qualités, 
Nous reviendrons sans hésiter !"
59,juil. 2024,"5,0","Super 😀 👍 
Je recommande , dîner entre amis très satisfait 
Lieu agréable  et convivial 
Personnel au top , hyper sympa 👍👍👍👍😉👍"
60,juil. 2024,"5,0","Très bon, très bonnes pizzas, à recommander ! Les serveurs sont très professionnels et accueillants. Ils bout ont très bien conseillés sur la carte!"
61,juil. 2024,"5,0","Les pizzas sont les meilleurs que j'ai pu manger.
Le cadre est aussi très chaleureux et convivial.
Les serveurs sont aussi très aimable !"
62,juil. 2024,"5,0","La pizza est bonne, mon pote Leo aussi. Bisou.
Ils m’ont fait une pizza que je n’ai pas pu refuser. Les vrais auront la ref."
63,juil. 2024,"5,0","Une ambiance très agréable, un service rapide et surtout des panozzo et des pizzas excellentes. Je conseille fortement."
64,juil. 2024,"5,0","Pizza et panozzo d'une qualité exceptionnelle! On retrouve l'âme de Naples dans nos assiettes! 
Grazieeeeeeeeeeeeee!"
65,juil. 2024,"5,0","Rapport qualité prix incroyable.
Très bonne accueil et service très rapide.
Je recommande généralement peu de restaurants mais j'ai fait un effort pour ce resto."
66,juil. 2024,"5,0","Très bon restaurant, de qualité.
Leur carte est diverse et chaque plat est delicieux
Je le conseille sans hésiter , merci pour l'expérience !"
67,juil. 2024,"5,0","Super resto, la nourriture est bonne, très bien présentée et les serveurs sont super agréables et arrangeants. Très bon rapport qualité/prix 😊"
68,juil. 2024,"4,0","Accueil chaleureux! Nombreux choix, serveuse gentille. Très bien servi :) 
Les pâtes étaient délicieuses! 
Et la pâte à pizza en guise de pain trop bonne idée!"
69,juil. 2024,"5,0","Accueil très agréable. Personnel dynamique et très aimable. Pizzas excellentes. Un  super moment. 
Nous reviendrons. Merci"
70,juil. 2024,"5,0","Un charmant restaurant où j’ai pu déguster avec des camarades une spécialité inédite pour ma part, le panozzo au gorgonzola ! Nous reviendrons !"
71,juil. 2024,"5,0","Restaurant parfait à côté de place Guichard pour déguster des pizzas incroyable, je conseille fortement la pizza pollo"
72,juil. 2024,"5,0","La pizza était merveilleux! Nous avons adoré notre experience ici, le serveur était très gentil aussi, toujours souriant!"
73,juin 2024,"5,0","Nous sommes venus manger entre collègues, mes pizzas sont vraiment très bonnes et l'accueil est nickel... Cerise sur le gâteau les tiramisu sont excellents également!!! Je ne peux que vous conseiller d'y aller "
74,juin 2024,"4,0","Équipe sympa, pizza de qualité. Bons ingrédiens cool!! Bien designé le restau, pas une franchise! Merci.................."
75,juin 2024,"5,0","Très bonne pizzeria avec une bonne ambiance, pizza consistante et très bien garnie avec une pâte parfaitement cuite et épaisse"
76,juin 2024,"4,0","Super moment passé avec mes collègues, bonne pizza assez copieuse et le prix était correcte. Je recommande fortement !"
77,juin 2024,"5,0","Super dîner entre amis 
Tout est bon !
Les pâtes étaient excellentes
 On a passé un très agréable moment 
Je vous recommande"
78,juin 2024,"5,0","C’est un super resto, les pizzas sont vraiment très bonnes et bien cuites 
Je recommande et y reviendrai 
Et bon service 
Merci"
79,juin 2024,"5,0","On peut difficilement faire mieux. Tout est excellent. Les pizzas, le cocktail, le dessert et l'accueil. Rien à dire… et le limencello"
80,juin 2024,"5,0","Les pizzas étaient excellentes (surtout celle à la truffe), ainsi que les cocktails. Les serveurs étaient aussi très gentils et accueillants !"
81,juin 2024,"5,0","Endroit très agréable pour un dîner, le personnel est jeune et dynamique, les pizzas sont vraiment bonnes la pâte est parfaitement cuite et à très bon goût ✅

Nous avons été servis rapidement et avec le sourire; un grand merci ! Je recommande cette pizzeria sans soucis (de plus les prix sont plutôt attractifs :) )"
82,juin 2024,"5,0","Très bon accueil, les pizzas sont excellentes et bien garnies (mention spéciale pour la pate!) :)
Personnel adorable et dynamique, très bon rapport qualité / prix, je recommande à 100% !"
83,juin 2024,"5,0",Équipe très sympa ; ils nous ont donné une super table malgré une forte affluence ce samedi. Jojo vert délicieux et hyper copieux !
84,juin 2024,"5,0","Très bonne pizza a recommandé !
Nous sommes venus avec 10 colleges de mon entreprise et avons passé un très bon moment tous ensemble"
85,juin 2024,"5,0","Service agréable, très bonne équipe ! Les pizzas sont superbes bonnes et les desserts géniaux. Cuisson au top vraiment un regal"
86,juin 2024,"5,0","J’ai passé un très bon moment grâce au service et à la nourriture, tout était parfait, nous avons passé une super soirée !"
87,juin 2024,"5,0","Très bon repas, terrasse agréable et personnels accueillants ! Nous avons passé une très bonne soirée à ce restaurant."
88,juin 2024,"5,0","Expérience inoubliable! On était très bien accueillis, services facile et bienveillant et pizza délicieuses :) on y retournera !"
89,juin 2024,"5,0","Une bonne pizza et des employés très attentionnés. Nous étions en terrasse et il fait un temps très agréable. Beaucoup de monde, on ne nous a pas oublié pour autant."
90,juin 2024,"5,0","C'était excellent super service et très bon repas, ambiance chaleureuse 😊. Personnelle très agréable j'ai beaucoup aimé leur pizzas"
91,juin 2024,"5,0","Très bon accueil par la serveuse très avenante et arrangeante. Bons conseils, plats très bons et bien équilibrés. Je recommande +++"
92,juin 2024,"5,0","Très bon endroit que je recommande fortement  avec de bons produits de qualité. Je recommande le Jojo Blanc. 
Hâte d'y retourner !!!"
93,juin 2024,"5,0","Restaurant au top avec petite terrasse très agréable. Découverte des pannozo ! 
Super service ! Personnel très sympathique"
94,mai 2024,"5,0","Superbe accueil, très grande gentillesse et douceur de la serveuse…
Malgré un restaurant complet , un bel effort a été fait pour nous accueillir quand même !
Venez sans hésitation car vous vous sentirez comme à la maison !
Et pour ce qui est du repas : 10/10 !!

Comme on dit chez moi : BSARTEK et on reviendra Inchallah"
95,mai 2024,"5,0","Je sais que ma semaine commence vraiment le mercredi soir, car c'est le premier soir de la semaine où L'Affreux Jojo ouvre ses portes. Pizzas incroyables, vins italiens trop bons, desserts au top (tiramisu nocciolata ❤️), tout est parfait à chaque fois!"
96,mai 2024,"5,0","Une pizzeria qui s'illustre par la qualité de ses produits comme par l'ambiance qu'on y trouve ! 
Pis le rouge est vraiment po mal 🍷"
97,mai 2024,"4,0","Pizza mielle très bonne, patte épaisse et moelleuse (très bon) , restaurant très agréable et très bonne ambiance  (très bon accueil)"
98,mai 2024,"5,0","Le repas était très bon, j’ai pris une pizza maison ! L’ambiance est chaleureuse et l’équipe très sympathique ! Merci pour ce repas"
99,mai 2024,"5,0","Accueil très chaleureux, endroit très sympathique, je recommande ! Super pizzas très bonnes, en bref une super ambiance à Lyon !"
100,mai 2024,"5,0","bon repas, bonne pizza, bonne ambiance. 
Accueil très chaleureux, je conseille cet endroit, j’ai passé un super moment !"
101,mai 2024,"5,0","Nous avons passé un très bon moment à l’affreux jojo. Les pizzas et les panozzos sont excellents, je ne peux que recommander !"
102,mai 2024,"4,0",L’endroit est parfait pour manger des supers jojos entre amies ! Personnel très sympathique et nourriture super bonne :)
103,mai 2024,"5,0","Une découverte très sympathique dans ce monde italien, un plaisir gourmand ! A plusieurs ou en amoureux !!!!!
A faire 👍"
104,mai 2024,"4,0","Le lieu est chaleureux avec une jolie décoration. Nous y avons dégusté des Panozzos, chose que nous ne connaissions pas. Ce fut une belle découverte, une sorte de pizzas en panini ! La garniture et la cuisson sont bonnes, nous recommandons ! 🙂"
105,mai 2024,"5,0","Super resto pizza hyper bonne !! 

Très bon endroit pour passer la soirée en bonne compagnie dans un lieu convivial et agréable"
106,mai 2024,"5,0","Repas plaisant entre 3 amis de formation 😁
Découverte culinaire sympathique ❤️ un panozzo incroyable, une pâte à pain hors du commun !"
107,mai 2024,"4,0","Excellent, la pâte à pizza est très bonne, bons ingrédients et bons desserts
Service très rapide et agréable  petite terrasse pour les beaux jours. "
108,mai 2024,"5,0","Très bon, des plats atypiques mais toujours bons et pleins d’ingrédients frais. C’est toujours un plaisir, je recommande"
109,mai 2024,"5,0","Un service d’une grande qualité et accueillant ! Les pizzas sont excellentes avec beaucoup de choix ! 
Je reviendrai avec plaisir une autre fois !"
110,mai 2024,"5,0","La meilleure pizzeria du troisième arrondissement de Lyon. J’y vais régulièrement et je ne suis jamais déçue, c’est absolument parfait. Je recommande vivement cette adresse."
111,avr. 2024,"4,0","Super accueil, très sympa et très bonnes pizza et salade. Nous avons apprécié une ambiance cool et serveurs très attentionnés."
112,avr. 2024,"5,0","Quelle trouvaille exceptionnelle ! Ce restaurant offre une expérience culinaire remarquable avec une ambiance chaleureuse et accueillante. Les pizzas sont un vrai régal pour les papilles, avec une pâte parfaitement fondante et des ingrédients toujours frais. Le personnel est extrêmement sympathique et attentif, ce qui rend chaque visite spéciale. C'est définitivement le lieu incontournable pour les amateurs de vraie pizza italienne. Je recommande vivement !"
113,avr. 2024,"5,0","Très bonne pizzeria. Je recommande. 
Nous avons passé un très bon moment avec mon frère. La bière est très bonne également."
114,avr. 2024,"5,0","Pizza aux truffes vraiment très bonne, on est bien accueilli par une serveuse très agréable et le resto est bien décoré et la   musique sympa"
115,avr. 2024,"5,0","PIZZA 4 FROMAGES TRÈS BONNE. Je vous recommande ce restaurant !
Bien placé dans Lyon, proche de la Gare Pare-Dieu. Allez-y vite !!!!!!"
116,avr. 2024,"5,0","Je me suis régalé, mes papilles ont été sublimées par ces pizzas faites avec amour. On sent l’investissement des cuisiniers à chaque bouchée. Le personnel est agréable souriant et solaire. Grace à ce bon repas je sais que je vais passer une bonne journée ! Je reviendrai !"
117,avr. 2024,"5,0","Beau restaurant, personnel sympathique et des produits excellents! Je recommande la pizza Truffala et la crème brulée!"
118,avr. 2024,"5,0","Je suis venue plusieurs fois et c’est toujours une très bonne expérience !
Les plats sont tous très bons :)
Je recommande vivement"
119,avr. 2024,"5,0","Superbes pizzas à des prix abordables !! Serveurs très agréables et lieu chaleureux. Parfaitement placé sur la place Guichard, je n’hésiterai pas à y retourner."
120,avr. 2024,"5,0","L’endroit super cool, avec des pizzas avec un prix super abordable et un service super sympathique et un accueil chaleureux"
121,avr. 2024,"3,0","Attiré par le nombre d'avis positifs, je m'attendais à être agréablement  surpris!
Mais non, rien d'exceptionnel!
J'ai compris la raison du nombre d'avis positif. Ils ""offrent"" un Limoncello d'une valeur de 5€ contre un avis sur tripadvisor!
"
122,avr. 2024,"5,0","Nous avons mangé en extérieur, au calme;
Accueil très chaleureux, très bonne ambiance,
Service agréable et rapide, 
Pizzas de qualitées, très bons vins. 

Je recommande"
123,avr. 2024,"5,0","Très bon accueil, personnel agréable. On y mange très bien. Bonne adresse sur Lyon. Idéale avant ou après un spectacle à la Bourse du Travail"
124,avr. 2024,"4,0","Restaurant qui propose des pizzas et panozzos très variés.
Les panozzos sont très originaux. Le panozzo ""jojo bleu"" que j'ai pris (gorgonzola, poire, miel, noix)  était très bon et copieux."
125,avr. 2024,"5,0","Nous avions réservé une table pour l'après spectacle à 22:00.
Un accueil des plus sympa par des personnels souriants et aux petits soins.
Service rapide d'une cuisine de qualité.    Nous avons savouré la pizza et le panozzo (que je ne connaissais pas) réalisés avec une pâte excellente, fine, légère et craquante !!!!
Nous recommandons sans hésitation cette table et nous y retournerons !!!
Félicitations à toute l'équipe !!!"
126,avr. 2024,"4,0","Super resto, staff très sympa et accommodant. Les pizzas sont bien chargées, et les tiramisus sont excellents. 
Seul bémol qui ne concerne que les vins, la sélection est assez minimaliste. 

Merci pour ce moment !"
127,avr. 2024,"5,0","Endroit très accueillant, le personnel est très sympa, la pizza était excellente ainsi que les panozzos.
Nous avons passé un très bon moment."
128,avr. 2024,"5,0","Très bonne pizza, accueil chaleureux, je recommande. Nous n’avons pas réservé mais une table nous a été attribué très rapidement"
129,mars 2024,"5,0","Pizza et Panozzo excellents, une des meilleurs pizzeria que je connais ! Service très sympathique et produits de qualité."
130,mars 2024,"5,0","Excellent restaurant, nous avons tout les 3 adorés, ma fille a eu une pizza en forme de lapin 👌 mention spéciale pour le panozzo nocciolata."
131,mars 2024,"5,0","Serveuse douce, souriante et bienveillante. 
Ambiance chaleureuse. 
Pizza super bonne !!!!!!
Très bon vin rouge Italien. 
Agréable moment entre copines."
132,mars 2024,"5,0","Comment d'ecrire cette pizza juste une merveille pour les papilles,les serveurs sont tres agréable, le lieu est tres convivial
Je vous recommande les yeux fermés 
Merci beaucoup, tres bonne soirée"
