,Date,Notes,Commentaires
0,déc. 2024,"5,0","Un très bon accueil, des plats à tomber par terre, la truffe mise à l’honneur en cette période de fête.
A l’occasion d’un déjeuner entre artisans, un moment incroyable.
Félicitations au chef, bravo au gérant pour ce concept avec une cuisine digne d’un étoilé, le prix en moins.
A voir absolument. SG"
1,nov. 2024,"5,0","menu à 35€ comprenant entrée, plat, dessert 2 interludes + suppléments.
thé de champignons parfumés, très original offert avant le repas.
apéro maison très délicat parfumé à l’agastache.
tout le repas était délicieux : foie gras et châtaignes torréfiées, Noix de Saint-Jacques chou poivre de timut ; merlu et betterave ;  dessert et interludes merveilleux…
assiettes très chaudes.
le chef passe régulièrement et recommande le vin rouge (Loire volcanique, éclat de granit 2023, domaine sérol bio, très bon)
le serveur donne des explications pour chaque plat ou interlude.
Top Top Top !!"
2,nov. 2024,"5,0","La carte est très courte et  les plats sont très bien travailles. Cuisine savoureuse,très raffinée. Le service est impeccable "
3,nov. 2024,"5,0","Toujours autant de saveurs,de surprises…de découverte d’une cuisine raffinée et inspirante…Un plaisir des yeux et des papilles…bravo Chef et Merci Mathieu pour votre accueil."
4,nov. 2024,"5,0","Une très belle adresse pour ravir les papilles. De notre première expérience (qui ne sera pas la dernière), tous les plats étaient maîtrisés,  tant dans l’association des saveurs, parfois surprenantes, que dans la justesse des cuissons. Un délicieux moment !"
5,juil. 2024,"5,0","Pour la deuxième fois dans ce restaurant 
De l entrée au dessert ,un plaisir pour les yeux et les papilles .
Félicitation au chef 
A conseiller sans hésiter."
6,juin 2024,"5,0","Excellent rapport qualité prix. Découverte de la nouvelle saveur agastache entre l' anis, le fenouille et la menthe ... Nous reviendrons cette fois-ci nous prendrons les amuses bouches en supplément qui ont l'air aussi innovants que les plats. Le seul bémol de ce restaurant est son succès et les 2 mois d'attente pour avoir une place."
7,avr. 2024,"3,0","Nous attendions ce repas avec impatience avec tous ces commentaires positifs et nous avons vraiment été déçus. Les entrées étaient fades, les plats acceptables et le dessert très déséquilibré (au fruit de la passion que nous adorons d’habitude mais la c’était très très acide). Bref un restaurant moyen alors qu’on s’attendait à quelque chose de très bon.
Seule mention positive : le confit d’oignon qui était très bon."
8,avr. 2024,"5,0","Excellent rapport qualité /prix. Une bonne recherche dans la créations des plats et  des ""intermèdes"" proposés. 
Je précise également, que la carafe d'eau micro filtrée (gazeuse ou non) n'est pas facturée, suffisamment rare pour être soulignée.   
Je comprend pourquoi ce restaurant est complet trés longtemps à l'avance.
Je recommande et j'y reviendrais avec grand plaisir."
9,mai 2024,"5,0",La magie des saveurs tout le long du repas…. Avec des interludes incroyables. Digne des plus grands restaurants à un prix plus qu’abordable ! Un seul mot : merci 🤩 et à très bientôt
