,Date,Notes,Commentaires
0,déc. 2024,"5,0","Nous étions 10 pour un anniversaire : Repas Excellent ( dessert compris ), Service sympathique et à l’écoute , ambiance au TOP… on reviendra …"
1,nov. 2024,"5,0",À chaque fois ce n'est que du bonheur. De bonnes bouteilles pour accompagner diverses viandes de races bovines excellentes. Ne passez pas à côté des desserts également. 
2,nov. 2024,"5,0","Amoureux de la bonne chaire bienvenue a vous ,Ce restaurant ambiance boucherie est incontournable ,la viande mariné en apéro ,l'os a moelle et que dire de l'entrecôte limousine  le personnel est adorable ,le patron vous explique tout sur la provenance des viandes .Ils nous ont même rappelé car il nous avaient facturé une bouteille de vin par erreur et nous on remboursé .fabuleux on y retourneras"
3,août 2024,"5,0","Quand on vient manger à l’Argot, on y vient surtout pour l’ambiance. Cette fois, nous avons eu la chance d’être placés près du chef boucher, qui coupe, pèse, entaille, bichonne sa viande. Ambiance très sympa. Une étoile est réservée aux toilettes : un sans-faute, décoration top, lieux propres.
2 étoiles pour le repas : nos enfants adorent, et c’était d’ailleurs le cadeau d’anniversaire de ma fille, elle l’a réclamé !! Les cuissons sont parfaitement maîtrisées, le beurre maître d’hôtel est parfait. Il ne restait rien dans les assiettes.
Une étoile pour le service : sourire et attention de rigueur. Ma fille a même eu droit à sa photo avec le chef ! Elle était toute contente ! Merci !!
Et une étoile pour le rapport qualité prix : la bonne viande, c’est cher mais c’est bon et beau. On fait pas ça tous les jours, mais on le fait quand on a quelque chose à fêter !
C’est un 5/5 mérité !!
Attention cependant : réservation indispensable et très à l’avance pour le soir !!!"
4,août 2024,"5,0","Nous y allons à chaque visite lyonnaise. C’est toujours un sans faute. Personnel aux petits oignons. Nous avons cette fois-ci opté pour les bonbons en entrée, puis hampe wagyu et entrecôte montbéliarde en plats. Tout était absolument exquis. Certes, ça a un prix mais ça vaut vraiment le coup quand on voit la qualité des produits proposés. Pareil pour la carte des vins. Merci encore"
5,juin 2024,"5,0",Très belle découverte.  Dégustation viande maturée agréable. Personnel tres professionnel et particulièrement attentif.
6,juin 2024,"5,0","Dans l'assiette c'est fabuleux quand on sait choisir ses produits et qu'on leur fait confiance, belle carte des vins, service et salle/terrasse au top, c'est un tellement bon moment qu'on a même  l'impression que les autres clients ont été loués pour participer à notre plaisir. Encore !"
7,juin 2024,"4,0","Vraiment super restaurant / haute qualité des produits et des cuissons / cependant un rapport qualité prix certainement issu de leur succès légitime. Et puis des niveaux de prix très élevé (disons hors de prix) pour un digestif.....
Dommage pour un repas d'équipe à 11 personnes de ne pas avoir un geste commercial du restaurant pour des digestifs....En tout les cas bravo et je vous encourage à aller manger dans cette belle adresse."
8,juin 2024,"5,0","Un caboulot pas piqué des hannetons !
On a becté de la bidoche tendre et goûteuse, arrosée d’une bonne boutanche de picrate.
Le patron est pas trop gourmand question artiche et les loufiats sont sympas.
Je vous la fais courte : c’est ici qu’il faut radiner pour se faire Peter la sous-ventrière !"
9,mai 2024,"5,0","Un restaurant avec une ambiance unique. Un accueil, des conseils experts et des produits de grande qualité. Je recommande et je reviendrai."
10,févr. 2024,"5,0","Viandards ne pas s'abstenirb! Juste parfait. Tout est au top , repas , service et bien sûr ......la viande !!! Merci encore"
11,avr. 2024,"5,0","Un très bon moment et un véritable repaire pour les amateurs de viande de grande qualité. 

La formule à +15€ par personne et pouvoir choisir soi même ses pièces de viande dans la vitrine est une véritable expérience pour tout amoureux de la viande et avoir des explications au moment du choix est un énorme plus. 

Mention spéciale également à Nadège qui nous a servis avec le sourire et une redoutable efficacité, chose que l'on ne souligne pas assez en ce temps ou le service dans les restaurants est de pire en pire et peut vous faire passer une soirée de très bonne à excellente ou à moyenne. Donc merci Nadège de nous avoir fait passer une excellente soirée.

Merci au chef pour la cuisson des viandes et leur qualité. Un très bon moment qui sera reproduit.

Ps : seul petit point à noter, il est à notre sens primordial d'envoyer les côtes en 2 fois. Nous avons noté qu'en général elles sont envoyées les 6 en même temps (mais un ami nous a fait le retour que c'était froid sur la fin même si on nous propose de réchauffer), mais ce n'est pas forcément agréable de tout avoir en même temps sur la table et manger froid sur la fin (la 3ème étant tiède tiède lorsque nous l'avons mangée). 

Nous avons donc bien apprécié de les avoir eues en 2 fois. Merci"
12,avr. 2024,"5,0","Et aussi ... la moins chère 😳🤪
Service très sympa. Comme le couple de patrons !! Ouvert, tchatcheur, souriant
La côte de boeuf et son ail ... TOP ! Et oui elle est pour deux, et tant mieux !!
Seul défaut: très bruyant"
13,mars 2024,"5,0","Expérience fabuleuse ! En entrée à partager, un trio de pâté croute qui valent le détour ! Les plats de viande : généreux, cuisson parfaite, sans chichi. Et les desserts : au top ! 
Je recommande bien évidemment ce restaurant à tous les amateurs de très bonne viande.
Et pour ne rien gâcher, le pain était très bon, et un thé parfait. 
Service aux petits soins et avec le sourire !"
14,mars 2024,"5,0","Très très bon accueil, Os à moelle parfaitement cuits, Cote de bœuf succulente, et des couteaux qui coupent parfaitement."
15,mars 2024,"5,0","Nous n’avons jamais dégusté une côte de bœuf aussi délicieuse. Nous recommandons également en entrée du pâté croûte appelé « l’oreiller » une tuerie 
Le personnel est sympathique et professionnel tout comme le Patron et son épouse.
Allez-y !!!"
16,févr. 2024,"3,0","On se faisait une joie de dîner dans ce lieu ´renommé ´. Nous avons été très déçus.
Tout est précipité, une tension palpable entre le personnel . Pas de conseil sur le choix des viandes . Accompagnement (pommes de terre) presque brulées."
17,févr. 2024,"5,0","C’est la deuxième fois que j’y vais et vraiment tout est au top, le choix, la qualité des mets et le service
Certes le prix est un peu élevé mais il n’y a rien à dire sur le rapport qualité / prix 
Je recommande, …. j’étais un peu inquiet car l’on m’avait dit que ça avait changé de proprio mais en tous cas la qualité reste la même : EXCELLENTE"
18,janv. 2024,"5,0","Envie d’une très bonne viande ?
J’ai choisi ce lieu où nous avons partagé une belle côte de bœuf accompagnée de pommes de terre fondantes et champignons.
La cuisson a été conforme à notre demande.
Très bon vin parfaitement adapté à notre plateau de viande bien tranchée.
Que dire de plus sinon y revenir pour déguster d’autres viandes issues de la vitrine.
Personnel discret, service efficace."
19,janv. 2024,"5,0","Si vous aimez la viande vous ne serez pas déçu, c'est excellent, tout est très bien la bonne humeur est de mise. Une adresse à retenir."
20,déc. 2023,"5,0",Très bonne adresse. Plat copieux. Viande délicieuse. La brioche façon pain perdu au caramel beurre salé en dessert est excellente.
21,déc. 2023,"4,0","Un temple carnivore par excellence, personnel accueillant et professionnel, la viande est vraiment de qualité. Nous avons opté pour un tatare au couteau et une entrecôte de limousin, le tout accompagné de patates extraordinaires..et avons partagé un dessert (cookies maison bien riches)..
Petit bémol : soirée d’hier trop bruyante …on avait du mal à placer deux mots ce qui est dommage pour une sortie restaurant qui se limite à finir son assiette "
22,déc. 2023,"5,0","Une adresse qui va bientôt fêter ses 9 ans et qui est dans son domaine voué à la viande de qualité un incontournable lieu de plaisirs culinaires. Qualité du personnel très professionnel et bienveillant, et un duo de manager adorables. "
23,juin 2023,"5,0","concept de la boucherie restaurant.Il existait un endroit de ce type a la croix-rousse ily a une vingtaine d'années mais c'était avant tout une boucherie.Beau panel de viandes surmaturées que l'on peut choisir.Facturation au poids.PAS ou peu de légumes(on a dû se contenter de pommes de terre rissolées carbo).carte des vins a mon avis surdimensionnée.Cher.40EUROS UN ONGLET DE 250G mais c'est du boeuf wagiu!Végétariens s'abstenir,la salade est en sus.L'été les nombreux bistrots du coin aménagent des terrasses surdes estrades qui débordent largement sur la rue et amputent les places de stationnement.pas facile de se garer dans le secteur.Très bon restaurant mais pour carnivores."
24,oct. 2023,"5,0","Fabuleux endroit pour les viandart ,personnel au top ,produits de qualités,belle carte de vin .Aucune fausse note a refaire"
25,sept. 2023,"5,0","Très chouette restaurant, nous y avons très bien mangé.
Service impeccable et aux petits soins. Le patron a discuté avec nous un petit moment en fin de service.
Nous recommandons l’omelette norvégienne et la brioche perdue!"
26,sept. 2023,"5,0","Endroit exceptionnel à tout niveau !
Que ce soit la viande, le vin , les entrées ..
Et Sylvain le patron est très accueillant 
Bravo pour l’établissement "
27,mai 2023,"5,0","J’adore cette endroit où choisi sa viande d’exception,petit endroit très simple mais très succulent à réservé terres prisée "
28,sept. 2023,"5,0","Une très bonne adresse, après avoir tourné dans la quartier, nous nous sommes posés ici, sans regret! Viande excellente, bravo au bouchers."
29,déc. 2022,"5,0","La viande succulente, la cuisson impeccable. Accompagner d'un beaune 1er cru un bijou
La brioche perdue un délice
Seul petit bémol les tables sont un peu trop proches mais un super service, le patron, une ambiance conviviale compense cela. 
Réussi c'était un moment magnifique
Une adresse à ne pas louper"
30,juil. 2023,"5,0","Restaurant spécialisé dans la viande, nous souhaitions depuis un moment le découvrir. En réservant suffisamment tôt nous avons pu avoir une table pour le dîner. 
Et là ce fut un grand moment de bonheur, car des entrées (les bonbons, le Bellota, les pâtés en croûte) aux plats ( onglet, tartare, entrecôte, noix de ) tout est délicieux et surtout cuit à  la demande, bleu ou à point.
En accompagnement nous avons pu goûté la poêlé de cèpes et les pommes de terre sautées. 
Et pour finir les desserts ont sublimé ce moment.
La carte des vins est conforme à la région et aux produits,  soit bien complète et pour toutes les bourses.
A découvrir,  et pour nous les ados ont déjà prévus de revenir.  ;))"
31,juin 2023,"4,0","Viandes excellentes, cuissons respectées, accompagnements et desserts au top. Pour résumer, nous avons passé un très bon moment qui sera sans aucun doute renouvelé."
