,Date,Notes,Commentaires
0,sept. 2024,"5,0",Repas excellent cuisine soignée un choix de quatre desserts service parfait atmosphère chaleureuse je recommande vivement ce restaurant pour déjeuner
1,mars 2024,"5,0","En plus d’être bon ,j’aie eu un super accueil avec des patrons très chaleureux 

À recommander sans hésiter 

Très bel endroit"
2,déc. 2023,"4,0","Très bonne cuisine pour un prix tout à fait correct et l'accueil est très sympathique.

Dommage d'être un peu serré car les tables sont petites et elles sont collées les unes des autres. C'est pas mal pour faire des connaissances, lol !"
3,août 2023,"5,0",Une très bonne cuisine pour un prix tout à fait correct ... et un accueil très sympathique. Je vous conseille vivement l'endroit.
4,mars 2023,"5,0","Un lieu convivial avec une équipe sympathique.
La cuisine est originale et goûteuse,mention spéciale au mi-cuit chocolat."
5,nov. 2022,"5,0","Une très belle maison où il faut juste pousser  la porte pour découvrir une cuisine qui mise sur la qualité.
L’équipe quant à elle est au top avec un service irréprochable."
6,juin 2022,"5,0",Accueil généreux et plats d'excellents qualité. Au coq en pâte vous êtes chouchouté avec une cuisine maison et ultra fraiche. Etienne & l'équipe font vivre le quartier et bien + ! Allez y les yeux fermés
7,nov. 2021,"5,0","Très bon accueil, 
Petit en-cas lyonnais pour patienter 
Personnel très sympathique et cuisine excellente 
Délicieux fondant aux châtaignes
Je recommande et retournerai avec plaisir"
8,août 2021,"5,0","Un vrai restaurant de quartier. On ressent très vite que le restaurant fait partie de la vie de ce quartier. Une clientèle de quartier qui doit être fidèle à cet établissement par l'ambiance générale et la convivialité en plus de la qualité et de l'excellent rapport qualité/prix. 
Equipe très sympathique, cuisine avec des aliments de qualité et frais, tous les ingrédients pour passer un excellent moment.
Le petit digestif maison offert avec le discussion sympathique avec le boss participe au fait que l'on reviendra forcément dans ce restaurant."
9,août 2020,"5,0","Une adresse à retenir ! 

Excellent rapport qualité prix, service rapide, convivialité et bonne humeur seront toujours au rendez-vous lorsque vous irez manger ou boire un verre au coq en pâte. 

Que ce soit pour manger ou pour boire un verre, vous ne serez jamais déçu ! "
10,août 2020,"5,0","Gros coup de cœur pour ce restaurant! 
Un accueil très chaleureux, des plats copieux, nous nous sommes régalés. 
Les prix sont très abordables. 
Vous pouvez y aller les yeux fermés! 
Merci pour ce moment et bravo à l’équipe! "
11,déc. 2019,"5,0","Accueil chaleureux , service rapide , plats délicieux , bon rapport qualité-prix , convivialité rare ! Tout est réuni pour rendre hommage à Etienne et son équipe . 
Nous vous recommandons cette belle adresse où l'on se sent si bien !"
12,juil. 2019,"5,0","en visite au parc de la Tete d'or , nous sommes venus dejeuner au Coq en pate qui se trouve a proximité de l'entrée des serres , en ayant pris soin de reserver ; menu avec des produits frais et donc qui change chaque jour en fonction des arrivages , plats copieux ; tres bon rapport qualité / prix surtout dans ce secteur tres touristique ;accueil excellent et serveuse souriante et efficace ; aucune attente et pourtant c'était complet ; on garde cette adresse pour une prochaine visite"
13,juil. 2019,"5,0","Petit restaurant où la carte est très restreinte mais c'est avant tout ce qui garantit la fraîcheur des plats donc on apprécie !
Service agréable, cuisine de qualité, prix correct. A tester!"
14,mai 2019,"5,0","Un vrai plaisir de déjeuner au Coq en pâte , carte courte qui garantit la fraicheur, de bonnes salades, la bonne humeur au RDV "
15,mai 2019,"5,0","Un service efficace attentionné et soigné. Un sourire dans une journée 
À ne pas louper dans le 6eme de Lyon"
16,janv. 2019,"5,0","Tout Y est bon, frais, une pointe d'originalité,  copieux, un service aux petits soins, que demander de plus ?
Sans réservation,  oubliez !! Cette petite adresse est très prisée des aficionados ;-)"
17,févr. 2019,"5,0","Un lieu sympa, des plats variés et une équipe au top ! Bref, tous les ingrédients d'un lieu où l'on a envie de revenir :-)"
18,juil. 2018,"4,0","En premier lieu il y a l'accueil sympathique de Céline et Etienne, puis il y a les très bons plats bien préparés par le chef Sylvain et son compère Vivien.
Ambiance décontractée et conviviale, service rapide pour les pressés.
Cuisine faite maison, de bon goût, simple mais avec de la recherche, et avec en prime le petit pousse café offert par le patron à la fin du repas.Carte, plats du jour et formules pour toutes les bourses.
En définitive il faut y venir et y revenir..."
19,oct. 2018,"5,0","Je voudrais manger plus souvent dans ce genre de resto ou les patrons sont super sympa, souriant et vous servent un repas de qualité. Un vrai plaisir et vue que la salle est pleine je comprends mieux. 
A faire et à refaire sans hésiter! "
20,août 2018,"4,0","cuisine fine , plats savoureux  patrons et patronnes charmants , sans oublier le ""colonel "" au service le matin !"
21,févr. 2018,"5,0","Excellent, rapide et sympathique. 
Très bonne adresse je recommande. 
L'accueil est chaleureux c'est appréciable.
"
22,févr. 2018,"4,0","Une salle simple et bondée : c’est bon signe
Un service rapide et efficace : cela se confirme
Une cuisine simple et bonne : on se fait donc plaisir avec les desserts 
Une addition légère : c’est bien agréable "
23,janv. 2018,"5,0",Très convivial ! Les produits sont frais et la cuisine est bonne. L'accueil est sympathique et le service est efficace. Le rapport qualité / prix est excellent pour ce restaurant. J'y retournerai sans hésiter. 
24,oct. 2017,"5,0","restaurant à l'ambiance très agréable, on y mange bien pour un super rapport qualité/prix.
j'y retournerai avec plaisir."
25,sept. 2017,"4,0","Très belle découverte.
Cadre et service très agréables.
Excellente cuisine avec des plats du jour délicieux. 
"
26,sept. 2017,"5,0","C'est simple, c'est efficace, c'est bon..... Voilà un rapport qualité prix parfait.  Un accueil super sympa, c'est un endroit ou on sait vous mettre à l'aise, vous parler, blaguer mais aussi vous laisser au calme quand vous en avez besoin. L'attention est toujours là, il ne manque jamais de pain sur la table, jamais d'eau et l'attention est au top.
Un peu de philosophie pour agrémenter des plats simples mais reussis et savoureux.
Ne passez pas à coté, c'est une valeur sure, un bon moment garanti pour un budget mini."
27,sept. 2017,"5,0","Un superbe accueil très chaleureux, tout de suite on se sent bien.

Étienne en chef de rang, Céline au service, Sylvain aux fourneaux, le ""colonel"" en guest star, une équipe bien huilée.

La terrine maison, les ravioles, et bien d'autres, sans oublier la mousse aux deux citrons et les autres desserts faits maison.

Un goût de reviens-y, que se soit en famille, entres amis, ou pour le travail.

Un plaisir."
28,août 2017,"4,0","Terrasse sympa
Décoration intérieure classique mais chaleureuse 
Super Accueil et bon service
Plats simples mais bien exécutés et copieux, une pointe d'originalité 
Bon rapport qualité prix"
29,juin 2017,"5,0","Des produits frais bien cuisinés. Un service rapide et une ambiance très conviviale.
Un très bon rapport qualité-prix"
30,mai 2017,"4,0","Ambiance bistro de quartier à deux pas du parc de la Tête d'or, il y a une belle dynamique dans cet établissement, le service est efficace et les prix très convenables. formule/plat du jour. La cuisine est bonne mais les quantités n'ont pas repus nos appétits. Le petit geste du patron au moment de payer : le petit digeo qui fait du bien. Nous recommandons bien sur"
31,mars 2017,"4,0","Accueil très sympa des serveurs, menu Coq parfait, rapport qualité/prix excellent et service rapide, idéal pour bien se restaurer sans perdre de temps et dans une bonne ambiance. La petite liqueur douce offerte à la caisse au départ est délicieuse ! Vin au verre parfait."
