,Date,Notes,Commentaires
0,oct. 2024,"5,0","Une expérience exceptionnelle! Le chef est extrêmement sympathique, il fait une fusion avec des ingrédients très recherchés. Définitivement les meilleurs ravioles aux fromages de la ville (une de ses créations). Tous les plats étaient plus qu’excellents. Je recommande très fortement de manger dans ce restaurant autant pour l’ambiance, le service que la nourriture. Un incontournable de la croix rousse pour nous !"
1,oct. 2023,"2,0","Une heure d attente pour le premièr plat et une d attente pour le 2eme. 
Café servi avant le dessert
Du grand n importe quoi."
2,juil. 2023,"5,0","Dîner du 3 juillet 2023 .Un accueil sympathique et agréable, un service parfait. Une cuisine  simple, mais inventive, de qualité, qui enchante les papilles."
3,juin 2023,"5,0","Nous avons passé une soirée mémorable entre amis au restaurant, et nous y sommes revenus grâce aux recommandations enthousiastes. La nourriture était délicieuse, mais le Gyoza au canard et le Rosty à la patate douce méritent une mention spéciale. Les saveurs étaient excellentes et les plats étaient préparés avec savoir-faire. Un endroit incontournable pour les amateurs de bonne cuisine."
4,mai 2023,"5,0","Au hasard un dimanche  midi de découverte de Lyon.
Carte ultra simple 3 entrées 3 plats et 3 desserts mais ultra fraîche et saine : le gras  est absent.
Un seul mot pour définir : le goût !
Le poulet au jus miel gingembre et juste incroyable. On voudrait la recette du jus !!
L'agneau confit se déchire à la fourchette un bonheur.
On habiterait Lyon, ce serait notre cantine !

"
5,avr. 2023,"5,0",Agréable déco et situation.  Equipe nouvelle accueillante et dynamique. Cuisine actuelle tout au long d'une carte et de menus alléchants. .Plats du jour d'un très  bon rapport qualité prix. Tout est gourmand dans de belles alliance de saveurs.
6,avr. 2023,"5,0","Super accueil ! 
Conseils pertinents pour les plats et les vins !
Service efficace et personnel très souriant  ..."
7,avr. 2023,"4,0","Une bonne surprise ce bistrot que nous fréquentions pour la première fois. Le jeune patron nous a accueillies de manière très chaleureuse. La carte réduite laissait présager une cuisine de produit frais et nous n'avons pas été déçues.
L'agneau de 7 heures était juste parfait. 
Service attentionné
Cuisine appréciée
Ambiance chaleureuse
Une soirée copines réussie, que demander de plus?
A bientôt 

PS au patron : bravo pour les squats !!"
8,févr. 2023,"1,0","Nous avions l’habitude de venir au Bistrot Orcia ( avant le changement de propriétaire),
tout était super, parfait et raffiné.
Accueil détestable, service très très moyens, cuisines fade et mal dressés… 

Plus de 40 min d’attente entre une entrée et un plat, aucun excuse de la part de la personne en salle…

C’est honteux nous je reviendrons pas ! Fuyez !"
9,déc. 2022,"1,0","Très grosse déception. Nous sommes arrivés à 13h et il a fallu presque 30 minutes pour que l'on puisse juste passer la commande. On nous annonce alors que plusieurs plats ne sont plus disponibles (burgers et camemberts rôtis...!!). Après plus d'une heure d'attente, nous avons eu nos entrées, assez quelconques (soupe à l'oignon avec plus de gruyère râpé que de soupe, gravelax très moyen). Quarante minutes plus tard, nous avons capitulé et sommes partis sans attendre nos plats, le serveur ne savait même pas nous dire quand ils arriveraient. Il y a visiblement une animosité très forte entre le personnel sa salle et la cuisine. Et jamais une seule excuse de la personne qui gérait la salle, visiblement excédée. A fuir de toute urgence."
