,Date,Notes,Commentaires
0,déc. 2024,"5,0","N'en déplaise au petit chaperon rouge chasseur d'étoiles, la Maison Bocuse reste un monument . Pour preuve ce jour, un jour pas comme un autre, nous sommes entrés chez Monsieur Paul comme on entre dans un lieu sacré. Nous n'avons pas été déçus de notre déjeuner , tout en finesse et dont les superlatifs sur la qualité culinaire se ramassent à la pelle... Un grand moment de communion avec un personnel dévoué à la cause bocusienne, celle qui fait la rareté d'un lieu ou la convivialité rime avec l'esprit du lieu , celui de Monsieur Paul. Le décor est dans la tradition des grandes maisons bourgeoises  ou il était inutile d'en dévoiler tous les secrets  tant chaque objet nous murmurait  son histoire ... N'en déplaise au petit chaperon rouge avaleur d'étoile, la constellation Bocuse est éternelle."
1,déc. 2024,"5,0","Nous avons eu la chance de tester le menu du centenaire. Tout était parfait, cela nous a permis de goûter aux grands classiques: soupe VGE, volaille en vessie… tant au niveau du service que des assiettes nous a plu. Je pense qu’il faut essayer ce restaurant au moins une fois dans sa vie."
2,nov. 2024,"5,0","Une soirée inoubliable dans un lieu magique où se mêlent raffinement,prestige,professionnalisme.
Quelle féerie pour les yeux et les papilles,quelle expérience gustative inoubliable!!!
Merci infiniment pour ce moment divin et incroyable."
3,oct. 2024,"5,0","Magnifique, splendide, merveilleux, féerique.
L’accueil, la décoration, l’atmosphère, la gentillesse, les compétences, le service et la succulence des mets.
Monsieur Paul appartient à la légende après Antonin Carême et Auguste Escoffier. Il n’a pas fait la cuisine, il l’a inventée. Et quand le Bibendum lui a retiré une étoile , il n’a pas commis une erreur, il s’est crevé un pneu.
Car BOCUSE N’a pas besoin du Michelin, c’est le livre rouge qui a besoin d’établissements comme à Collonge pour se vendre !!!
Car, les vrais gourmets, eux sont fidèles à la cuisine traditionnelle, la vraie, loin des inventions médiatiques et incongrues de TopChef. Chez Bocuse, on flatte la papille  avant la pupille. 
On peut sublimer  un plat avec les nouvelles techniques , mais on ne le REVISITE * pas comme certains originaux !!!!!  * Mot que j’abhorre ! Bocuse c’est un style, certains autres suivent la mode, qui ne dure pas longtemps, ( moléculaire, basse température , végétarienne, végane 😊 )
La Maison Bocuse est comme la Mecque, on se doit d’y aller en pèlerinage , humblement, mais correctement vêtu, car le jean et le T-shirt, ici,  sont irrespectueux envers tous ceux qui  œuvrent pour votre plaisir.
Un repas chez Monsieur Paul : des heures de mise en place, d’élaboration précise, un instant  de régal gustatif, et un souvenir impérissable toute votre vie.
Je n’écoute ce que m’annonce le maître d’hôtel, je ferme plutôt les yeux et j’essaie de reconnaître  l’alchimie sur la langue, c’est plus subtil .😊
Alors cassez même votre tirelire une fois, mais allez y !!!"
4,nov. 2024,"2,0","Déception : pressé de foie gras sans goût de foie gras par contre goût de sucre accompagné d’une brioche au sucre ! Où est passée la délicieuse brioche feuilletée accompagnée de vrai foie gras comme à Fond Rose ou à L’Ouest…Un insert au goût de homard qui s’appelle quenelle ???? Si nous souhaitions déjeuner à la carte ou menu à 300 euros, impossible car il faut être 2 convives sur un même plat. Fromage comme à la maison, bons desserts.
Les Brasseries sont meilleures."
5,nov. 2024,"4,0","Restaurant superbe , personnel au top, service irréprochable .

Au menu à 225€ entre le pressé de foie gras  et les quenelles de sandres au homard c'et très  léger et pas spécialement gouteux , on cherche le homard !!

plateau de fromages excellent et les desserts préparés devant nous aussi

Bien sûr il y a des petites gourmandises qui meublent le menu

C'est très cher mais ça se comprend car il y a cent employés  et environ
80 repas le midi et 80 le soir

On voulait fêter quelque chose, c'est le principal."
6,juil. 2024,"5,0","Bel endroit convivial
La nourriture était savoureuse 
Très belle présentation de l’assiette 
Personnel agréable et serviable"
7,nov. 2024,"5,0",le paradis sur terre fabuleux personnel tres sympa tous les  plats sont excellent pour ma part le rouget en ecaille de pomme de terre et la volaille aux morilles. il faut vite leurs rendre la 3e etoile merci a tous ( des gourmets de la drome)
8,nov. 2024,"5,0","Cuisine excellente, cadre authentique, véritable image de la cuisine gastronomique française ! 
Les serveurs sont très professionnels et savent s'adapter aux clients, ils mettent à l'aise et répondent à nos questions ! 
Bravo aux chefs ! "
9,nov. 2024,"5,0","Contrairement à Alice , nous n'avons pas eu besoin de croquer dans un biscuit magique pour pouvoir entrer dans ce palais de la gastronomie Française, mais tout comme elle, nous nous sommes laissés guider avec ravissement  par tous les magiciens qui nous on somptueusement accueillis, installés à notre table et servis avec élégance, courtoisie et raffinement. Du plus petit amuse-bouche jusqu'au dessert final tout a été succulent et superbement bien présenté. U n grand merci pour le geste en rapport avec notre anniversaire de mariage ainsi qu'à Monsieur Foreste, chef de rang qui a pris le temps de nous faire découvrir les cuisines et la cave (petit geste de sa part mais grandiose à nos yeux). Tous nos remerciements au chef Reinhardt ainsi qu'à tout le personnel. Une chose est sûre! nous reviendrons vite.."
10,oct. 2024,"5,0","Les plats sont des œuvres d'art, préparés avec des produits de la plus haute qualité. Les classiques de la maison, comme la soupe aux truffes VGE ou la volaille de Bresse en vessie, sont toujours aussi appréciés."
11,oct. 2024,"5,0","Que dire de plus que absolument merveilleux…

Encore une fois, nous avons été reçu comme des rois dans cette magnifique maison 

C’était une grande première pour ma famille, et ils s’en souviendront toute leur vie …

Merci à toute l’équipe. Nous revenons dans quelques semaines."
12,oct. 2024,"5,0","Du rêve à la réalité, quel expérience merveilleuse, depuis la gentillesse à l'accueil à la découverte d'une des salle à manger. C'est somptueux, c'est délicieux et inoubliable. Un très grand merci à notre maître d'hôtel Joseph. La perfection existe et nous avons pu l'approcher. Une fois dans sa vie c'est une expérience qu'il faut essayer de s'offrir. Merci à toute la brigade et merci à ces 2 MOF qui subliment les plats. Sans oublier le somptueux guéridon des desserts d'où l'on voudrait tout goûter. Le chef pâtissier qui a mis au point ces merveilles est également à féliciter très chaleureusement. Bravo et merci."
13,sept. 2024,"5,0","Pour moi, cela reste vraiment un endroit magique 
Tout est parfait
De la réception au repas, vraiment trop top 
Certains 3 étoiles devraient prendre modèle….!!!!"
14,oct. 2024,"3,0","Nous sommes clients de cet établissement depuis de nombreuses années,Nous sommes venus hier avec mon mari pour son anniversaire,nous avons pris le menu du centenaire,la poularde en vessie a été très bien découpée,mais à notre grande surprise il n’y avait que du blanc nous n’avons pas eu ni ailes ni cuisses cette poularde était pour deux personnes,pourquoi tout le reste a été ramené en cuisine ?nous avons fait une vidéo et nous demandons des explications"
15,sept. 2024,"5,0","Un agréable voyage culinaire dans cette belle maison de la gastronomie.
La cuisine est raffinée et d'une grande beauté dans les assiettes, chaque assiette étant préparée avec passion.
Un excellent compromis entre modernité et tradition.

Accueil chaleureux et service bienveillant tout en restant décontracté. Un merci tout particulier à Geoffray qui a répondu à toutes nos attentes par sa délicate attention.
La salle des portraits très harmonieuse et intimiste a su garder un peu de l'esprit d'un autre temps ; c'est elle qui nous a accueillis.

Nous sommes sortis comblés et souriants.
Merci."
16,août 2024,"5,0","Et bien, Bocuse sans Bocuse reste un très bon restaurant.
Nous avons pris le menu bourgeois avec le Bar pour madame et moi. Feuilleté renversant et on aimerait avoir 3 estomacs .. 
Homard, rouget, pré entrée, pré dessert : TOP.
Chariot de dessert un peu convenu et peu créatif 
Nous attribuons donc 2 étoiles Michelin et demi .
Service TOP + visite du chef + menu/carte souvenir : parfait.

Seule petite fausse note : le groom rouge à l'ancienne"
17,sept. 2024,"3,0","Si vous aimez manger en regardant des publicités en boucles sur 5 écrans géants, c'est l'endroit idéal. Quel gâchis d'associer le nom de Paul Bocuse à ce type de partenariat pour gagner quelques sous"
