,Date,Notes,Commentaires
0,déc. 2024,"5,0","Comme toujours, nous avons été totalement comblés par cette belle brasserie, la disponibilité et le professionnalisme du personnel, la qualité des plats qui nous ont été proposés.
Nous sommes toujours satisfaits dans cet établissement Bocuse.
Merci à tous."
1,déc. 2024,"2,0",Nous avons été très déçu nous avons commandé des nems aux gambas et ce n'était pas bon du tout pas fait maison    très gras et au prix de 24.50eurles 4  alors qu'elles ont été acheté toute faite Nous n'avons pas voulu prendre le plat principal avons terminé par un dessert Nous n'y retournerons plus jamais
2,nov. 2024,"5,0","Nous sommes venu un soir en semaine et tout était parfait du début à la fin.
Le service est au petit soin et dans le détail 
La cuisine du chef est excellente et les plats sont bien garnis, nous avons très bien manger.
À faire et à refaire"
3,nov. 2024,"5,0","Le menu à 54€ était délicieux et copieux, pour fêter un anniversaire !
Un samedi soir où le restaurant était complet avec un service impeccable.
Un bel établissement parfaitement géré par Laurent et ses équipes, dans une ambiance « brasserie »conviviale et joyeuse.
Merci pour cette belle soirée !"
4,nov. 2024,"5,0","Endroit exceptionnel,  personnel très à l'écoute,  mets délicieux et bien présentés.  Seul bémol,  on sent qu'il faut libérer la table rapidement."
5,nov. 2024,"5,0","Un beau décor pour cette brasserie, un accueil chaleureux, menu à 54 euros, le foie gras est à tomber avec son petit pain, la daurade est très bien assaisonnée l'accompagnement est bon mais un peu plus serait mieux et la tarte au chocolat est légère. "
6,oct. 2024,"4,0","Un dimanche en famille en toute tranquillité. 
Menu parfait pour le déjeuner.  Des desserts à la carte pour se faire plaisir.  
Mentions spéciales pour le baba au rhum bien arrosé et pour la part de vacherin gigantesque"
7,nov. 2024,"2,0","Bien évidemment, le repas n'était pas médiocre... mais je n'apprécie vraiment pas d'être pris pour un pigeon.
J'ai commandé une entrecôte saignante, à 34€ tout de même !
On m'apporte une pièce de viande qui n'a pas du tout l'aspect d'une entrecôte, et qui après plusieurs coups de couteau, n'est pas vraiment tendre. Même si elle restait relativement mangeable, j'ai connu nettement meilleure et ne l'ai pas appréciée. 
Quand le serveur passe pour débarrasser, il me dégaine la plus banale des phrases pour savoir si ça a été. Je lui demande si je peux être honnête, puis lui annonce ma déception sur la qualité de la viande, et finis en lui disant que c'était clairement un faux-filet et non une entrecôte...
Là où c'est inacceptable et la raison pour laquelle je n'ai mis que 2/5, c'est qu'il me répond que je ne suis pas le 1er à dire ça... puis me dit ""désolé, vraiment désolé"" d'une manière mielleuse et sournoise... tout en m'encaissant les 34€.
Aucune considération ni geste commercial. 
J'ai bien compris qu'ils avaient l'habitude de fourrer la dinde, mais j'ai réalisé que les bons pigeons aussi !"
8,nov. 2024,"3,0","Une salade césar loin d'être la meilleure de ma vie, mais probablement dans les plus chères. 
Pendant mon repas, l'un des cuisiniers préparait des salades avec du saumon fumé en garniture, qui avaient sûrement été commandées en avance. Ces salades sont restées 1h sur le plan de travail avant d'être servies à table. Le cuisinier s'est goinfré du saumon restant, en mettent ses doigts gantés dans sa bouche... qu'il n'a pas nettoyés par la suite.
Utiliser la renommée de BOCUSE pour un restaurant où il n'y a que des apprentis qui ne sont pas ""encore"" à la hauteur, déshonore l'Homme qu'il était et le renvoie à un simple produit marketing !"
9,nov. 2024,"5,0","Reservation rapide et sympathique. Un accueil chaleureux qui vous met en confiance. 
Un menu et une carte avec d’excellents produits. 
Un service de très bonne qualité avec un personnel en salle très sympathique. 
Le menu gourmand est excellent. De l’apéro au café aucune fausse note. 
En résumé on a envie de revenir."
10,oct. 2024,"3,0","Nous avons retrouvé cet endroit après deux ans d’absence. La déception est grande. Nous nous sommes retrouvés dans un coin très froid, les plats n’étaient pas à la hauteur de la réputation par rapport ex un aïoli réduit au strict minimum). Le vin commandé initialement n’était pas en cave. On nous en a proposé un autre beaucoup plus cher. Finalement, le vin demandé était bien présent… Serveur et serveuse, très souriants ,certes, mais la table n’a pas été, nettoyée entre les plats et les desserts… quelle baisse importante du rapport qualité prix…"
11,oct. 2024,"3,0","Première expérience à la Brasserie de l’Ouest, qui se trouve en bord de Saône - quartier de l’Industrie à Vaise.  La salle à manger est impressionnante. Le style est contemporain, avec du bois et du métal, plutôt une ambiance industrielle. C’est rapidement très bruyant. Son plus, c’est l’immense cuisine ouverte offrant un spectacle unique sur les Chefs et leur équipe en action! Après une réservation pourtant faite bien à l’avance, nous sommes arrivés en soirée un début de semaine! Il n’y avait personne à l’accueil… d’autres couples attendaient depuis un bon moment déjà… le chef de rang stressé est enfin arrivé et nous a accompagnés à une table près de la desserte de service. Apparemment la table réservée à l’avance près des fenêtres ayant été attribuée à d’autres clients…cela ne nous convenait pas du tout… Une table haute près de la cuisine étant libre, nous avons demandé s’il était possible de s’y installer… ok! Du côté de la carte des mets, divers plats traditionnels de brasserie. Un menu du Marché à choix! Nous avons opté pour cette formule! En entrée, un œuf poché en Meurette. En plat principal, une volaille fermière, sauce crémée, feuilles de salade verte, un genre de petites pâtes. La sauce n’était pas assez onctueuse. Les pâtes étaient sans goût. En dessert, la pâtisserie du jour, une simple tarte aux quetsches. La bouteille de vin rouge demandée, n’étant plus disponible, nous avons choisi une autre bouteille de vin rouge, qui n’était pas top, le vin étant quelque peu pétillant! Le café est servi avec un chocolat. Un service perfectible. Nous n’avons pas été aussi ravis que lors de notre dernier passage à la Brasserie de l’Est!"
12,sept. 2024,"5,0","Comme toujours la nourriture était délicieuse, le personnel à notre écoute, le cadre est magnifique. 
Nous passons toujours d’excellents moments dans cet établissement.
Merci"
13,oct. 2024,"3,0","Dans un cadre sympathique , mais plutôt bruyant,  un déjeuner de brasserie  = plats simples servis rapidement,  mais entrée glacée et bavette tiède 
Parking souterrain très pratique et gratuit 
On paye le nom Bocuse pour une cuisine banale"
14,oct. 2024,"5,0","Nous avons eu la chance de déjeuner à la Brasserie de l’Ouest, et ce fut un moment exceptionnel ! Dès notre arrivée, Marie à l’accueil nous a reçu avec une gentillesse et un professionnalisme remarquables, faisant en sorte que nous nous sentions immédiatement à l’aise.

Le repas, orchestré par le chef Christian Lherm, a été tout simplement divin. Nous étions 9 convives et chacun d’entre nous a été enchanté par la qualité des plats, la justesse des saveurs et la présentation raffinée. Du début à la fin, chaque assiette était un véritable régal.

Un immense merci pour cette expérience exceptionnelle. Leur savoir-faire et leur attention aux détails ont transformé ce repas en un souvenir inoubliable. Nous ne manquerons pas de recommander cet endroit à nos proches et espérons revenir très bientôt !"
15,sept. 2024,"2,0",Un déjeuner gâché par les publicité incessantes diffusées en boucle sur 5 écran géants pile au dessus des cuisines. Peut on associer Paul Bocuse a un artisan carreleur pisciniste ou un garage automobile ? Comment sont ils tombés aussi bas pour chercher à faire des profits sur un tel partenariat publicitaire ?
16,sept. 2024,"5,0","Nous avons dîner en couple dans cette brasserie Bocuse. Merci au chef Lherm pour sa cuisine et son professionnalisme. Le repas etait très bon et très bien présenté.

Merci à Maryline pour sa bienveillance tout au long du repas et à Anthony qui a su nous conseiller sur le vin.

Nous avons passé une très belle et agréable soirée en amoureux."
17,sept. 2024,"5,0","Notre expérience à la Brasserie de l'Ouest a été tout simplement remarquable. Dès notre arrivée, nous avons été accueillis avec une attention toute particulière par Kylian et Melvyn, dont la bienveillance, le professionnalisme et l'enthousiasme ont véritablement marqué notre passage. Leur accueil chaleureux, combiné à leur souci du détail, a fait de cette journée un moment privilégié.

Kylian, avec son sourire communicatif et son sens de l’hospitalité, nous a immédiatement mis à l'aise, tandis que Melvyn a su nous accompagner avec un service fluide, impeccable et toujours attentif à nos moindres besoins. Chaque interaction témoignait d’une volonté sincère de rendre notre visite des plus agréables.

Le cadre sophistiqué et la convivialité ambiante ont renforcé cette expérience exceptionnelle, et nous avons été ravis de découvrir un établissement où l’art du service client atteint un niveau d’excellence si rare. Nous repartons avec l’envie certaine de revenir pour revivre cette expérience inoubliable. Un grand merci à Kylian et Melvyn pour leur remarquable prestation, qui a su sublimer ce moment."
18,sept. 2024,"5,0",Un grand merci à Chef Lherm et son équipe de nous avoir reçu chaleureusement dans leur belle brasserie. Le service et les assiettes étaient parfaits. Nous avons passé un superbe moment.
19,sept. 2024,"5,0","J’ai passé une agréable soirée à la Brasserie de l’Ouest, qui offre un cadre chaleureux. 

Le service fut impeccable, un personnel à l’écoute, et toujours souriant. 
Côté cuisine, la qualité est toujours au rendez-vous, les produits sont frais, et la présentation est soignée. 

C’est sans hésiter que je vous recommande cette Brasserie Bocuse !"
20,sept. 2024,"4,0","Repas de retrouvaille entre amis , le personnel est très compétent et sympathique, les plats sont gourmands et le cadre est superbe en bord de Loire , seul bémol les moustiques en cette saison ."
21,sept. 2024,"5,0","Un diner incroyable chez l’ouest Le Chef Christian et son équipe 
Marie à la salle 
Un service impeccable et une ambiance parfaite en face de la Cuisine.
Une très bonne cuisine Française Classique Savoureuse.

Merci à vous"
22,sept. 2024,"3,0","L endroit est superbe. Les serveurs très bien. L'apérol ""le sprizz"" des glaçons des glaçons des glaçons aucun goût 12 euros quand même. Par contre le plat était très bon et le vin aussi. 
Le rapport qualité prix est moyen on paye le nom de Bocuse mais l endroit est tout de même agréable."
23,sept. 2024,"4,0","Une mention speciale à Marie (serveuse chic et efficace avec un foulard elegant). Elle est gracieuse, énergique, efficace, professionelle et enthousiaste."
24,août 2024,"5,0","Top! Top! Top!
Accueillant, souriant, compétent!
Bravo et merci pour ce déjeuner en famille.
Rien à redire. 
Le cadre et le service : bravo! 
Et dans l’assiette? Merci chef. Présentation, goût, quantité : parfait

Un petit plus supplémentaire pendant ce temps ma voiture se rechargeait dans leur garage…."
25,août 2024,"5,0","Très bonne découverte culinaire, nourriture et alcool de prestige. l’attention et le professionnalisme porté par notre serveur se prénommant Kilyan était fort appréciable. Il nous a plus que donné envie de revenir. Et sa gentillesse naturelle et son dévouement est d’une grande rareté même dans la capitale de la gastronomie mondiale qu’est Lyon. Encore un grand merci à Kilyan et tout l’équipe qui l’accompagne et c’est avec grand plaisir que je vous dit à très vite !"
26,août 2024,"2,0",Médiocre … menu julienne peu cuite dessert profiteroles sortis du congélateur idem pour les crêpes … sorbets fondus … ils ont osé !!!!
