,Date,Notes,Commentaires
0,nov. 2024,"5,0","Personnel bosseur très sympa, service impeccable
œuf meurette très bon  en entrée ; quenelle très bonne et bien chaude ; cervelle de canut très fraîche et goûteuse ; mousse au chocolat très bonne ; café exceptionnel"
1,déc. 2024,"5,0","Nous avons passé un excellent moment dans ce restaurant typique et plein de charme à proximité de l'hôtel de ville.
Nous nous sommes régalé de bonnes spécialités lyonnaises: oeufs meurette, quenelle de brochet, andouillette à la fraise de veau, tarte aux pralines... Tout était excellent.
Avec en plus un super accueil du patron avec lequel nous avons beaucoup ri.
A faire et à refaire !"
2,déc. 2024,"5,0","C est un vrai bouchon lyonnais : carte, ambiance, service, lieu, délice des plats et vins....
Merveilleux moment
Merci"
3,déc. 2024,"5,0","Nous avons déjeuné dans ce restaurant sympathique à l'occasion de mon anniversaire, le 4 décembre exactement. Je ne dirai pas le chiffre, mais il est élevé. L'accueil fut chaleureux, à la hauteur et même plus, des nombreux commentaires que nous avions pu lire ici même. 
Ayant commandé un verre de Viognier, j'ai particulièrement apprécié qu'Éric, le patron, me présente la bouteille et me serve mon verre à table. L'attention est suffisamment rare pour être soulignée. De plus, ce vin était excellent et j'en ai même commandé un deuxième!
Côté plats, pas de surprise: œufs meurettes, salade lyonnaise, quenelle et poulet à l'ail nous ont régalés. Mention spéciale au dessert: la tarte praline avec sa boule de glace vanille est vraiment délicieuse. 
Délicate attention: le dessert était accompagné d'un petit verre de digestif en l'honneur de mon anniversaire. 
Merci Éric, nous reviendrons.
Signé: Jeannine et Daniel"
4,nov. 2024,"5,0",Merci pour ce bon moment ! Une belle découverte pour un bouchon typique et une cuisine de grand mère familiale. Merci beaucoup !
5,nov. 2024,"5,0","L'équipe sait vraiment mettre à l'aise les convives et créer une ambiance chaleureuse. Les plats sont un hommage à la tradition. Chaque bouchée est emplie de saveurs, impossible de ne pas terminer son assiette en sauçant. Chacun des plats évoque des souvenirs d'enfance, comme si l'on retrouvait les goûts de nos repas de famille. Même les assiettes, avec leur charme rétro, ajoutent une touche de nostalgie, et tout ici semble raconter une histoire. C'est une expérience qui mêle goût, mémoire et convivialité, le tout dans une atmosphère agréable et authentique. Nous reviendrons avec grand plaisir !"
6,nov. 2024,"5,0",Le repas est à la hauteur de l’accueil et de l’ambiance. Nous nous sommes régalés et y sommes retournés le lendemain. Nous recommandons vivement !
7,nov. 2024,"5,0","Une super adresse ! De passage à Lyon, on a profité d'un déjeuner avec entrée/plat/dessert, l'accueil est chaleureux, l'équipe est au top, ça fait vraiment plaisir de prendre le temps d'échanger avec les propriétaires. La cuisine est simple et délicieuse, la déco match avec l'ambiance de l'endroit, nous ne manquerons pas d'en parler autour de nous et nous reviendrons avec grand plaisir ! Merci pour votre accueil, les sauceurs de La Rochelle ⚓"
8,nov. 2024,"5,0","L'accueil est chaleureux, le décor charmant, les plats délicieux... Que demander de plus, sinon le plaisir d'y revenir ?"
9,nov. 2024,"5,0","Excellent moment au Casse-Museau! Chaque plat nous a régalés, de l'entrée au dessert, et tout ça dans une ambiance décontractée! Allez y sans hésitation! Nous ne manquerons pas de revenir lors de notre prochain passage à Lyon🙂.
Mention spéciale pour la photo avec le drône!😅"
10,nov. 2024,"5,0","Nous sommes allés au Casse Museau sur les conseils d’une amie et vraiment, quel bon choix.
Typique bouchon lyonnais. L’accueil, la qualité des plats nous ont fait passer une excellente soirée
Vous pouvez y aller les yeux fermés"
11,oct. 2024,"5,0","Un très sympathique bouchon lyonnais.
Rapport qualité prix vraiment intéressant.
Je n'oublierai pas l'adresse lors d'un prochain passage à Lyon !"
12,nov. 2024,"5,0","Exceptionnel tant pour la gentillesse,l'accueil et la qualité des mets!
Promis la prochaine fois je testerai les quenelles !!!
Merci pour cette belle soirée !"
13,nov. 2024,"5,0","Nous avons dîné le jeudi 6 novembre dans ce bouchon lyonnais du centre ville. Nous avons apprécié la cordialité de l’accueil , l’humour du patron et la table aux plats simples , mais goûteux.  
Cet établissement vaut surtout pour son ambiance authentique , joviale et la qualité d’un service particulièrement attentionné.  Il y avait un anniversaire ce soir là avec un groupe un peu bruyant mais le patron a eu la gentillesse de nous changer de table au dessert pour trouver une alcôve moins exposée. Maintenant , la convivialité est de mise ici. 
Il est prudent de réserver car le restaurant ne comporte que 42 couverts et l’adresse est recherchée."
14,nov. 2024,"5,0",Bouchon lyonnais typique - cadre charmant.  Cuisine excellente - produits frais. Service très sympathique au top. Nous reviendrons.
15,oct. 2024,"5,0","Voilà un bouchon lyonnais dans la plus pure tradition. Serviettes à carreaux, rideaux au crochet,assiettes anciennes.Vous y êtes,comme chez votre grand mère, en l'occurrence chez tante Paulette. Des plats typiques,goûteux, très (voire trop) copieux. Un service impeccable et joviale. Bref,un vrai moment de bonheur en famille. N'hésitez pas une seule seconde à y entrer."
16,oct. 2024,"5,0","Ah quel bel endroit!!! Les plats étaient délicieux.
Les serveurs étaient au top!!! Très aimables, disponibles et d’une sympathie que j’ai rarement vu. De plus toutes les tables étaient prises, ils avaient donc beaucoup à faire, mais ils étaient là pour conseiller chaque table et échanger quelques mots.
Un véritable « Bouchon » comme ont les aiment.
Vous nous avez fait passer une magnifique soirée. Merci beaucoup"
17,oct. 2024,"5,0","Super déjeuner ,c était tellement bon que nous y sommes revenus …excellent accueil et présentation des plats et de la région .
Séverine et stephane"
18,oct. 2024,"5,0","Quel bel endroit typique
Un régal de l'accueil jusqu'aux papilles
Des produits locaux bien préparés 
Le pot servi à l'ancienne"
19,oct. 2024,"5,0","Exceptionnel ! Le Casse Museau est un bouchon lyonnais typique avec une ambiance authentique et un accueil extraordinaire. Chaque plat est un régal pour les papilles, on sent vraiment l’amour de la cuisine lyonnaise traditionnelle. Je recommande ce restaurant à 100 % pour tous les amateurs de bonne cuisine et de convivialité. C’est un passage incontournable si vous êtes de passage à Lyon ! Vous ne serez pas déçu."
20,oct. 2024,"5,0","Accueil chaleureux et avec beaucoup d’humour dans un cadre typique des bouchons. Lyonnais .

Le repas divin et réconfortant 
Nous avons passé une superbe soirée . N’hésitez pas un seul instant"
21,oct. 2024,"5,0","J’aurais volontiers mis une note supérieure à 5 tant le diner fût excellent.
Une vraie farandole de délectations pour nos palais avec les œufs meurette, la terrine de la maison, les quenelles et ce fameux et réputé poulet à l’ail accompagné de son gratin dauphinois…Le cadre est cosy et chaleureux et le tout est nimbé par la gentillesse, la délicatesse et l’humour de l’équipe. Superbe adresse à fréquenter sans aucune modération…."
22,oct. 2024,"5,0","Une excellente table Lyonnaise, un cadre charmant et un accueil très sympathique.
Les ris de veau sont à tomber ainsi que les quenelles dans la plus pure tradition Lyonnaise."
23,sept. 2024,"5,0","Nous cherchions à découvrir l’esprit « bouchon » et nous avons choisi le casse museau sur sa réputation ici. Nous n’avons pas été déçus. Accueil commercial, mais chaleureux, à l’écoute et jamais intrusif. Une carte au choix limité, prouvant une fois de plus que c’est la meilleure voie vers la qualité. Andouillette parfaite, goûteuse, gratin dauphinois qui fond dans la bouche… Un peu plus cher que d’autres, mais ça reste raisonnable et surtout merité"
24,sept. 2024,"5,0","Tout ce que l'on attend d'un Bouchon Lyonnais ! Accueil au top d'Eric et Fred, Humour et gentillesse, produits de qualité et généreux. Ambiance familiale et décontractée dans un cadre typique. Nous avons goûté: les œufs en meurette ;-), terrine maison, les ris de veau croustillant avec un bonne sauce aux morilles, la joue de porc confite en sauce parfaite, tarte tatin fondante et caramélisée à souhait, un bon vin de Vacqueyras. Menu à 38 € entrée, plat, fromage et dessert  Qualité/prix ! (Nous avons joué les ""Bodyguard"" pour Eric. SVP ne changez rien !!!"
25,août 2024,"5,0","C'est à la faveur d'un aller-retour dans la journée entre Fontainebleau et Villeurbanne que nous avons diné au Casse-Museau en famille le 30 août 2024.
Adapte de bonnes tables comme lui, j'avais laissé mon fils ainé choisir l'établissement en ne fixant qu'un mot d'ordre : une cuisine maison dans un lieu convivial.
Effectivement, le ""contrat"" a été rempli. Qu'il s'agisse de quenelle, d'andouillette de veau ou de ris de veau, tout était parfait et savoureux. Mention spéciale pour la garniture, un gratin dauphinois qui reste dans ma mémoire. Les tarifs des vins au verre sont corrects, le choix est simple mais s'accorde tout à fait à la cuisine proposée.
Mais au delà de l'aspect gastronomique, je souhaite souligner la qualité de service, l'amabilité du personnel et le sens de l'accueil d'Eric. Aucun doute, cette halte gourmande fera date. A titre indicatif, une addition à 170 € à quatre (boissons, plats, desserts).

AR Fontainebleau-Lyon"
26,sept. 2024,"5,0","Accueil au top, service tres sympathique et efficace.
Les plats sont délicieux, nous avons passé une excellente soirée.
Un grand merci à toute l’équipe."
27,sept. 2024,"5,0","Voilà un vrai bouchon!
Ambiance, cadre, plat, tout y est!
Quel bonheur de trouver des endroits comme celui ci encore à Lyon !
Ils sont rares alors merci de continuer à faire vivre l esprit de tante Paulette!
À très vite"
