,Date,Notes,Commentaires
0,nov. 2024,"5,0","Que dire de plus que : « exceptionnel » - du début à la fin ! Un service parfait ( tout nous fut expliqué clairement et rapidement au début nous permettant de faire un choix éclairé), puis nous avons été servis ni trop rapidement ni trop lentement. Les explosions de saveurs en bouche se sont succédé et nous sommes partis plutôt éblouis. Finalement on n’oublie pas le très bon rapport qualité /prix. À faire et à refaire!"
1,nov. 2024,"5,0","Un excellent restaurant ! Nous nous sommes régalés du début à la fin ! Un cadre moderne, un très bon accueil, chaleureux et agréable. Le service est au top et de bon conseil. Service efficace et rapide et surtout surtout une cuisine raffinée, de belles saveurs, des mariages subtiles !! À deux, nous avons goûté à  l’ensemble de la carte et ce fut un enchantement. Des plats délicieux, très bien présentés, chaque ingrédient a une saveur délicate qui s’associe harmonieusement aux autres. Le foie gras est délicieux ,le poisson fond dans la bouche et associé aux légumes, c’est tout simplement sublime, le sorbet clémentine un régal… À découvrir absolument !"
2,oct. 2024,"3,0","Assez decevant au final  decevant.  Bien essaye mais rate. Je ne recommande pas des gouts suprenants qui ne se marie pas.
Assez deplaisant au final"
3,août 2024,"5,0","Un très bon resto à la cuisine franco asiatique ! Les plats sont excellents, bien travailles avec d’excellentes saveurs ! Un service efficace pour couronner le tout et le repas fut très très agréable ! Bel établissement"
4,juil. 2024,"5,0","Nous avons adoré ce restaurant. Nous avons pris le menu en 6 services et l’accord de vins. Tout était bien pensé et réalisé, pas un faux pas. Je n’ai jamais mangé un foie gras aussi délicieux, comment est-ce possible ? :) 
La touche asiatique apportée aux plats a été très appréciée. Le service était parfait. 
Nous reviendrons sans problème."
5,juin 2024,"4,0","Avons passé un très bon moment.
Très bel endroit, avec une jolie décoration.
Personnel sympathique.
Avons pris le menu à 26 €.
Nous avons très mangé.
Nous y retournerons à l'occasion."
6,mai 2024,"5,0",Très bon rapport qualité / prix et service affable et efficace. C’était tout simplement délicieux avec plein de saveurs et des portions raisonnables. Signé les belges à vélo !
7,avr. 2024,"5,0","Je suis allée dans ce restaurant avec ma famille pour fêter mon anniversaire. Le service était impeccable, les plats très bons et le tarif plus que raisonnable pour la qualité (26 euros par personne pour entrée/plat/dessert). Nous avons très bien mangé c'était délicieux, et les enfants ont pu avoir un plat adapté. Le décor est magnifique. Les mots qui qualifient ce restaurant sont : raffiné et élégant."
8,mars 2024,"5,0","Menu de midi avec choix entre deux entrées et deux plats principaux, un dessert. Plats raffinés et excellents : belles présentations, petites touches japonaises. Se sont adaptés à une personne végétarienne avec gentillesse et elle a adoré ce qu’on lui a servi. Avons beaucoup aimé. Personnel très agréable et à l’écoute. Prix tout à fait corrects. Je recommande"
9,déc. 2023,"5,0","Un endroit très agréable pour déjeuner. Accueil très sympathique, très bon repas pour un prix raisonnable compte tenu de la qualité.
Je reviendrai et je recommande."
10,déc. 2023,"5,0","Tout était juste parfait ! L'accueil, le service ,les amuses-bouche,  les plats de l'entrée au dessert. Je ne connaissais pas cette adresse. Je reviendrai et je vais la conseiller à mes amis ."
