,Date,Notes,Commentaires
0,nov. 2024,"3,0",". Viande cuisson mal exécuter...
. Prix normal pour un endroit à la 
   mode 😉
. Service sympa fort jeune...
. 🍷 au top (  carte )
. Cadre sans plus 
. Manque de professionnalisme 
.  Les entrées sont top 

  MARC &  ERIC"
1,nov. 2024,"5,0","Viandes d’excellente qualité, service parfait, excellente ambiance 
Tres franchement, les personnes émettant des avis négatifs sur le prix soi disant élevé n’y connaissent strictement rien aux viandes de qualité, le rapport qualité prix est parfaitement justifié, mais si on prefere un steak frite banal mieux vaut aller ailleurs."
2,nov. 2024,"2,0",Sympa… mais beaucoup trop cher…c’est dommage car le concept de départ était bon mais la faut pas exagérer…on en reviendra pas…
3,nov. 2024,"1,0","Du VOL tout simplement. 

Un gueuleton c’est censé être bien servi me semble t’il. Un os moelle ridicules, sans préparation, trois champignons 29 euro, de qui on se moque ? 

L’addition final fait très mal au portefeuille en revanche j’avais encore fin en sortant. 

C’est scandaleux, tout les prix pourraient largement être divisé par deux"
4,nov. 2024,"3,0","Bonne soirée en globalité mais le manque de transparence sur les tarifs notamment sur toutes les boissons gâche l'expérience et vous laisse un goût amer en fin de repas (c'est dommage parce que ce n'est pas l'objectif ^^).
Sinon, on sent qu'il y a une volonté de faire bien avec de bons produits.
En conclusion, on perd l'esprit de départ qui était de manger bon avec des bons copains, et ça c'est triste. La note est trop salée."
5,sept. 2024,"4,0","Excellente expérience avec des personnels qui connaissent leur sujet. Accueil très sympa et viande succulente.  La carte des vins est impressionnante.
Ils ont même emballé l’os de la côte de boeuf pour notre golden. Top 
Pas donné maïs top."
6,sept. 2024,"1,0","Très petite salle où les tables sont entassées les une sur les autres
La carte est conçue de manière à ne pas voir au final l’addition (prix au kilo de la viande)
Bref hors de prix pour quelques morceaux de viande
Le service est horrible"
7,sept. 2024,"4,0","Restaurant atypique, tant par sa carte que par sa façon de servir. Les plats sont bons et copieux. Le personnel et le service fourni est très bien. Restaurant un peu cher malgré tout."
8,juil. 2024,"4,0","Bel établissement jolie terrasse 
Très bonne cuisine personnel sympa et pro
Concept original qui cache le caractère salé de l’addition et"
9,juil. 2024,"3,0","Le concept est idéal pour les carnassiers, accueil et conseils au top, viande super, mais... seulement 3 étoiles car beaucoup beaucoup trop cher !!! Je comprends bien qu'un bœuf se paye avec les os, mais de là à facturer plein pot, une côte de bœuf pesée avec l´os, NON !!! Dommage !!!"
