,Date,Notes,Commentaires
0,déc. 2024,"5,0","Très bon accueil. Nous y avons dîner deux soirs de suite car tout est délicieux et fait maison !
Établissement à découvrir. 
Christelle et Stéphane de Dijon."
1,juil. 2024,"5,0",Le service est très efficace / Le repas est très bon / On sent qu'il y a la passion de la restauration et de faire plaisir à ses clients! Je recommande ! On a bien mangé et on a passé un super moment!
2,avr. 2024,"5,0","Une cuisine savoureuse et abondante pour un prix somme toute, plus que raisonnable....
Un cadre agréable sans être ouf....
Un chef sympa...
Je conseille!"
3,mai 2023,"3,0","Venue un vendredi soir, j'ai été déçue par le choix limité des plats. Pas de couscous et pas de tajine, juste une tajine aux légumes. La semoule était bonne mais les légumes avaient peu de goût. "
4,avr. 2022,"5,0","Excellent tajine, keftas délicieux. Très bon accueil, cadre agréable... De passage à Lyon pour le travail, jolie découverte "
5,janv. 2022,"5,0","Le cadre est très agréable et l accueil discret
La carte est assez réduite gage de fraîcheur 
Les plats sont très bien présentés aussi appétissants visuellement que gustativement 
Cuisine à tendance orientale subtile et raffinée
Très bon moment entre amis "
6,déc. 2021,"5,0","les ris de veau !!! une merveille ! Bravo !
Des années que je viens et jamais déçue de cette cuisine 🧑‍🍳"
7,juin 2021,"5,0","Nous avons passé un excellent moment, la présentation était très soignée, les couscous et tajines sont délicieux et très justement parfumés. Un plus pour les desserts gourmands et fait maison.La terrasse est agréable et le personnel sympathique. Je recommande!"
8,juin 2021,"4,0","En famille,  un soir au hasard dans ce quartier où nous venons d'emménager.  Nous n'avons pas été déçus par la qualité et la quantité des plats. Tout était très bien cuisiné.  Le service est efficace et sympa.
Nous recommandons. 
Petit bémol pour la bavette, la cuisson était un peu trop cuite, par contre sauce et accompagnement au top."
9,févr. 2020,"4,0",Nous sommes allés manger ici le jeudi midi pour goûter au fameux couscous et nous n'étions pas déçus C'était excellent et à un prix plutôt abordable
10,févr. 2020,"5,0","Un resto sympa et qui propose de bons plats succulents, couscous , tajine et bien d'autres. pour un prix abordable ."
11,févr. 2020,"4,0","Nous sommes venus entre amis pour manger un couscous, il est vraiment excellent !
Je recommande cet établissement "
12,févr. 2020,"4,0","c'est la première fois que je rentre dans ce restaurant. Bonne surprise dès l'entrée, grand espace, decoration discrètement orientale, lumineux. Je suis venue un JEUDI pour dejeuner unh couscous. Celui-ci est servi à l'assiette, généreuse. A part vous avez un bol de raisins secs, des oignons cuits, du bouillon et de la sauce piquante. Chacun peu agrémenter son assiette comme il veut. Personnel accueillant, tout est professionnel. Bon déjeuner et je recommande ce restaurant de l'avenue des Frères Lumière."
13,janv. 2020,"5,0","Un excellent menu à 27.50€ avec un choix pour tous et des produits de qualité.
Service impeccable. Patronne et serveuse tout aussi charmantes qu'aimables.
Très bon souvenir d'une soirée entre amis."
14,janv. 2020,"5,0","Nous avons été super bien reçu dans se restaurant. Les portions étaient généreuses et cuisinées avec soins.
Un vrai régal !
Le service est rapide dans un cadre agréable.
Une bonne soirée à refaire"
15,janv. 2020,"4,0","Restaurant convivial, carte courte et bien faite. 
Les plats du jour sont d’un très bon rapport qualité/ prix. Les suggestions sont un tantinet chère à mon goût. 
Service très agréable le midi. "
16,janv. 2020,"4,0","Restaurant agréable, spacieux et soigné. Service rapide et de qualité, plats copieux et bien présentés. La carte est certes limitée mais c’est parfois bon signe ! Le tajine n’était pas transcendant et le fondant au chocolat manquait de créme anglaise mais tout le reste était parfait ! A recommander donc...."
17,déc. 2019,"4,0","Ce restaurant est très bien, les produits sont frais et les portions sont généreuses, bien présentées. Bon accueil, étant du quartier nous y retournerons pour goûter le couscous. Bon rapport qualité prix."
18,juin 2019,"4,0","De la vraie cuisine, avec des produits frais, simple et très gustative.
L'accueil est très agréable."
19,sept. 2019,"4,0",La nourriture était excellente bien présentée et rapide ! Nous avons beaucoup apprécié leur Acceuil chaleureux ! Nous gardons un bon souvenir de notre passage ! 
20,sept. 2019,"4,0","Agréable repas en famille pour partager un couscous, mais pas que ....  Excellente cuisine du chef comme à l’accoutumée. Tout le monde était ravi soit par la daurade soit par la pièce de boeuf. On y retournera avec plaisir."
21,juil. 2019,"5,0",Une bonne cuisine des plats maisons en entrée le saumon mangue chantilly une fraîcheur dans la bouche un onglet de veau très tendre avec un bol de frittes en complément des légumes des desserts qui sont maisons
22,juin 2019,"5,0","Nous vivons dans ce quartier depuis des années et il est évident que c’est le meilleur restaurant de Monplaisir et même l’un des meilleurs rapport qualité/prix de Lyon. Les plats sont savoureux, qu’ils s’inscrivent dans la tradition française ou marocaine.  Le chef accorde en outre une grande importance à la qualité des produits. C’est donc, à chaque fois, un régal!!! Ajoutons la qualité du service et une carte régulièrement revisitée et de saison pour conclure qu’il serait bien dommage de passer à côté!"
23,juil. 2019,"5,0","La brochette de lotte et le tajine au kefta sont délicieux, le service est très sympa. 
Notre adresse préférée à Monplaisir. "
24,juin 2019,"5,0","la cuisine, les produits, le Personnel, tout est parfait. La cuisine est raffinée, les produits sont d'excellente qualité et le Personnel est très professionnel. Nous avons passé un moment très agréable. Merci à toute l'équipe et félicitations."
25,juin 2019,"5,0","Un repas très bon, des produits frais, des légumes de saison. Cuisine fine et simple. Une très bonne adaptation pour les intolérances alimentaires, un service charmant et rapide. Nous étions de passage mais n'hésiterons pas à nous arrêter de nouveau si nous repassons par là. Merci "
26,avr. 2019,"5,0","Le Lyon de l'Atlas est un petit restaurant où nous allons régulièrement depuis des années.
Chaque fois, c'est un vrai régal pour les papilles. Cuisine élaborée avec d'excellents produits frais, un accueil des plus charmants, et des prix doux.
Que demander de plus ?
A découvrir absolument."
27,avr. 2019,"5,0","Une excellente cuisine avec des produits de qualité, copieux mais recherché. Félicitations au chef et à son équipe. 
À découvrir. "
28,avr. 2019,"5,0","Le meilleur couscous de Lyon !!!
On y est très bien reçu et on se régale !! A faire et à refaire !!!"
29,avr. 2019,"5,0","Une très bonne adresse, des produits frais, des légumes goûteux, une cuisine semi gastro, une carte allégée synonyme de qualité.
Excellent rapport qualité prix"
30,janv. 2019,"4,0","Soirée entre copains, nous avons goûté le tajine qui comme le couscous est recommandé. 
Confirmation, le tajine est bon, surtout accompagné par le vin ""boulaouane"".
Restaurant au décors simple et avec un service agréable,  nous reviendrons pour le couscous."
31,févr. 2019,"5,0","Je recommande : des plats copieux, fins et raffinés, ainsi qu’un service très sympa !
La grande majorité de la carte est «fait-maison», et avec beaucoup de goût !
En 2 ans, nous n’avons jamais été déçu.
Restaurant idéal pour un dîner entre amis ou en famille."
32,janv. 2019,"5,0","En ce 24 janvier 2019, encore un excellent moment passé au Lyon de l’Atlas: on y vient pour le couscous maison et on se laisse aussi tenter par tous ces plats maison. 
L’espace entre les tables est suffisament grand pour discuter sans forcément partager la discussion avec les voisins. Je recommande"
33,janv. 2019,"4,0","Voici un petit resto comme on les aime !
Pas d’esbroufe, ici c'est honnête. 
Les plats sont quasiment tous maison (vue ouverte sur la cuisine).
Bon service.
Les plats sont bons et généreux.
L’addition est correcte.
Joli cadre.
Une adresse sympa pour le déjeuner lorsqu'on est dans le quartier des Frères Lumière."
34,janv. 2019,"4,0","le jeudi c'est coucous, le tous est fais maison même l'apéritif nous voyons bien cela dans l’assiette  le reste de la semaine une viande ou un poisson toujours  bien reçus "
35,janv. 2019,"4,0","Nous allons régulièrement dans ce restaurant proche de chez nous, l'accueil y est agréable, les plats sont bons, les spécialités orientales sont parfaitement servies avec un effort de présentation.
Je recommande !"
36,déc. 2018,"4,0","Nous avons mangé un couscous à la hauteur de notre envie ! Produits frais, assiettes généreuses ...nous avons trouvé un très bon restaurant !"
37,nov. 2018,"4,0","Excellente soirée dans ce beau quartier de Monplaisir avec de très bons plats orientaux ;couscous et tagine aux keftas de bœuf,service impeccable.
Nous reviendrons."
38,sept. 2018,"4,0",La carte proposée est assez restreinte ce qui est plutôt bon signe. Les plats sont simples mais bien préparés et assez fins dans l'ensemble. En somme une bonne adresse pour un restaurant de quartier qui n'a par contre plus grand chose à voir avec l'Atlas dans sa cuisine.
39,juil. 2018,"5,0","il faut venir deguster le couscous !
qualité des plats en général , effort de présentation
belles assiettes très copieuses
gentillesse et efficacité du personnel"
