,Date,Notes,Commentaires
0,mars 2024,"4,0","Nous avons tout à fait bien mangé dans cette crêperie. Les galettes étaient très simples mais bonnes, bien qu'une salade d'accompagnement aurait été appréciée. Le service est rapide et agréable. Nous avons apprécié le calme du restaurant. Nous reviendrons à l'occasion."
1,nov. 2023,"2,0","Depuis la fermeture de ""caramel beurre salé "" du 7e, nous cherchons notre nouveau fief breton à Lyon. Alors nous testons, et comparons. Cette adresse n'est pas à la hauteur. Explication, uniquement pour le galettes salées, les sucrées non pas été testées. 
Les galettes sarrasin n'étaient dorées que sur une face, la garniture trop centrée, et le tout replié en 4 avec de trop grands rebords. Ça donnait des galettes molles, imbibées, avec 4 couches de pâte en dessous. 
La galette saucisse, la saucisse posée entière roulée dans une galette, donc plusieurs couches molles et vides au bord. Il suffirait de faire dorer la pâte sur chaque face, couper la saucisse en rondelles, et la faire griller, étaler les tout, ne replier que de petits bords.
La chevrette, fromage sans goût coupé trop épais, et une ÉNORME couche d oignons, et encore une fois, tout est bien trop entassé au centre, et les fameuses couches molasses. 
La salle du haut : carrelage blanc, murs blancs et vides, mobilier froid. Ambiance glaciale, type cafétéria. 
Dommage.
Cidre fermier bon.
Prend les tickets resto. 
Stationnement facile sur la place le soir."
2,sept. 2023,"3,0","Si t’es un BOBO de Monplaisir, l’addition passe bien et t’en redemande..!! En revanche si comme moi, t’es de la campagne et que tu viens en ville de temps en temps… au secours l’addition tape un peu. Cher patron, crêpes à 20€, desserts à 9,90€, glace 2 boules à 6€… où va t’on !! Reviens à la réalité : une crêperie c’est bon marché, familiale, pour les petits budgets.. bon fait comme tu veux mais t’en subira les conséquences..!!"
3,févr. 2023,"5,0","Avec mon conjoint, nous venons souvent lorsque nous avons quelque chose à fêter ou tout simplement envie de nous détendre, et nous sommes ravis à chaque fois. Toujours bien accueillis autour de galettes délicieuses. Nous conseillons les yeux fermés !"
4,avr. 2022,"5,0","Je viens souvent manger dans cette crêperie, et j’ai toujours passé un agréable moment. Les crêpes et galettes sont délicieuses, large choix, prix abordable, personnel agréable et souriant, de nombreuses tables… Dès que nous avons quelque chose à fêter avec des amis, nous nous y rendons, chacun y trouve son compte, et personne n’est jamais déçu. Je recommande!"
5,févr. 2022,"5,0","Gourmands et gourmets sortent conquis de cette très belle expérience culinaire.
Le plus un service très agréable."
6,juin 2021,"4,0","Toujours un plaisir de venir y manger, été (en terrasse) comme hiver (à l'intérieur).
Les galettes sont bonnes, le prix est correct.
Service agréable"
7,juil. 2020,"5,0","Découvert au détour d'une balade dans notre nouveau quartier, les Gamins de la place est devenu l'un de nos repères. Des galettes généreuses, originales et toujours délicieuses. 
Des serveurs agréables et un cadre confortable partagé entre la terrasse, la salle et l'étage. 

A découvrir !"
8,mars 2020,"5,0","Un petit resto très sympa en face de l'institut des Lumières
Une équipe jeune et sympathique
Les crêpes sont très bonnes et un large choix de salées ou sucrées "
9,mars 2020,"5,0","Diner pour 4 le 03 03 2020
4 crêpes salées + 4 crêpes sucrées + 3 PICHETS Cidre bio 50 cl   =  75€70
service impeccable et crêpes goûteuses
Sommes habitués et y retournons avec plaisir"
10,janv. 2020,"4,0","Déjeuner à 2 le 15 01 2020   Crêpe végétarienne à 11€00  très goûteuse et copieuse 
Cidre Bio Val de rance en cruche à 8€80  très bien
Une adresse à recommander sans réserves   nous y sommes allés plusieurs fois   jamais déçus"
11,janv. 2020,"5,0","Accueil très sympathique, service rapide et galettes salées et sucrées de qualité 
Nous gardons cette adresse pour notre prochain séjour !"
12,déc. 2019,"5,0","Un accueil sympathique, une carte complète, un service rapide et agréable, une présentation des plats appréciable avec des ingrédients de qualité. Bref une très bonne suggestion."
13,nov. 2019,"4,0","Idéal pour un déjeuner rapide et bon. Le service est sympathique et rapide, les crêpes sont bonnes mais gagneraient à être davantage cuites (sur les 2 faces)"
14,nov. 2019,"4,0","Le personnel est sympathique, accueillant et efficace, la salle est conviviale et bien décorée façon crêperie bretonne.
Coté carte c'est raisonnable sur les tarif et assez fourni sur le choix mais pour ma part je suis un peu déçu sur le choix dans les cidres ou il n'y a pas de brut...
Pour la cuisine c'est bon mais la cuisson n'est pas toujours maitrisée (deux galette et une crêpe prise : la première a tout juste cuite, la deuxième un peu trop cuite et la crêpe bonne cuisson).
Malgré tout cela reste une bonne adresse ou je reviendrai surement."
15,oct. 2019,"5,0","J'ai découvert cet établissement il y a 2 ans, et je m'étais promis d'y revenir si j'en avais l'occasion; c'est chose faite et j'en suis toujours satisfait :)
Personnel jeune et dynamique au service, carte variée avec de bons produits, c'est avec plaisir que j'ai englouti 2 galettes et une crèpe avec un Breizh Cola (de loin meilleur que le traditionnel Coca)
Ma seule remarque consisterai à changer la chantilly par une crème fouettée maison qui est plus consistante et tiens plus longtemps sur les crèpes chaudes :)"
16,sept. 2019,"5,0",Carte rigolote et cuisine savoureuse.  De plus on peut y decouvrir une carte de cidres. J'y reviendrais.
17,juil. 2019,"4,0","Lieu chaleureux, bonne cuisine. Equipe au top malgré l'agressivité d'un client hautement désagréable. Bravo à tous"
18,juin 2019,"5,0","Tout est fait pour le bonheur des clients. Au moment de la prise de commande, nous avons pu changer de table pour une à l’ombre. Le menu chenapan est très bien pensé et le jeune personnel agréable et réactif. "
19,juin 2019,"5,0","Accueil sympathique et service attentionné. Un cadre des plus agréable et surtout de bonnes crêpes. Une carte originale et du fait maison, que demander de plus... A bientôt ! "
