,Date,Notes,Commentaires
0,déc. 2024,"5,0","Super restaurant ! Les équipes sont très professionnelles, la cuisine est délicieuse et adaptée à tous. Je recommande à 100%"
1,déc. 2024,"5,0","Un resto comme on les aime ! De bons produits frais de saison bien assemblés , un service très très agréable . Le rapport qualité prix est très correct ! Belle adresse"
2,nov. 2024,"5,0","Restaurant impeccable, cuisine raffinée et remplie de saveurs .
Pâté en croûte en entrée savoureux et avec la pâte impeccable.
Le poisson en plat cuit à la perfection, nacré à souhait....un régal 
Et en dessert une brioche accompagné de mignardises, glace .... Un délice .
Personnel accueillant, agréable et acceptant avec plaisir les chiens (donne un petit récipient d eau pour le chien sans demande de notre part).
Félicitations au chef , aux équipes en cuisine et en salle ."
3,mai 2024,"5,0","Très belle découverte.
Beau référencement du Bib Gourmand, vraiment mérité.
Cuisine goûteuse, un vrai travail dans l'assiette.
Un peu exigu à l'étage mais cosi. 
Au final facture qui incite à venir plus souvent."
4,juil. 2024,"5,0","Restaurant exeptionnel.cuiisine exceptionnel.prix  moderes
Mais un excellent ceviche jamais mange aussi excellent.la canette bien fait pleine de details ..betteraves.amandes .cerises sans que c est trop mais avec un harmonie.l
J ai mange qu au epona
Dommage que j ai eu la recommandation si tard.merci a la reception du boscolo"
5,mai 2024,"5,0","Restaurant au cadre sobre, les couleurs nature sont reposantes. La carte variée propose une cuisine moderne créative que nous apprécions tout particulièrement. Le service est bien rythmé. Un moment privilégié."
6,mai 2024,"4,0","Le lieu est quelque peu bruyant et les tables un peu trop proches les unes des autres. En dehors de cela, le dîner a été très bon de l’entrée au dessert. Le pâté en croûte avec en son centre du boudin noir accompagnés notamment  de pickles a été une belle découverte tout comme les plats de poisson et viande."
7,mai 2024,"2,0","Repas sur place  |  Dîner  |  80–90 €
Nous avons pour habitude avec des amis de nous retrouver autour de bonnes tables lyonnaises et de se les offrir à tour de rôles pour nos anniversaires. On s'arrange pour que la fourchette de prix soit raisonnable . C'était à priori le cas pour ce restaurant que l'on m'avait chaudement recommandé.
Après 2 validations de réservation avec empreinte bancaire à la clé , nous y voilà ! On peut imaginer qu'après autant de précautions, tout va rouler comme sur des roulettes. Mais non...on nous dépose un menu à 49 euros sur la table en lieu et place du menu annoncé sur le site. Nous sommes très surpris . Je demande alors si le menu du jour annoncé sur le site à 38 euros est disponible. On me répond que non et que pour ce soir ce sera celui là. Aucune info au préalable pour prévenir la clientèle de se changement de cap. Ce qui est un peu gênant ...
Et si seulement les assiettes avaient été à la hauteur de la hausse de tarifs, la pillule serait peut être passée plus facilement. Mais cela n'a malheureusement pas été le cas. On ne reviendra probablement pas.

Je me doute que vous ne prêterez pas grand intérêt à cet avis, comme l'a d'ailleurs fait la personne a qui nous avons signalé notre déconvenue au moment de régler l'addition...mais je tenais tout de même à l'écrire pour soulager mon grand mécontentement."
8,avr. 2024,"3,0","Restaurant agréable  et conviviale, avec une une bonne qualité de produits et des plats .Il n y a que la qualité  ,mais Malheureusement  pas la quantité. 
J ai pris tranches de carrelets  rôties  à  27 euros ,et je n avais dans mon assiette qu'une  petite portion de ce poisson, très  bon.
Je suis resté  sur ma faim et ne conseillerai pas  ce restaurant."
9,mars 2024,"5,0","Repas d'anniversaire de ma petite femme en famille.
C'est son resto préféré.
Très bon accès comme toujours d'Emmanuel..
Table ronde réservée...sympa..
Le repas top comme dab.
On s'est tous régalé..y compris ma fille !!
Petite attention ( bougie) sur le dessert de Madame.
Le top !!
Merci 
A bientot"
10,mars 2024,"5,0","De l'entrée au dessert du goût, de l'intelligence, de la finesse, un riche assemblage de textures, et de la gourmandise.
Sans être énormes les portions sont suffisamment fournies pour donner une impression de générosité qui manque souvent dans d'autres restaurants contemporains.
Service attentif et aimable.
Nous avons envie d'y retourner."
11,mars 2024,"4,0","Cuisine de qualité, service aussi pro que sympa, bon rapport qualité prix pour Lyon, cadre agréable.
Donc à inscrire dans votre liste de bonnes adresses !"
12,janv. 2024,"3,0","1ère fois que nous venions déjeuner dans ce restaurant. Faites attention à la marche en entrant (très dangereux).
Menu du jour :Malgré la belle présentation des assiettes, le plat chaud nous a été servi à peine tiède..obligé de le faire réchauffer. Le prix de 33 € un peu cher pour ce que nous avons mangé. Heureusement le  dessert a sauvé la note."
13,janv. 2024,"4,0","Cadre du restaurant sympa, plats variés et efficaces. Tout le monde y trouve son compte. Serveurs et serveuses sympas !"
14,juil. 2023,"3,0","Pour 47 € le menu on doit retrouver dans son assiette une certaine créativité culinaire, on doit être surpris dans les saveurs, texture...il doit y avoir quelque chose en plus qu'un traditionnel menu à 35 €. Les plats étaient bon, mais il ne s'agit pas d'une cuisine ""semi-gastronomique"" tel que présenté sur le site : la volaille était fade, les girolles manquaient de goût (il s'agit pourtant d'un champignon très goutu), le Ceviche en entrée n'avait rien de surprenant non plus. Les madeleines au miel en dessert étaient délicieuses, la meringue avec compotée de fraises était quelconque.

Le rapport qualité-prix n'y est pas, nombre de restaurants lyonnais proposent une cuisine nettement supérieure pour moins de 40 €. 

Le service est au niveau en revanche, nous avons été bien conseillé sur les vins.

Bonne continuation."
