,Date,Notes,Commentaires
0,juin 2024,"5,0","Niché à deux pas de la place monplaisir, cet écrin gustatif est à ne pas manquer. Si les récompenses officielles sont là, nous c'est notre Cœur qui nous fait revenir. Les grenouilles sont à tomber et l'ambiance formidable. Merci Mathieu pour l'accueil de vos collaborateurs. Il faut vite réserver. 
Un Esprit bistrot dans tous ses sens"
1,mai 2024,"4,0",Belle expérience un samedi soir. Il y a une salle derrière le comptoir et une terrasse. On peut voir les cuisines. Bon accueil et service rapide. Les plats sont bien présentés et bons. Le tiramisu est excellent il n'a.pas trop le goût du café 
2,mars 2024,"2,0","Le rapport prix qualité n'est plus au rendez-vous et le service ????serveuse rigide, qui soupire si on lui fait répéter, devrait changer de métier car les clients c'est pas son ""truc""!!!!!"
3,janv. 2024,"5,0",Une bonne ambience. Une service avec sourire. Les ravioles uncteous et delicieuses. Le bon vin blanc. Je reviendrais.
4,déc. 2023,"1,0","Nous avons passé le réveillon du 31/12 dans ce restaurant. 

C’était médiocre au niveau du service mais également au niveau du repas spécial « Fêtes de fin d’année »
Le menu était composé d’une entrée / plat / dessert à 49€ par personne ainsi qu’un punch et un amuse bouche qui était offert. 
Nous n’avons pas eu le punch car la serveuse nous a expliqué que le chef n’était pas encore arrivé. Il était 19:30. Lorsque la serveuse nous l’a proposé une seconde fois, nous avions déjà commencé à manger l’entrée donc nous avons décliné. 

L’attente était interminable, le service vraiment pas fameux malgré que les serveuses soient plutôt sympas. 
Concernant le repas, au niveau de l’entrée il manquait la crêpe vonnassienne, et la portion était vraiment très limitée. 
Pour le plat principal, c’était froid et le veau n’était pas très bien cuit. 
Et enfin, au niveau du dessert, l’entremet au chocolat était encore congelé, donc nous ne l’avons pas mangé. Il manquait également la crème anglaise à la mandarine. 
Nos voisins de table ont eu les mêmes soucis : une trop longue attente, un plat froid ainsi qu’un dessert congelé… 
Sur l’affiche, il y avait écrit que tout était fait maison, j’avoue avoir un doute… 

Lors du paiement, le chef nous a expliqué qu’il nous offrait donc le dessert. 
Sur l’affiche, les desserts étaient à 12€. Nous étions 2, donc cela faisait 24€ à déduire du repas. 
Malheureusement la serveuse nous a compté le repas entier (49€ x 2 = 98€) + l’apéritif (2 verres de vin à 7€ + 6€ = 13€). Le total s’élevait donc à 111€. 
Je me suis rendue compte de l’erreur et après 15 minutes j’ai donc pu être remboursée des 24€ du dessert qui était offert par le chef. 

Cependant, les serveuses n’étaient pas désagréables, et le chef nous a expliqué que c’était une nouvelle équipe qui se mettait en route… 
Malheureusement le repas n’était vraiment pas à la hauteur au niveau du prix. C’est dommage."
5,oct. 2023,"1,0","Personnel non professionnel, attente de 30 minutes pour avoir une bière malgré le fait qu’on était là seul table avec des clients.  Tartare de bœuf infecte, impossible de manger (trop dur et pas fin), nous l’avons laissé et malgré cela une geste d’une bière offerte pas à l’hauteur par rapport à deux plats non mangés."
6,oct. 2023,"1,0","Du grand n'importe quoi.

Pas de supervision donc peu de personnel ce qui implique des oublis.
Culinairement que dire. Tout était raté, pas cuit, trop cuit...
La serveuse était un peu perdue mais gentille, la cuistot je sais pas d'où elle sortait mais servir un filet mignon juste saisi quasi complètement cru c'est un véritable scandale. "
7,sept. 2023,"2,0","Nous étions venus pour passer une bonne soirée entre amis.
Raté, pour la bonne soirée culinaire.
Accueil moyen, nous commandons une bouteille de champagne.
Même pas de flûtes, et pire , même pas une olive ou cacahuète .
Je pense que l’on peut offrir un petit toast, quand des clients commande une bouteille de champagne à 80 €.
Dommage, car il n’était pas mauvais.
Les tajines étaient correctes.
Par contre, les soufflés glacés à  l’orange, il faudrait revoir la recette😡
Entre la glace et le granité. Et  je cherche toujours le goût de l’orange.
Le service très moyen pour quelqu’un qui prétend avoir 10 ans de pratique.
Bref, beaucoup de choses à revoir, surtout quand le patron n’est pas présent..
A éviter."
8,mai 2023,"2,0","Menu correct mais gâché par un service non professionnel : accueil minimal au téléphone, réponses stéréotypées, absence de réactivité..."
9,mai 2023,"2,0",Cher pour une qualité médiocre et un service purement inefficace...nous n'y reviendrons pas. Une grosse déception...
