,Date,Notes,Commentaires
0,oct. 2024,"2,0","Un endroit enfumé, pas très propre et très cher !
Un couscous à 29€ dont un sans viande ; des habitués qui fument dans le restaurant et du mobilier limité au niveau propreté ! Bref il convient de trouver un autre endroit pour manger dans le secteur"
1,août 2024,"5,0","Tout dans la simplicité. 
Une belle adresse pour manger de la très bonne viande bien préparée avec des frites excellentes !!!

le patron sera aux petits soins avec une bonne humeur contagieuse."
2,janv. 2024,"5,0","Ce lieu atypique renferme une véritable histoire. En plus d’être un lieu convivial et chaleureux, la cuisine y est excellente. Pas une fausse note. Il faut se laisser tenter!"
3,janv. 2024,"5,0","Accueil chaleureux du patron s'accompagne d'un service excellent. Nous avons vraiment apprécié notre moment passé là-bas.
En termes de rapport qualité-prix, c'est vraiment un endroit idéal.
Je recommande vivement"
4,août 2022,"5,0","Découvert par hasard pendant en août, quand la plupart des restaurateurs partent en vacances, on est partis enchantés: magnifique accueil, service rapid et efficace, plats copieux  et bien réalisés (on n'en parle plus des gâteaux!!).
Merci et bravo à toute l'équipe.
Serge"
5,mars 2022,"5,0","Restaurant de quartier avec une ambiance chaleureuse et très bon rapport qualité prix , très bons produits , déco vintage , service agréable , humeur détendue"
6,mars 2022,"5,0","Une ambiance chaleureuse, un accueil sympathique, une cuisine traditionnelle et copieuse.  Une super découverte!"
7,déc. 2021,"5,0",Un moment exceptionnel avec des personnes formidables un accueil magnifique on se croirait à la maison vraiment je remercie ces personnes pour ce moment fort agréable et cette cuisine comme si on était chez mamie copieux très bon été à l’écoute de la demande 👌🏼
8,oct. 2021,"5,0","Un lieu unique à Lyon une équipe au top. Vincent et Franck seront toujours vous recevoir avec le sourire et la bonne humeur.

Je recommande pour tout et surtout les desserts"
9,juil. 2020,"5,0","Nous sommes arrivés la par conseil avec ma femme enceinte. L'équipe est drôle, accueillante et joviale. Un vrai plaisir de trouver une ambiance simple de bistrot. La quantité et la qualité sont au rendez-vous. L'équipe a été super pour renseigner ma femme sur plusieurs produits en lien avec sa grossesse. L'humour de l'équipe vaut également le détour. J'y reviendrai à mon prochain passage sur Lyon. "
10,juin 2020,"5,0","Fin du déconfinement, retour à une vie sociale. 
Bonjour, Vincent, Franck et Raymonde.
Les retrouver tout les trois nous fait un bien fou.
Merci pour ce moment passer avec vous !"
11,janv. 2020,"5,0","Très bon moment de convivialité dans ce restaurant au cadre et au personnel sympathique et original. Cuisine simple, sans prétention mais bonne et généreuse. Le plateau de dessert qui vous est présenté en fin de repas est tout simplement irrésistible. Il vous suffit de prendre le dessert qui vous plait et qui vous fait les yeux doux 😀
Je recommande !"
12,janv. 2020,"5,0","Depuis le temps...habitant a 300m..aucune excuse!
Donc nous y voilà.. le 6 janvier a 3 pour découvrir ce lieu incroyable. 
Il faut aller à l aventure.
Tout est dit!"
13,janv. 2020,"5,0","Très bon restaurant pour manger des plats copieux , le personnelle est accueillant et bien sympathique."
