,Date,Notes,Commentaires
0,déc. 2024,"5,0","Vous tombez en amour de l’endroit, de Max , de sa collaboratrice pleine d’attentions pour les clients …..si vous voulez passer un moment chaleureux et gourmand avec une ambiance festive ne vous privez pas de ce bonheur ….
Une belle découverte humaine et gourmande 
Martine"
1,oct. 2024,"5,0","De bon produit bien travaillé, des plats généreux.

Un Service super ! Serveur et serveuse hyper sociable et dynamique !!
 Agréablement surpris par l’ambiance qui en fait un restaurant convivial."
2,sept. 2024,"5,0",Ravie conquis de notre repas en famille vendredi soir à la table de Max. Accueil plus que chaleureux la serveuse souriante fort sympathique était au petit soin pour nous ! Nous nous sommes de plus régalés par les mets proposés. Merciii beaucoup à Max pour sa bonne humeur et l'originalité de son concept nous avons adoré. Formule unique à garder surtout.  Nous reviendrons c'est sur entre amis ou en famille.
3,août 2024,"4,0","Un accueil extrêmement chaleureux soutenu par l'énergie du patron qui nous propose quasiment un dîner spectacle.
La cuisine, qui de fait passe un peu au second plan, est de bonne facture.
La facture justement, et c'est là le seul bémol, est un peu trop chargée."
4,août 2024,"5,0","Superbe ambiance Max est au top comme toujours 
On a passé une très belle soirée en famille 
La cuisine est simplement parfaite 

Merci l'équipe"
5,juil. 2024,"5,0","Max a trouvé le concept et nous avons adorés!! L’ambiance, le show, le chaud (miam) les jeux donnent beaucoup de convivialité ! On commence par un super accueil, un repas excellent et l’ambiance monte fur et à mesure de la soirée 
On a déjà réservé à nouveau pour le mois d’août avec des amis 
Merci à Max, la super serveuse et l’équipe de cuisine de la part de la meilleure table de deux à côté du bar."
6,juil. 2024,"5,0","Visite ce 02/07/2024, comme toujours, incroyablement bien reçu. Max tient son concept comme personne.
Vous cherchez de la gastronomie avec une ambiance de fête dans un ensemble décontracté ?
C'est l'adresse de Lyon.
Découverte par hasard il y a quelques années, c'est devenu notre madeleine de Proust.

Merci pour tout Max

Thibault "
7,mai 2024,"5,0","L’endroit est parfait pour une soirée, l’ambiance est incroyable et les plats le sont tout aussi. Je recommande sans aucune hésitation. 
Merci pour ce bon moment !"
8,juin 2024,"5,0","La table de Max, c’est l’excellence à tout niveau 🤩 Une cuisine succulente avec de très belles entrées à partager / de très beaux plats signatures Beef 🥩 and Lobster 🦞  / la pluma bien grillé en extérieur et rosé à l’intérieur absolument fondante 😋😋😋 / une ambiance festive 🥳 orchestrée par Max le maître des lieux 🤩 / une excellente adresse qui permet vraiment de sortir du cadre et de s’évader après son travail 😍 Je recommande à 1000% !!"
9,juin 2024,"5,0","Excellente table, excellent service, excellente ambiance. THE place to be 👍 sur Lyon, absolument. C’est trop top, vraiment"
10,mai 2024,"2,0","Max est très très tactile, ... il vous touche continuellement à chaque fois qu'il vous parle.
Dans son restaurant, il doit être le centre de l'attention : N'essayez pas de discuter avec vos amis... En enfilant ses costumes, il met la musique à fond.

Personnellement, ce n'est pas ce que je recherche d'un restaurant.

La nourriture n'était pas trop mal, excepté pour les couteaux de mer : les coquilles étaient brisées : il y avait plein de minuscules morceaux de coquilles qui ne pouvaient être trillées dans l'assiette et donc qui craquait dans la bouche. On essaye de les retirer un à un du bout des lèvres ; ça gâche la dégustation.

J'avais trouvé cette adresse dans Trip Advisor, soi-disant un des meilleurs restaurants de Lyon... !

Cela me donne l'occasion d'écrire mon premier commentaire.

PS : je lis ses réponses aux clients qui ont également osé exprimer une satisfaction mitigée de ce restaurant. Max n'accepte pas la critique!
A noter, à Sterimberg, il a dit qu'il fera attention au volume sonore, je n'ose imaginer ce que cela pouvait être auparavant, tellement j'ai eu mal aux oreilles..."
11,juin 2024,"2,0","Très déçu par ce restaurant.
Le patron,  d'un égocentrisme exacerbé, fait son show, déguisé, debout sur le bar, le volume de la musique à fond : Cela fait mal aux oreilles et on ne peut plus se parler. 
Très dommage !
Nous avions été attirés par sa notation sur Trip Advisor, nous n'y retournerons pas.
L'assiette (gustatif, présentation) est cependant qualitative.
Très cher pour ce que c'est."
12,mai 2024,"5,0","Un lieu convivial !! La nourriture est délicieuse, l’accueil est plus que chaleureux. L’ambiance est extraordinaire… un bon moment de convivialité et de fêtes. Que cela fait du bien . Bravo bravo"
13,mai 2024,"5,0","Quelle surprise en voyant le boss se déguiser, sauter sur le bar, faire le show, mettre le feu à la salle.... Le tout en dégustant des entrées, plats, desserts magnifiques et délicieux. Vraiment une pépite qui vaut le détour !!!!! Et je ne parle pas de la déco !"
14,avr. 2024,"5,0","Il y avait longtemps que je n’avais pas aussi bien mangé dans un restaurant, avec une ambiance au top, un endroit  que je recommande pour passer une excellente soirée, avec Max qui est un commerçant comme on n’en trouve plus et toute son équipe vraiment au top!
Merci beaucoup pour le partage, vous méritez qu’on parle de vous 😀"
15,mai 2024,"5,0","Nourriture excellente et une ambiance qui déchire… allez-y, j’en dirai pas plus 👋🏼🥳
Ma meilleure découverte depuis de nombreuses années !!!!!"
16,mai 2024,"5,0",Super resto!!! Le cadre et très très bon ! Ambiance excellente !!! Merci à Max et compagnie! On est des clients exigeants et on a adoré !!!
17,avr. 2024,"5,0","Max, Charlotte et la cuisine un grand grand merci a tous... Nous avons passé une belle et super soirée. Dans une bonne ambiance de folie, avec de très très bonne chose dans l'assiette... je reviendrai faire un tour chez Max, à la prochaine.
Merci..."
18,mars 2024,"5,0","La table de Max est un point de charmes idéalement placé au cœur de Lyon

L’accueil  y est chaleureux, le personnel efficace et sympathique ce qui confère une atmosphère particulièrement agréable pour un dîner solo, entre amis, en famille ou pour un repas d’affaire le midi.

La nourriture est saine, savoureuse et les plats sont esthétiquement intéressants.

J’ai effectué 25Km pour y aller et cela sans regret.

Merci pour cette expérience et c’est sans doute que je renouvellerai l’expérience si l’occasion s’y présente."
19,févr. 2024,"5,0","Une soirée mémorable, Max est d'une extreme gentillesse de l'accueil au départ comme un ami.
Le repas était excellent et copieux.
Bien plus qu'un restaurant mais une expérience formidable. 
Bravo pour l'animation et la folie de la soirée.
Ici on boit, on mange, on rit, on danse, on déconnecte et on profite!"
