,Date,Notes,Commentaires
0,déc. 2024,"1,0","J’ai procédé à une réservation il y a 3 semaines pour ce samedi 14 décembre 2024 pour le dîner.

J’ai alors été mis sur une liste d’attente, par MAIL…et depuis aucun retour!
Pas de message pour préciser si notre réservation était validée ou annulée !
Rien! 
Juste laissé dans l’ignorance !

C’est juste HONTEUX pour un établissement de ce standing !

En commentaire lors de ma réservation j’avais précisé « dîner pour fêter nos deux anniversaires » …

Aucun retour, de la part de l’établissement, alors que j’ai donné mes coordonnées, il y avait aussi mon mail!

La moindre des POLITESSES - si les personnes de cet établissement savent ce que cela veut ENCORE dire de nos jours, était de mettre un message précisant que notre réservation n’était pas retenue!

Le flou le plus complet!

Et dire que vous faites partie des établissements « Relais & Châteaux » et bien ce standing a bien changé et votre établissement n’en a rien à faire de ces clients!

Je suis déjà venu déjeuner dans votre établissement il un peu plus d’un an, la qualité se dégrade vite.

La SATISFACTION client ne semble pas faire partie de vos priorités …et bien c’est un tort!"
1,mai 2024,"2,0","Malgré sa renommée, ce restaurant gastronomique n’a pas été à la hauteur de nos attentes. Le cadre est certes magnifique, mais cela ne compense pas le service amateur et l’absence de raffinement dans le menu. Pour un établissement de ce standing c’est une vraie déception. Il semble miser uniquement sur son décor mais cela ne suffit pas."
2,oct. 2024,"3,0","Bel établissement , cependant l’attente est trop longue , plus d’une heure avant de prendre notre commande. Nous avons dû assurer seul le service de champagne. Arrivés à 20h15, une fin de dîner à plus de minuit. Le choix sur la carte proposée n’était à mon sens pas assez varié. Prix excessif …"
3,sept. 2024,"4,0",Super service. Très beau cadre avec une vue magnifique sur Lyon. Les mets sont succulents. J’y retournerai volontiers.
4,sept. 2024,"2,0","Très décevant. Service particulièrement lent. Les lumières dans le restaurant sont tellement fortes qu’elles se reflètent dans les vitres, on ne peut même pas admirer pleinement la vue sur Lyon. Les amuses bouches rappelaient des saveurs de fast-food.  Pour le plat, j’ai pris de la canette en 2 services : 1er service, la viande était difficile à découper avec des couteaux non affutés, le 2ème service : canette façon hachis parmentier, beaucoup trop salée, immangeable ! 
L’expérience a été très décevante. Soirée d’anniversaire ratée."
5,sept. 2024,"5,0","Déjeuner juste parfait.
Le service était très bien sans chichi mais professionnel et attentif.
Les plats succulents avec de très belles saveurs.
La vue est magnifique.
Nous apprécions également le fait que les tables soit grandes et espacées les unes des autres.
Nous avons trouvé le rapport qualité prix tout à fait correct.
Nous reviendrons avec plaisir."
6,août 2024,"1,0","En fait je n'écris jamais de messages sur ce site mais là je me sens obligé.

Je voulais simplement offrir un coffret pour le restaurant pour 2 personnes : je suis tombé sur une personne sympathique comme une porte de prison !
 ""Non monsieur ce n'est pas possible, envoir !!  ""

Du coup mes clients n'iront pas et moi ça m'a coupé l'envie d'y aller  !!

J'avais un budget de 350 € mais vous n'avez sans doute pas besoin de clients !

Un conseil : il est urgent que vous améliorez l'accueil client au téléphone  !

Au plaisir de ne pas me voir,

Laurent"
7,août 2024,"3,0","Le cadre  est parfait. La vue sublime, nous avions une table en bord de baie vitrée, vraiment très beau. Un bel accueil, un sommelier de bons conseils et une serveuse professionnelle et appliquée. Amateurs de grande table, l’effet ouaaaah s’arrête là,  la cuisine est malheureusement sans surprise, le foie gras sans émotion, Rouget trop cuit, Lotte dure tellement elle était cuite… Des assiettes simples et pas de magie…. Le dessert chocolat était très bon, mais on a trouvé la portion minuscule…et tout cela pour un prix qui ne correspond pas à la prestation..,,Dommage…"
8,avr. 2024,"4,0","Je n'aime pas écrire des avis, mais là ça me démange depuis plusieurs mois déjà. La raison : le décalage entre les qualités du service et de la cuisine. Nous étions six convives pour fêter mon anniversaire.
En résumé, j'ai rarement aussi bien mangé. Nous avions choisi le grand menu... qui était juste parfait.
En revanche, au bout d'une dizaine de minutes, je me voyais obligé d'appeler un garçon pour pouvoir avoir la carte et commander des apéritifs. Par la suite, même combat pour le vin. Bref, il est dommage que l'excellence de la cuisine soit ainsi punie."
9,mai 2024,"1,0","Grande déception pour cette table qui à priori devait nous émerveiller. Le menu semblait alléchant, le cadre aussi. Sur le papier, nous allions donc passer un bon moment.
Habitués des grandes tables, nous avons été globalement déçus, tant par le service (désordonné, voir inexistant) que par les plats.
Pas de serveur attitré, donc au final personne ne s'occupait de nous. 30 minutes pour recevoir la carte, la même chose pour le vin (arrivé après les amuses bouches) etc etc.
Ce n'est de loin pas digne d'un étoilé.

Passons aux plats, l'entrée ""soupe au poisson, foie gras, asperges"" :
Une gelée pâteuse, plutôt écoeurante (pas pu terminer l'assiette) et le foie gras inexistant. Aucune mâche, aucun croquant... 
Pour le plat principal, la peau du poisson n'était pas correctement cuite, résultat une peau ""molle"", peu agréable. Les accompagnements étaient bons, sans surprise. La viande était bonne, là aussi sans grande émotion. 
Pour le dessert au chocolat, plutôt bon et réussi, mais pas de quoi s'extasier.

Nous avons transmis nos remarques sur place. Apparemment, le serveur avait déjà reçu les mêmes plaintes, mais le chef ne les a pas pris en compte pour améliorer son menu. Pour le service, là aussi le responsable semblait au courant du manque de coordination de son équipe en particulier sur les tables de côté et arrière.

Aucun geste n'a été réalisé malgré le nombre incalculable d'erreurs. 

Nous notons notre expérience sévèrement en espérant que le chef se remettra en question rapidement, car sans ça, nous doutons fort que l'avenir du restaurant se fasse sous un ciel étoilé. A part si le guide note uniquement la vue de cet établissement."
